,title,category
0,윤석열측   반듯이  논란에  한글마저 곡해하지 말라 ,Politics
1, 영상 오월정신  반듯이  세우겠다  윤석열 방명록 논란 이슈시개 ,Politics
2,이재명   반듯이  세우겠단 게 오월 정신 모독   표기 실수이길 ,Politics
3,이재명 측  윤석열  반듯이 에  한글 모르나      똑바로  의미 ,Politics
4,이재명  이륜차 전면 번호판 의무화 소음단속 강화 ,Politics
5,이재명  이륜차 전면 번호판 부착 의무화 소음 단속 강화 ,Politics
6,이재명  이륜차 전면 번호판 부착 의무화 소음단속 강화 ,Politics
7,거리 휘젓는  이륜차 불법행위  급증 유관기관 합동대응,Politics
8,윤석열 이준석 김종인에 김병준까지    고차 방정식 되는 국민의힘 내부 신경전,Politics
9, 이준석  승리하려면 김종인에게 선대위 전권 줘야  김병준과 역할 나누는 건 꺼려할 것  최강시사 ,Politics
10,선대위 놓고  캠프 vs 김종인 진통,Politics
11, 왜 또 김종인   유권자들 피로감에도 이준석 윤석열  킹메이커 에 매달리는 이유는,Politics
12,이준석이 윤석열에 건넨  첫번째 비단주머니 가 공개됐다,Politics
13,이준석  윤석열에 건넨 비단주머니  신문지 뭉치였다    진짜  보물  따로 있어,Politics
14,이준석  첫번째 비단주머니  여론조작 잡는 크라켄 프로그램  사드  기능 ,Politics
15,이준석이  에 준 비단주머니는  킹크랩 잡는 크라켄 ,Politics
16,여론조사    대            지지율  구도 굳어지나,Politics
17,누가 당선될까요  물으니 윤석열     이재명     NBS,Politics
18,통상본부장  APEC 기업인자문위원회와 공급망 협력 논의,Politics
19, 대통령  APEC 정상회의 참석  글로벌 공급망  논의,Politics
20,크리튼브링크 미 차관보  외교부 여승배 차관보와 양자협의,Politics
21,이재명  오늘   차관보   대사 만나 외교관계 점검,Politics
22, 청년 가상자산 투자 의견 청취 나선 이재명 뉴시스Pic ,Politics
23,이재명  부동산 개발이익  전 국민 코인 배당 한전 국민주처럼 ,Politics
24, 니들이 만든 세상을 보라  권경애     운동권 겨냥  취중저격 ,Politics
25,권경애 취중저격  빌어먹을     선배들아  귀착점이 이재명  ,Politics
26,윤석열  김대중 노무현 대통령께  국민통합  배우겠다 ,Politics
27,DJ    국민통합  잇겠다는 윤석열   정치보복 하지 않겠다 ,Politics
28,이준석  대장동은    고발사주는  에 특검 추천권 줘야 ,Politics
29, 대장동 특검  수싸움 민주  대선 전 할수도  국힘  당장하자 ,Politics
30,파주서 유해 발굴된  무명용사  명    년만에 전우들 곁으로,Politics
31,유엔 참전용사 추모의 날 윤석열  자유는 공짜가 아니다  희생 헛되지 않아야 ,Politics
32, 청소년은 밤에 게임하지 말라  셧다운 제도    년 만에 폐지,Politics
33, 게임 셧다운제  폐지법  국회 본회의 통과,Politics
34, 반페미니즘 아재 후보    정의당  이재명 윤석열 직격,Politics
35,류호정  윤석열 이재명  여성 삶 공감 못하는  아재  후보들 ,Politics
36,김혜경 씨 병원 이송 CCTV 공개    심정 어땠겠나 ,Politics
37,손 붙잡은 이재명 부인 낙상사고 병원 이송 CCTV 공개,Politics
38,초보 음주운전 비유 논란에 정성호  이재명  술 깬 지 오래 ,Politics
39,경찰  음주 후   시동 안 걸리는 음주운전 방지장치 도입 나선다,Politics
40, 연통TV  북한에서 교실이 시끄러울 때 쓰는 표현은 ,Politics
41, 연통TV  미중갈등의 도미노 요소수 대란의 배경은 ,Politics
42, 연통TV  더 늦기 전에  탄소중립  가보자고 ,Politics
43, 연통TV  으르렁대는 중국 대만 그냥 두고 보면 안되는 이유,Politics
44,KDI  국가채무 적극 통제해야  증세 논의도 제기,Economic
45,KDI도 이재명표 지원금에 반대     내년 선별지원이 바람직 ,Economic
46,KDI  올해 성장률           추경효과 소비회복 ,Economic
47, 위드 코로나 에 KDI도 낙관론 올해   성장률    전망,Economic
48,기아  미 유럽서     년 전기차만 판매,Economic
49,기아      년 주요시장서 전기차만 판매  갯벌 복원 해양 쓰레기 수거도 ,Economic
50,기아      년 탄소중립 본격 추진       년 전 세계 공장      재생에너지 가동 ,Economic
51,기아도     년 유럽부터 내연기관 차 판매중지,Economic
52,이마트  분기 매출 사상 최초로  조원 돌파,Economic
53,이마트 분기매출 첫  조 돌파   영업이익은 전년      하락,Economic
54,이마트  분기 매출 사상 첫  조대  온라인 사업 외형 성장 컸다 ,Economic
55,쓱닷컴 투자 비용에 이마트 실적  주춤 ,Economic
56, 유가 고공행진에 공급망 병목 현상까지 겹쳐    월 수입물가   년만 최고치,Economic
57,수입물가   년  최대상승 밀려오는 인플레 쓰나미,Economic
58,뉴욕증시  인플레이션 경계 속 혼조 나스닥       마감,Economic
59,뉴욕증시  인플레이션 우려에 혼조세 디즈니   대 급락,Economic
60,한국섬유산업연합회  제  회  섬유의 날  기념식 개최,Economic
61, 부산섬유패션연합회  섬유의 날 장관상 수상 게시판 ,Economic
62,오늘부터 유류세 인하 저유소   시간 운영  배송 시간도 연장,Economic
63,내일 유류세     내린다 휘발유  L    원  경유    원 인하,Economic
64,롯데정밀화학    월부터 요소수 생산      풀 가동  신동빈 회장 역할 커 ,Economic
65,롯데정밀화학  요소    만톤 확보 요소수 공급가 동결,Economic
66,미래에셋증권   분기 누적 기준 업계 최고 영업이익  년 연속  조 돌파,Economic
67, 미래에셋증권  투자자산 이익 실현중  클릭e종목 ,Economic
68,윤종규 KB금융 회장  친환경 전환기업 녹색산업 투자 확대 ,Economic
69,윤종규 KB회장  UN 기후변화 회의에  금융 리더  대표로 참석,Economic
70,휴젤   허가취소  하루만에 판매 재개   잠정처분 인용,Economic
71,휴젤  보톨리눔 제제 판매 재개   식약처 행정처분 효력 일시정지,Economic
72,차량용 요소수    만  생산 착수 버스 청소차 등에 우선 투입,Economic
73, 요소수 대란  국민에 책임 전가  경유차 운전자들  분노 ,Economic
74, 인플레 둔화의 창 닫히고 있어    물가의 정치경제학  김영필의  분 월스트리트 ,Economic
75,인플레 들불처럼 번진다    연준 통화정책 강화 증시도 타격   김영필의  분 월스트리트 ,Economic
76,수수께끼 같은   국채금리    월가도 정확히는 모른다   김영필의  분 월스트리트 ,Economic
77,연준 조금씩 더 매파로    내년에도 지금 물가 지속되면 정책성공 아냐   김영필의  분 월스트리트 ,Economic
78,내일부터 부스터샷도 네이버 카카오 SNS 당일예약,Social
79,중앙방역대책본부 브리핑    월   일 ,Social
