,title,category
0, 생각보다 빨리 시작된 테슬라 서프라이즈  엘앤에프 목표가 36만,Economic
1, 뉴스 까 페   연 8 5   고금리 적금  이자는 고작 4만6천원,Economic
2,진에어  전산 장애로 여객기 운항 지연 수천 명 승객 발 묶여,Economic
3,진에어 15편 결항에 42편 지연 독일 서버가 원인  왜 ,Economic
4,에디슨EV  천정부지  폭등세에 마침표  3분 국내주식 ,Economic
5, 영업익 58배    대한항공  3분기 화물로 날았다,Economic
6,포스코건설  송도국제도시에  최고 70층  오피스텔 분양,Economic
7,라임 판매사 KB 신한금투   6개월간 사모펀드 못 판다,Economic
8,차끌고 2시간 줄섰는데 품절  요소수도 마스크처럼 재고정보 필요 ,Economic
9,집값 상승 주춤하자 매수세 다시 붙었다  서울 매수심리  반등 ,Economic
10,국정원 국내정보 기능 작동했다면 요소수 사태 예견했을까 ,Economic
11,7년만에 3000만원을 8억원으로 만든 사나이  ETF 수익률 보니,Economic
12,국내 첫 이끼 활용 수경재배 상추에 시장 이목 집중,Economic
13,삼성전자  5년만에 인사제도 대대적 개편   JY  뉴삼성  속도낸다 ,Economic
14,토스도 30만원  후불결제  한다  혁신금융서비스  지정,Economic
15,기술혁신 뽐내는 CES 삼성은 왜 기후변화를 외칠까,Economic
16, 김선호 논란 에도 11번가  하루 동안 2000억어치 팔았다,Economic
17, 단독   고용안정 지켜달라  삼성카드고객서비스  노조설립,Economic
18, 한 명당 3000원  대방건설 전 직원  고객 정보 유출,Economic
19,삼성맨 포기하고 몰두한 사업 아마존 셀러로 1위 찍었다  부터뷰 ,Economic
20, 단독   고용안정 지켜달라  삼성카드고객서비스  노조설립,Economic
21, 한 명당 3000원  대방건설 전 직원  고객 정보 유출,Economic
22,삼성맨 포기하고 몰두한 사업 아마존 셀러로 1위 찍었다  부터뷰 ,Economic
23,가상자산 과세하면 개인간  직접 거래  한다  거래소 위기론 재부각,Economic
24, 00님  수평 조직문화 강조한 삼성전자  인사제도 5년 만에 개편,Economic
25,셀트리온 코로나 치료제 유럽 진출  청신호 ,Economic
26,셀트리온헬스케어 3Q 매출 4091억 3년연속 1조클럽 달성 상보 ,Economic
27,FIU  빗썸 신고 수리 보류  외국인 대포통장 안내 소명하라 ,Economic
28,부산  힐스테이트 대연 센트럴  23일 1순위 청약,Economic
29,셀트리온헬스케어  3Q 매출 4091억원 3분기 누적 1조원 돌파,Economic
30,CJ제일제당  바이오 광폭 행보 이번엔  화이트 ,Economic
31,대한항공  3Q 영업이익 4386억원 전년  5671  급증,Economic
32, 이스타항공 살아난다  채권단 82  동의에  법원  회생계획안 인가,Economic
33,폴라리스오피스  셀바스AI 지분 전량 처분해 유동성 확보,Economic
