,title,category
0,엔씨 3분기 영업익  반토막  963억원 내년 블록체인 게임 출시 종합2보 ,Economic
1,정부  연말까지 요소수 긴급수급 조치 발동 한 번에 최대 10 까지만,Economic
2, 증시이슈   나 떨고 있니  실적 하락 전망에 흔들리는 이마트,Economic
3,커지는 인플레 우려 공급 수요 문제 겹쳐 내년까지  불안 ,Economic
4,맥못추는  에너지화학ETF ,Economic
5, 종목속으로 목표주가 릴레이 상향  하이브    실적 NFT 메타버스 호재  종합선물세트 ,Economic
6,위드 코로나 10일째 극장  여전히  울상 ,Economic
7, 15억원 넘는 아파트  대출금지에도 2년간 가격 26  상승 ,Economic
8,경남 광주은행장  전세대출 분할상환 의무화 계획 없어 ,Economic
9,한화큐셀    텍사스서 첫 ESS 단독단지 개발진행,Economic
10,한미약품 포지오티닙 연내   허가신청  항암 신약 결실 터진다 ,Economic
11,팅크웨어  NFT 메타버스 활용 국내 최초 여행게임 서비스 제공,Economic
12, 요소수 대란에 당근마켓도 불났다  요소수 거래 막지 않는 까닭,Economic
13,오세훈  부동산실험  찻잔 속 태풍 vs 변혁 이끌 바람,Economic
14,현대차그룹  애플 구글에 도전장  내년에 자동차용 플랫폼 공개할 것 ,Economic
15, 애플스토어만 있냐  제네시스    뉴욕에  브랜드 복합공간  조성,Economic
16,정승일  국민공감대 있으면 원전 비중 늘어날 것 ,Economic
17,조선일보 서학개미봇  머스크 주식 매도 속보특종  블룸버그보다 20분 빨랐다,Economic
18,김용진 국민연금 이사장  K ESG  경제주체 자발적 참여 중요 ,Economic
19, 확 올랐다 확 꺼질라  불안감 커지는 수도권 급등장,Economic
20, 증시이슈  현대차  2 대 하락세 3거래일 연속 하락,Economic
21,운전이야  게임이야  LG 완성차에  AR 소프트웨어 솔루션  공급,Economic
22,돈나무언니 캐시우드  테슬라 하락은 3천달러 돌파 위한 1보 후퇴 ,Economic
23, 현장연결  정부  요소수 판매처 주유소로 한정 승용차 최대 10리터 ,Economic
24,현대로템  2078억원 규모 대만 카오슝 도시철도국 E M 턴키사업 낙찰,Economic
25,전기차 150대 만든 리비안  상장 첫날 GM 시총과 똑같아졌다,Economic
26,  채권시장 국채 투매 파월의 인내심 어디까지,Economic
27,셀트리온  3Q 실적 부진에 목표가 줄하향  4분기 정상화 기대 ,Economic
28,코로나 이후 모든 게 부족해졌다 다가오는  생활비용  위기,Economic
29,SKT 한화 에어택시로 김포공항에서 강남까지 10분만에 주파 실증 성공,Economic
30,GS건설  땅 안파고 상수도관 고치는 친환경 기술 개발,Economic
31,3Q 주춤한 엔씨소프트   NFT 블록체인  승부수,Economic
32,현대차  자율주행에  바보장치  고집하는 이유,Economic
33,제주항공  펫펨 모셔라  반려동물 동반 탑승 6마리 7kg까지,Economic
34,이주열  높은 물가 상승 당분간 지속  금리 올릴 듯 종합 ,Economic
35,대창단조  1000원 500원 주식분할 결정,Economic
36,대출 막아도 서울 대형 아파트값 2년간 26  ,Economic
37, 15억원 넘는 아파트  대출금지에도 2년간 가격 26  상승 ,Economic
38,은퇴하면 내 인생 산다  발목잡는  캥거루족 ,Economic
39, 사재기 예방  차량용 요소수 주유소에서만 판매,Economic
40, 오징어게임  열풍에 참붕어빵도 월 최고 매출 기록,Economic
41, 뉴시스 창사 20주년 마크 파버  암호화폐  종이화폐 대체할 수 있다 ,Economic
42,SK바이오팜  이그니스 테라퓨틱스 지분 44 9  취득 결정,Economic
43,NFT 메타버스 기대감 펄어비스  실적 부진에도 신고가,Economic
44, 마스크 판박이 악몽  요소수 대란에 화물차 1대당 30  구매제한 종합 ,Economic
45, 마이데이터 시대  KB 한번에 다 되는 금융앱 첫단추 꼈다 ,Economic
46,   인플레 악재  또 얻어맞은 금융시장,Economic
47,머스크  테슬라 주식 매각했지만  아직 판 게 아니라는데 ,Economic
48,대출 막았지만  15억 초과 아파트 2년간 4억 올랐다 ,Economic
49,두산  친환경 미래기술  CES 2022 혁신상  7개 수상,Economic
50,실적 확 뛰었다 삼성생명 성장판 연 전영묵,Economic
51,10억원 규모 영업손실 여파 카카오페이 다시 14만원대,Economic
52,바이든  인프라 법안이 인플레 해법  경제 정상화 계획의 일부 ,Economic
53,삼성전자  고성능 반도체용 차세대  패키징 솔루션  개발,Economic
54,GS건설   상수도관 비굴착 보수공법  친환경 신기술 인증,Economic
55,인천국제공항  지난해 국제여객 첫 아시아 1위,Economic
56,삼성 LG전자 CES 2022 혁신상 휩쓸어 TV부터 신가전까지 종합 ,Economic
57,먹는 치료제 직격탄에 시총 10위도 위태  추락하는 셀트리온,Economic
58, 주식초고수는 지금  NFT 날개 달고 비상하는 게임주   엔씨소프트 매수 상위,Economic
59,외형 더 키워 삼성 멀리 따돌리겠다  TSMC 자신감 넘친 발언,Economic
60,삼성전자  차세대 2 5D 패키징 솔루션  H Cube  개발,Economic
61,유비벨록스  3분기 누적 이익 131억   지난해 실적 넘어서 ,Economic
62, fn마켓워치 삼양식품  첫 회사채  최대 1000억,Economic
63,SK바이오팜  3분기 매출 510  증가해 240억원 적자 축소 종합 ,Economic
64,무어의 법칙 한계 다다랐다 반도체 패키징에 힘 쏟는 삼성전자,Economic
65,3기 신도시  문화재 변수 에 발목     부천 대장 도 조사,Economic
66,서울 북촌 일대에 주차장 들어선다,Economic
67, 2025년 상용화  하늘 나는 택시 수직으로 50m 떠 3  슝 ,Economic
68, 내년 집 값 떨어지지 않을 것  민간   2  3 7  상승 예상,Economic
69,반려동물 하늘길 넓어진다 무게도 동반 숫자도 늘려,Economic
70, 요소수 수급조정 에 건설 장비 멈출라 건설사 긴장감 고조,Economic
71,송창현 현대차 본부장  TaaS 생태계 고도화 추진 파트너들과 동맹 ,Economic
72,SK바이오팜  신약 파이프라인 중국 판권 기술수출해 현지 법인 설립,Economic
73, 영 앤 리치  MZ도  엑스틴  40대도   손크게 명품 플렉스  P 코노미가 온다  Premium ,Economic
74,메타버스 NFT 품은 게임주의 반란 고공행진 언제까지 ,Economic
75,정은보  지방 시중은행  경영실태평가 등급기준 차등화 ,Economic
76,강남접근성 높은  베라시떼 하남  분양 예정,Economic
77,속도내는  UAM 상용화  김포공항서 날아오른  드론택시 ,Economic
78, 오픈런없이 원하는 상품을 합리적으로   P 코노미가 온다  Premium ,Economic
79,5 2 을 아시나요  시골 비즈니스가 뜬다,Economic
80,제2회 건축사 자격시험 합격예정자 330명,Economic
81,12일부터 중대형 오피스텔도 바닥난방 가능해진다,Economic
82,빌라의 시대 거래량  가격 상승률 아파트 추월  부동산360 ,Economic
83,바닥난방 허용 면적  중대형 오피스텔 공급 확대 기대,Economic
84, TSMC 잡을 비밀병기  삼성전자  차세대 반도체 패키징 솔루션 개발,Economic
85,삼성바이오  10년만에  바이오 글로벌 CMO 강자 등극  비결에는  삼박자 가 있었다,Economic
86,샐바시온   코빅실 V   델타 변이 바이러스 99 9  사멸 확인 ,Economic
87,삼성전자  최고사양  H Cube  개발 고성능반도체 공급 확대,Economic
88,아파트 버금가는 중대형 오피스텔 늘어난다 국토부  건축기준 개정,Economic
89,7억 주고  자녀 장학금까지  씨티은행 2500명  퇴직하겠다 ,Economic
90,15억 넘는 서울 아파트  2년새 집값 26 나 상승,Economic
91,삼성전자  차세대 2 5D 패키지 기술  H Cube  개발,Economic
92, 하늘 위 택시  UAM  김포공항에 떴다,Economic
93,오피스텔 120  이하까지 바닥 난방 허용   3 4인 중대형 공급 가능해진다,Economic
94,삼성바이오로직스   바이오 의약품 생산 50  차지  500조 기업 성장 ,Economic
95,2025년 상용화 드론택시  김포공항 3  날았다,Economic
96,인천국제공항  국제여객 실적  아시아 1위     개항 이후 최초,Economic
97,이주열 총재  물가 상승 당분간 지속    인플레 일시적일지 의문 ,Economic
98,바닥난방 설치 완화 중대형 아파텔 공급 활성화,Economic
99,삼성전자  고성능 반도체 패키징 솔루션  H Cube  개발,Economic
100,정승일 한전 사장  원전  정쟁 아닌 과학으로 접근해야 ,Economic
101,오피스텔 바닥난방 허용  전용 85 120 로 확대,Economic
102,백화점   부활 날개  폈다 질주하는 신세계,Economic
103, 발코니 있는 3 4인 가구 주거형 오피스텔 나온다,Economic
104,뭉칫돈 몰리는 달러예금 4대  한달새 22억 달러 ,Economic
105,2020년 인천공항 여객수송 세계 8위 아시아선 첫 1위,Economic
106,오피스텔 전용 120 까지 바닥난방 허용 중대형 공급 늘듯,Economic
107, 요소수 찾아라  팔 걷어붙인 종합상사,Economic
108,11월 입주예정 물량 4만6193가구 직전 1년보다 2배 증가,Economic
109,오피스텔  중대형 늘고 배기설비도 개선 공급 촉진 기대,Economic
110,중대형 오피스텔 공급 확대 바닥난방 허용 120 로 확대,Economic
111,2021년 제2회 건축사 시험 합격자 330명 합격률 5 0 ,Economic
112,코로나  집밥 간편식 열풍에 소스류 생산 5년새 22  ,Economic
113,3 4인 주거용 오피스텔 늘어난다  바닥난방 120 까지 확대 ,Economic
114,4년 뒤 공항에서  하늘 나는 택시  탄다 이용 방법은 ,Economic
115,건축사 자격시험 330명 합격 전회   1 5  ,Economic
116,중대형 오피스텔 바닥난방 허용 아파트값 잡힐까,Economic
117,고대역 메모리 6개 하나로 삼성  반도체 패키징  난관 넘었다,Economic
