,title,category
0,제 의 테슬라  리비안  일반 고객에도 전기차 판다,IT
1,넥슨 신작  블루아카이브  출격   실적 견인 기대,IT
2,OLED용 포토레지스트 국산화 성공,IT
3,삼성 SK하이닉스   에 반도체 자료 제출 고객사 정보 제외,IT
4,   레빌 랜섬웨어 범죄수익    만달러 회수 현상금도 확대,IT
5,프레스티지바이오파마   스푸트니크 라이트  코로나   백신 위탁생산 위한 기술이전계약,IT
6,Z플립 인기 해칠라    삼성전자  S   FE 유럽에만 출시 ,IT
7, 놀이와 일을 융합할  메타버스 세계 창조자  키우겠다 ,IT
8,BTC        달러 선 터치  신고가 등,IT
9,스페이스X  크루   우주선 발사 또 연기,IT
10,NHN   Q 영업익    억원  클라우드 성장에 최대 실적 ,IT
11, SK바사   분기 노바백스 CDMO 매출 고성장할 것 ,IT
12,비트코인 이더리움  나란히 최고가 경신,IT
13, 세계 최초  미세먼지 주범 일산화질소 암모니아 생산 기술 개발,IT
14,ETRI  디스플레이용 저온 포토레지스트 상용화,IT
15,AMD  메타에 서버용 칩 공급,IT
16, NASA 태양 탐사선  플라즈마 폭발과 사투 중   우주로 간다 ,IT
17, 메타버스 대표주  로블록스  매출       주가     폭등,IT
18, 자막뉴스  먹는 치료제  속속  개발  그러나   전문가들이 입 모아 하는 말,IT
19,삼성  갤럭시S   에 들어갈 퀄컴 차세대 스냅드래곤 베일 벗는다,IT
20,삼성전자 SK하이닉스    반도체 자료 제출  민감정보 제외 ,IT
21,백신 임상시험 부실 의혹에 화이자  내부 검토 중   그래도 부스터샷 필요해 ,IT
22,디즈니    어벤져스  등 마블 영화 아이맥스 화면비로 제공,IT
23, 알테오젠  기술이전 성과 확인 후보물질 모멘텀 본격화 기대 ,IT
24, 화성  환경에서 생산한 토마토로 케첩 만들었다 과학을읽다 ,IT
25,자율주행에 진심인 월마트   로봇트럭 이 창고 오간다,IT
26,삼성바이오  밀라노 바이오제약 컨퍼런스 참가   미래를 향한 무한 가능성  주제,IT
27,삼성전자 SK하이닉스    요구 반도체 정보 마감일 맞춰 제출 기밀 정보 제외,IT
28, 손님은 더이상  봉 이 아니다  택시가 변해야하는 이유,IT
29,애플  일론 머스크 저격수 영입 애플카 페달밟나 IT썰 ,IT
