,title,category
0,민주  낙상사고 가짜뉴스 유포   십알단 과 비슷 조직적 움직임 ,Politics
1,오준호  기본소득당 대통령 후보 출마선언,Politics
2, 영상  윤석열  김대중 기념관  방문  국민통합 계승 ,Politics
3,신지예  이재명  2030  는 집토끼고 2030  은 가져와야 할 표인가 ,Politics
4,지방세율 21 서 25 3 로   탄력 붙는  2단계 재정분권 ,Politics
5,여야   아들 50억 퇴직금  곽상도 사직안 본회의 처리 종합 ,Politics
6,곽상도  의원직 사직 통과 직후  반드시 결백 증명하겠다 ,Politics
7,진중권  윤석열  반듯이  갖고 생트집  유치해서 못 봐주겠다 ,Politics
8, 사퇴안 처리  곽상도  의원직 떠나 자연인으로  아들 문제로 불편 끼쳐 송구 ,Politics
9,   김혜경 사고 자료 공개  CCTV 속 아내 옆 밤새는 이재명 ,Politics
10,윤석열  5 18 분향 못한 채  사과  호남 분노 풀릴까 ,Politics
11, 현장영상  이재명  요소수 문제    이 관심 가져주면 혼란 극복에 도움 ,Politics
12, 의원직 상실  곽상도  아들 성과급 송구  저는 화천대유와 무관 ,Politics
13, 광주에서 봉하까지  정말 가식적      편가르지 말고 통합해야 ,Politics
14,이재명의  조건부 특검론  오늘 의결해도 대선까지 안 끝난다,Politics
15, 의원직 사퇴  곽상도  화천대유와 무관 반드시 결백 증명 ,Politics
16, 아들 50억 퇴직금  곽상도 사직안 본회의 가결 찬성 194표,Politics
17,정의용  종전선언  쉽지 않을 것 같다 ,Politics
18,감사서  금품수수 들킬라  망치로 하드디스크 부순 함양군 공무원,Politics
19,민주당  일상회복지원금 명분은  방역지원  사용처는  프리 ,Politics
20,   사흘새 3차례 이름 바꾼 전국민지원금  방역  빼고  일상회복 지원금 으로 추진,Politics
21, 문재인 저격수  곽상도  아들 50억으로 물러서 사직안 가결,Politics
22,  경제사령탑 전격 교체에 관심 집중      건강상 이유 ,Politics
23, 역대 대통령 호감도  박정희 32 2  노무현 24 0  ,Politics
24, 수사 미진하면  도 해야     대장동 특검 조건부 수용,Politics
25,이준석 비단주머니     킹크랩 잡는 크라켄  팀 띄운다,Politics
26,   이재명 부인 낙상사고 관련 가짜뉴스 강력 대응 ,Politics
27,정의용  한중 장관 회담 당시 요소수 보고 받지 못해  종합 ,Politics
28,후보 확정 후 지지율 치솟은 윤석열   1차 시험대  선대위 구성은,Politics
29, 강제적 게임 셧다운제  10년만 폐지 국회 본회의 처리 상보 ,Politics
30,윤석열  정치 보복  그런 공작은 안한다 ,Politics
31,이재명  가상자산 과세 유예해야   정부 차별화 가속페달,Politics
32,16세 미만  게임 셧다운제   10년만 폐지 본회의 통과,Politics
33, 측   반듯이  논란에  한글 모르냐 조롱하는 사람들이 오월정신 왜곡 ,Politics
34,  경제수석에 박원주 전 특허청장   첫 산업부 출신 발탁,Politics
35,곽상도  자연인으로 돌아간다    대장동 의혹은 전면 부인,Politics
36,이재명  청년 중도 확장 시도  MZ 겨냥  가상자산 과세 1년 유예 ,Politics
37,이준석의 비단주머니  1탄은 댓글조작 잡는  크라켄 ,Politics
38, 따릉이  내린 이준석  아이오닉5 이어 팰리세이드 탄다,Politics
39,자연인 된 곽상도  아들 50억 문제 송구하지만 난 결백하다 ,Politics
40,윤석열 측  이재명 측근  법인카드 유용   특검 수용해야 ,Politics
41,페미니즘과 거리두는     여성계  이대남 의식한 행보  반발,Politics
42, 광기 페미니즘  글 공유한 이재명 이대남 잡고 페미 손절 ,Politics
43,심상정  농어민에 월 30만 기본소득    농업공약 발표,Politics
44,윤석열  노무현 묘역 참배    국민 통합에 기여한 분 ,Politics
45,정부 반대에도 가상자산 드라이브 거는 이재명  당정 갈등 확산 예고 종합 ,Politics
46,봉하 찾은 윤석열  논두렁 시계  난 더이상 검찰 대표하지 않는다 ,Politics
47, 영상  윤석열 떠난 광주에 뜬 무지개  길조  vs  망조 ,Politics
48,농민 만난 김동연  당 없고 조건 나쁘지만 뚜벅뚜벅 걷겠다 ,Politics
49,KT  5G 중단 사고  서비스 불통에도 고객 정부에  쉬쉬 ,Politics
50,정의용  남북 대화과정서 교황 방북 검토하란 의견 전달 ,Politics
51,   반듯이  논쟁 이재명도 동참  오월정신 모독 vs 똑바로란 뜻  종합 ,Politics
52, 취재썰  이재명은 대구서 18   윤석열은 광주서 15  누가 더 긴장해야 할까,Politics
53,이준석  종로 다음 대선 출마설 일축  생각 없고 아직 일러 ,Politics
54,홍천 교통사고  아수라장  와중에 상황 정리해 준      큰 피해 막아 ,Politics
55, 단독  수원왕갈비  뜯으면서  지시에 검 경 딱 두번 모였다,Politics
56,청와대 신임 경제수석에 박원주 전 특허청장  건강상 이유로 교체 ,Politics
57,광주 5 18부터 봉하마을까지 윤석열  화해 통합  행보,Politics
58,카니발 양보하고 따릉이 탔던 이준석  팰리세이드 뽑는 이유,Politics
59,국회  곽상도 사퇴안 처리    특검 수용  발언 놓고 여진,Politics
60, 한미동맹 더 발전하길 기대    이재명    동아태 차관보 접견,Politics
61,   논두렁시계 반복안돼 낙상사고 허위사실 유포시 강력대응 ,Politics
62,무주공산  대구 중남구  누가 채우나 내년 보선 눈치싸움 치열,Politics
63,목포 봉하마을 찾은    DJ 노무현 국민통합 정신 배우겠다 ,Politics
64,국민의힘  이재명  조건부 특검 에 총력 압박  물타기는 국민에 대한 도리 아냐 ,Politics
65, 사직안 가결  곽상도  반드시 결백 증명  회피하지 않겠다 ,Politics
66,정의용  한중 장관회담 당시 요소수 보고받지 못해 ,Politics
67,한미외교차관보    조속 대화 논의  차관보  이재명에 동맹 강조,Politics
68, 대리점에 보복시 3배 배상  대리점법  국회 본회의 통과,Politics
69,러캐머라  이순신 장군  태산처럼 침착하고 신중하게  거론하며 연합군 대비태세 강조,Politics
70, 국회의원 사퇴  곽상도  아들 성과급 국민께 송구 ,Politics
71,군 비축 요소수 절반 20만리터 방출 항만 인근 주유소에 공급,Politics
72,심상정  이재명의  청년  속에  여성 의 자리는 없나 ,Politics
73, 댓글조작  킹크랩  잡는다  이준석 비단주머니 1탄은  크라켄 ,Politics
74,이제 이준석이  따릉이  대신 팰리세이드 타는 이유,Politics
75,최재해 감사원장 임명동의안  국회 본회의 가결,Politics
76,이재명  한반도 평화  많은 사람 생존 문제     동아태 차관보 회동,Politics
77,곽상도 사직안 가결 내년 3월 재보선 지역 5곳으로 종합 ,Politics
78,봉하마을 간 윤석열   노무현 정신  기리며  보고 싶습니다 ,Politics
79, 왕이  요소 수출제한 관련  에  오해 없었으면 좋겠다 ,Politics
80,봉하마을 방명록에  보고 싶다  적은 윤석열  권양숙은 못 만났다,Politics
81,이재명  방역지원금 조건부특검 반페미  때린 심상정,Politics
82, 대장동 50억  곽상도  의원직 상실    반대도 41표,Politics
83, 오월 정신  반듯이  세우겠다    윤석열 맞춤법 논란 진실은 ,Politics
84,곽상도  아들 성과급으로 불편 끼쳐 송구 대장동 관여 안했다 ,Politics
85,류호정  윤석열  이재명  아재  후보들 여성 삶 공감 못해 ,Politics
86,이재명  미중 외교행보 윤석열  노무현 정신 배우겠다 ,Politics
87, K 박람회  찾은  대통령  한류 넘어  K BOOM  시대로,Politics
88,  동아태 차관보    당국자와 연쇄회동  공급망  등 논의 종합 ,Politics
89,윤석열  반듯이  논란  7개월전 홍영표도  반듯이 지키겠다 ,Politics
90, 뉴스큐브  윤석열  광주 사과  이재명  행동 실천할 때 완성 ,Politics
