,title,category
0, 영상 광주 찾은    비대면 사과  피해자단체  공식 접촉 없었다  사진용인가 ,Politics
1,국민의힘  선대위 두고 온갖 루머 본질은 내년 공천권 싸움 ,Politics
2, 영상  특검  받으며 다시 정면돌파 나선 이재명 하락세 반전될까,Politics
3,국정감사 후폭풍 보좌진에게 11월은  실직의 달 ,Politics
4,최근 손자 얘기 자주 한 김정숙 여사 알고보니 그럴만 했네,Politics
5,여야 대선 후보  11일에도 전국으로 이재명은  청년   윤석열은  호남 ,Politics
6, 탈당규모  이준석 판정승 김종인 영입 청년지지 등 불씨 여전,Politics
7,미국  핵 선제불사용 에 유럽 일본  반대  한국 대응은 ,Politics
8,김종인 이준석 중진들  선대위 구성  동상삼몽     윤석열의  깐부  선택은,Politics
9,국민 70 가 반대하는데    민주당은 왜  이재명표 재난지원금  밀어붙일까,Politics
10, 물러가라  혼돈의 5 18묘지 윤석열 떠나자 뜬 무지개,Politics
11, 단독   쓴소리  조응천  민주당 선대위 레드팀 맡는다,Politics
12, 반 페미니즘 글  또 공유한 이재명  일각  균형 잡아야  우려,Politics
13,광주시민 저지에 분향소도 못 간 윤석열  저는 쇼 안한다 ,Politics
14,이재명   정부 국민 기대 못 미쳐  더 나은 상황 만들겠다 ,Politics
15, 요소수 대란   의 찜찜한 사과  불편 초래 송구  대응은 잘해 ,Politics
16, 생각보다 미미하네  안철수  미풍 속    에 날선 비판,Politics
17,   20년전 법정서 자주 뵀다      형사 거의 안해 기억없어 ,Politics
18,광주 찾은 윤석열  5 18 정신 헌법전문에 올릴 것 ,Politics
19,  수출규제땐  죽창가  언급한  정부  중국엔 아무 항의 안해,Politics
20,이재명 당선땐 내수 신재생  윤석열 당선땐 원전 건설 업종 유망,Politics
21,이재명   의 동시특검 주장에  내가 뭘 잘못했나 ,Politics
22,조건부 특검 꺼낸 이재명  윤석열 포함땐 수용 ,Politics
23,   이재명정부   과 전혀 다른 유능한 정부 될것 ,Politics
24,  비서실장  당초 장제원 거론  김종인 반대로 무산,Politics
25,윤석열  성남 법정서 20여년전 자주 봐  이재명  기억이 없어 ,Politics
26,5 18추모탑 참배 막힌    상처받은 분들께 머리 숙여 사과 ,Politics
27,조건부 특검 시사한    내가 무슨 문제 있나   정면 돌파 의지,Politics
28,이재명  대장동 특혜  유동규 일탈    국민 인식과 괴리,Politics
29,이미 예고됐었던 요소수 대란  뒷북 대응  짚어봐야,Politics
30,국민의힘  중앙선대위 인선 시작 윤석열 김종인 이준석 시각차는 잔존,Politics
31, 총리  이재명의  재난지원금 에  정부로선 대책 없는 이야기 ,Politics
32, 일문일답  광주 찾은 윤석열  저는 쇼 안해   항의하는 분들 마음 이해 ,Politics
33,5 18 묘역 찾아 고개 숙인 윤석열 광주는   앞길 막아섰다,Politics
34,임기 7개월 남기고  국민 대화  승부수    지지율 반전 노리나,Politics
35,10 P 앞선 윤석열   컨벤션 효과  유지 관건은  정책 ,Politics
36, 광기의 페미니즘 멈춰달라   홍카단  글 SNS에 공유한 이재명,Politics
37,광주 찾아 머리 숙인 윤석열  5 18 정신 헌법 전문에 올라야 ,Politics
38,이재명  대장동 수사 미진하면 특검  조건부 수용,Politics
39,이준석  세대  윤석열  진영  대선 전략차이가 갈등의 배경,Politics
40, 허주열의     일기   출가한 딸  청와대 동거  어떻게 봐야하나,Politics
41, 5 18 빼면 전두환 잘했다 던 윤석열  상처받은 분들 사과 ,Politics
42,김총리  재난지원금 추가지급에  정부로선 대책이 없는 이야기 ,Politics
43,민주  방역지원금 꼼수 논란에  따뜻한 세정  10조 원 추진,Politics
44,김남국  펨코서 쫓겨났다고  소통하자 문자 받아    귀여워 ,Politics
45,5 18 헌화 막힌 윤석열 입구에서  상처받은 분들께 사과 ,Politics
46,    요소 18 700톤 수출절차 진행  한국 도착은 언제 ,Politics
47,   마스크값만 25만 원  방역용품 지원    홍남기  자의적으로 안 돼 ,Politics
48,윤석열  호남서 DJ계와 만찬  DJ정신 배우면 나라 제대로 갈 것 ,Politics
49, 나이트포커스  사과는 했지만   비보다 차가운  호남 민심 ,Politics
50, 페미니즘 깨야 청년문제 보인다  홍카단 글 공유한 이재명,Politics
51,  돌아가자 5 18묘역에 뜬 무지개  지지자 항의자 정반대 해석,Politics
52,이재명  음주운전 경력자보다 초보운전이 더 실수할 위험  종합 ,Politics
53,정체된    선 긋는      힘 빠진 제3지대,Politics
54, 페미니즘 멈춘다고 약속해 달라  그러면 지지할 것  글 공유한  ,Politics
55, 음주운전보다 초보운전 더 위험   이재명 측 해명  실수위험 말한 것 ,Politics
56,여  당 결재부터 받아라  야  매표용 지원금 ,Politics
57,이재명  국민의힘 5 18 망언자 제명해야    광주 간 윤석열 견제,Politics
58,이재명  윤석열  가짜사과 아니길 5 18 망언자 제명해야 ,Politics
59,잘 먹어도 힘든 게 유격훈련인데   부실급식 주장에 부대 해명 들어보니,Politics
60, 홍준표 꼬붕  안철수와 작당  김종인에 찍힌   파리떼 누구,Politics
61,  부실수사 언급하며  대장동 특검 거부  한발 물러선 이재명,Politics
62,광주 찾은 윤석열  상처받은 분들께 사과    5 18 묘지 참배는 무산,Politics
63,   조건부 특검  입장 선회      특검 수용은 바람직 ,Politics
64,이재명 윤석열  후보로 첫 대면      재계 끌어안기,Politics
65,이재명  윤석열의  취임하면 돈 확 뿌리겠다  발언에  되는대로 막 던지시지 마시고 ,Politics
66,     광주 방문 에  표 계산용 이벤트 출장 정치쇼  맹비난 종합 ,Politics
67, 따져보니  이재명 윤석열  돈풀기 공약  나랏빚은 괜찮나,Politics
68,윤석열  국민통합  구상 김종인에 총괄선대위원장 제안,Politics
69,요소수  급한 불  껐지만   대체 수입처 찾기 난망,Politics
70,이재명  차별금지법 신중론 에 심상정  대통령도 다음에 하라 ,Politics
71,광주시민  상처 에 다가가지 못한 윤석열  머리 숙여 사과 ,Politics
72,5 18분향소 37m 앞 멈춰선   참배광장 한복판서 빗속 사과 종합2보 ,Politics
73,  고발  이재명 아내 낙상사고 허위사실  글 보니  주먹 이상의 가격 ,Politics
74,5 18 헌화 막힌 윤석열 입구에서  상처받은 분들께 사과 ,Politics
75, 페미 반대  글 공유한 이재명  청년들의 절규 전하고 싶었다 ,Politics
76,이재명  대장동  내가 뭘 잘못  수사 미진하면 특검 ,Politics
77,    요소 18 700톤 수출절차 진행  한국 도착은 언제 ,Politics
78, 대선도 주고 총선도 준 민주당   골룸  같다  비판글에 이재명  함께 읽어보시죠 ,Politics
79,민주당  이재명이 주먹 가격  허위사실 유포 2명 고발 ,Politics
80,   비 맞으며 머리 숙였지만   넉 달 만에  50m  멀어진 호남민심,Politics
81,윤석열  상처받은 분들께 사과 ,Politics
82,이재명  대장동 특검 공감한다 ,Politics
83, 대통령도 대통령이기 이전에 부모   대통령 딸  거주  쏟아진 관심 이슈픽 ,Politics
84,   비서실장에 권성동 아닌 장제원 원했지만  김종인 비토로 포기 ,Politics
85,이재명은  민생  여당은  방역  방점 다른  지원금 동상이몽 ,Politics
