,title,category
0, 핫클릭  김흥국  오토바이 치고 달아난 혐의로 벌금형  ,Social
1, 영상  함양 대봉산에 내린  첫눈 의 향연,Social
2,모더나  돌파감염 적은 대신 심근염 발생 화이자의  배,Social
3, 세 친딸 살해  동거남 극단선택 이르게 한   대   년 감형됐다,Social
4,송도근 사천시장직  상실  부시장 대행 체제,Social
5, 문상윤 식품전문기자의 우리 몸에 좋은 식품 이야기   우리 몸을 건강하게 만드는 식품 겨울철 간식과 건강차,Social
6,오세훈표  안심소득  실험  정부 승인 내년부터 시작,Social
7,어제 광주   명 전남   명 코로나   확진,Social
8, 초등생 조카 깔고 간 트럭 기사  명함만 주고 사라져    한문철 진단은,Social
9, 요소수 팝니다  속여  먹튀  닷새간    건 구속 사례도,Social
10, 얀센 접종자들 한결 편해지겠네  오늘부터  부스터샷 도 네이버 카카오로 가능,Social
11, 기성용 몰래 사문서 위조    억 땅 산 부친  인정했다,Social
12, 요소수 팝니다  돈만 받고 잠적 피의자 첫 구속 피해자   명 종합 ,Social
13,초등학교 요양원서 집단감염 전북서   명 확진,Social
14,안동 포항 영천 등   개 시군서   명 확진 경북 누적  만   명,Social
15, 당신 덕분에 성장    년 전 퇴사자도 한우 챙겨준 회사,Social
16,올 가을 들어 가장 추운 날씨 일부 지역 눈 비,Social
17,홧김에 여고생 옷에 소변 본 연극배우  무죄 판결 뒤집힌 이유는 ,Social
18, 투자전문가 소개  알고 보니  인 역 사기 전과  범 실형,Social
19, 병원 가던 중 나았다  구급차 부른 그 가수가 향한 곳 ,Social
20,중고나라 당근 등  요소수 먹튀 사기   일새    건 적발,Social
21,박근혜 정부 대변인  술 취해 여성 소방관 폭행한 혐의로 기소,Social
22, 따놓은 당상  총기 입찰 사업   군사정보 유출 유죄 ,Social
23,요양병원 확진자 증가세 광주  명 전남   명,Social
24, 가방 잃어버렸다  경찰에 신고했다가 주머니서 마약 떨어뜨린   대 구속,Social
25, 트럭에 아이가 치었는데 명함만 주고 갔다  당시 영상,Social
26,경북   명 확진 가족  지인 등 산발 감염 이어져,Social
27, 굿모닝MBN 날씨 한낮  올가을 가장 추운 날씨 내일 아침 절정  낮부터 풀려 ,Social
28,경북    곳서   명 확진 이번엔 안동서 급속 확산,Social
29,오세훈표 안심소득 실험 내년부터 시범사업,Social
30,경북 안동 등   개 시 군서   명 추가  누적  만   명,Social
31, 원주국립과학관  중앙투자심사 또 부결  정부 사업인데  ,Social
32, AZ백신  차 접종 친정 아버지 횡단성 척수염으로 하반신 마비  국민청원,Social
33,수능 앞두고 거짓   과장 광고 기승 이런 사례들 있었다,Social
34,여학생 등 뒤에 몰래 소변 본 연극배우 대법  강제추행 ,Social
35,오늘부터 유류세       기름값  언제쯤 떨어질까,Social
