,title,category
0, 자율주행 특허전쟁 서막 완성차 IT 부품기업 기술확보 치열한  파전,Social
1,조희연  위드 코로나 비상계획 발동되면 초중고 전면등교도 중단 ,Social
2,국민의힘 홍석준 의원  구사일생  의원직 유지,Social
3, MBN 프레스룸  임창정  미접종 확진  논란,Social
4, 뇌물수수  김연창 전 대구 부시장  대법 징역  년 확정 종합 ,Social
5,   년 미뤄온 차별금지법 심사 또 미뤄 보수 기독교에 여야 굴복 ,Social
6,생태 평화체험 명소  DMZ 평화의 길    일부터 다시 열린다,Social
7,화이자 부스터샷 맞고 사망 국내 첫 사례 나왔다,Social
8, 마스크 안쓰고 폭력  제주 적반하장 방역위반자 속출,Social
9,주간 학생 일평균    명 확진  역대  위  등교율    ,Social
10,인터넷 개인방송 진행자  명에 칼부림   대 항소심도 징역  년,Social
11,국내  대 제지업체 폐수 무단 방류 의혹  최소     톤 추정 ,Social
12,광주 서구  출장 여비 야근 식비  부적정 집행 감사 본격화,Social
13, 지자체NOW  청탁금지법 위반  송도근 사천시장   당선 무효형  시장직 상실,Social
14,  배우 매코너헤이      세 백신 의무화 안 돼 정보 더 필요 ,Social
15,권순정  공수처 대검   하청감찰 입건사주 한게 아닌지 우려스러워 ,Social
16, 구급차가 연예인 택시    청주서 남양주 공연장까지 이동한 가수,Social
17, 대변인 공용폰 불법 압수  사건  공무원 범죄 전담 수사부 배당,Social
18,COP   초안  맹탕   툰베리  유엔에  기후 비상상황 선포  청원,Social
19,경산상방근린공원 조성사업 기공식 일부 편입 지주 반발,Social
20,주한 미국 외교관  택시 추돌 후 도주   경찰 조사 거부,Social
21,서울중앙지검   대변인폰 압수  대검 감찰과장 고발사건 수사착수,Social
22,서울 중증병상 사용률     임박 정부는  비상계획 논의는 일러  종합 보 ,Social
23,차세대 기관총 정보수집 방산업체 직원 집유,Social
24,실외 노마스크 가능할까 정은경  일상회복  단계 전환 어려울수도 ,Social
25,수능 일주일 앞인데 학생 확진자 일평균      명,Social
