,title,category
0, 대선 여론조사 마크롱 대통령  위 극우 후보  위 경쟁 치열,World
1,바이든 대통령 지지율    로 추락 미반영된  인프라법안  통과 영향 주목,World
2,   세이하 아동  인당   만엔 수당     국민      반대 ,World
3,뉴욕타임스  초밥 미국에 알린 건 한국인  문선명 통일교 총재  조명 ,World
4,이번엔 사망자       코로나 미스터리  급감 이유 아무도 몰라,World
5,  코로나 신규감염   명 본토   명  확산    무증상   명,World
6,핏자국 닦고 재포장한 의료장갑  미국에  억 개 풀렸다,World
7,MS 애플 구글 아마존 테슬라 빅테크  조 달러 경쟁 치열,World
8, 내달 바이든의 첫 민주주의 정상회의에 한국 초청 ,World
9,마오쩌둥에서 시진핑 미중분쟁 코로나까지 미리 보는    역사결의 ,World
10,중국  중 전회 개막 시진핑 장기집권 길 연다,World
11,뉴질랜드의 집값 잡기 성공할까 전세계 당국자 관심 집중,World
12,미국판 뽀로로  나 백신 맞았어  트윗에    세뇌시키나  발칵,World
13,블룸  삼성전자 SK하이닉스도 반도체 정보 제출할 것 ,World
14, 비혼모  일본 톱스타 하마사키 아유미  공연 뒤 실신했다 회복중,World
15, 테슬라 주식 팔까  에    만명  OK  머스크 진짜 팔면 주가는 ,World
16, TSMC   반도체 공급망  정보   제출 ,World
17,미국서  K마스크  열풍  딴죽 거는 일본  짝퉁이 더 효과   김유민의돋보기 ,World
18,드론에 부서진 이라크 총리 관저 바이든  가해자 책임지게 될 것  영상 ,World
19,틱톡서 배운  살려줘요  손짓 차에 갇힌 소녀 극적 구조,World
20,미국도 난방비 대란 우려 에너지부 장관  올겨울 난방비 작년보다 비쌀 것 ,World
21,바이든 지지율    선 붕괴 인프라 예산안 통과  반등 모멘텀될까,World
22,손바닥 폈다 오므렸다 이 손짓 뭐길래    대 소녀 구했다,World
23,화이자 백신 첫 계약했던 이스라엘  먹는 치료제엔 꾸물 왜 ,World
24,머스크  테슬라     팔까요   네티즌        팔아요  ,World
25,코로나 누적 확진자   억 천만 명   전 세계 인구      감염 ,World
26,백신 접종자 격리 없는  여행 시작됐다 국경 재개방,World
27,  휘발유값     폭등  지지율 추락 바이든  발등에 불 ,World
28,중국  첫 여성우주인  시간   분 우주유영 성공,World
29,중국 공산당  번째 역사결의 추진 역사결의가 뭐길래 ,World
30,대만 TSMC  미국에 반도체 공급망 정보 제출  가장 명확 ,World
31, 생존 위한 전쟁터였다   광란 의 미 콘서트 압사 참사,World
32,  바이두  자율주행차  사람이 운전하는 차보다 안전해질것 ,World
33, 생존위한 전쟁터였다   광란 의 미 콘서트 압사 참사 종합 ,World
34, World Now 영상   중국 여성 최초   톈궁  건설 우주비행사 우주선 밖 임무 성공,World
35,인프라 예산 밀어붙인 바이든 지지율 반등은 여전히 미지수,World
36,  러시아 가스관 잠글 채비 올겨울 난방대란 우려  종합 ,World
37,호주  백신 복권   등 당첨자는 중국계 여성 하루아침에 백만장자,World
38,최악의   전력난  진정 국면     환경 드라이브 후퇴 불가피,World
39,백신 안 맞고  면역력 생겼다 던 NFL 선수 거짓 논란,World
40,니카라과 오르테가    년 연속 집권  눈앞 바이든  엉터리선거  종합 ,World
41,화이자  팍스로비드  임상 결과  입원 사망확률     감소,World
42,백신접종 금지했던 탈레반  소아마비 퇴치 국제기구 활동 허용,World
