,title,category
0,가상자산 과세하면 개인간  직접 거래  한다  거래소 위기론 재부각,Economic
1,   님  수평 조직문화 강조한 삼성전자  인사제도  년 만에 개편,Economic
2,셀트리온 코로나 치료제 유럽 진출  청신호 ,Economic
3,셀트리온헬스케어   Q 매출     억원  분기 누적  조원 돌파,Economic
4,CJ제일제당  바이오 광폭 행보 이번엔  화이트 ,Economic
5,대한항공   Q 영업이익     억원 전년        급증,Economic
6,폴라리스오피스  셀바스AI 지분 전량 처분해 유동성 확보,Economic
7,셀트리온헬스   분기 영업익     감소해    억  가격 조정 탓 ,Economic
8, 속보  이스타항공 회생계획안 인가  벼랑끝 탈출    정상화 수순 밟는다,Economic
9,해외주식 소수점 거래  대부분 증권사서 가능,Economic
10, 손이 덜덜 떨린다  상한가 찍은 엔씨소프트   대 급락에 개미들 악소리,Economic
11,서울  반값아파트  후보지 반발 확산  반전세와 뭐가 달라  ,Economic
12,대한항공   화물 덕에 영업익       뛰었다  년만에     억 돌파,Economic
13, 베트남 등서 요소수  개월분 추가 확보    총  개월치 구했다,Economic
14, 화물이 효자  대한항공   년만에 분기 영업익     억  회복 ,Economic
15,위중증 환자    명  역대 최다    비상계획은 아직 일러  종합 ,Economic
16,GM      년까지 한국에 전기차   종 출시 생산은 안 해,Economic
17,정부  소아청소년 코로나   백신접종 적극 권고  예약없이 가능 ,Economic
18,다시 살아난 이스타항공 법원  회생계획안 인가 종합 ,Economic
19,한국지엠      년까지 전기차   종 출시 GMC 브랜드 도입,Economic
20,가상자산 과세하면 개인간  직접 거래  한다  거래소 위기론 재부각,Economic
21,정부  소아청소년 코로나   백신접종 적극 권고  예약없이 가능 ,Economic
22,다시 살아난 이스타항공 법원  회생계획안 인가 종합 ,Economic
23,한국지엠      년까지 전기차   종 출시 GMC 브랜드 도입,Economic
24,베트남 사우디서 요소  만t 수입 차량용 요소수  개월치 확보,Economic
25, 입사 때 꿈  이룬 셀트리온 연구개발본부장의 감회,Economic
26,코로나에도 대한항공 날았다  년만에 분기 영업익  천억원 돌파 종합 ,Economic
27,   이스타항공 회생계획안 인가  경영 정상화 속도 ,Economic
28,오피스텔 시장 이미 과열  구매할 땐 신중해야 ,Economic
29, 리딩금융인  토스에  어벤저스 해커팀  있다 평균연령   대,Economic
30,정부  차량용 요소수 보유 물량    개월치로 늘어나  종합 ,Economic
31,추격하는 넷플릭스  추락하는 디즈니  대장주 오징어게임  승자는 ,Economic
32,NFT 검토만 해도 주가 급등  묻지마 투자  주의보,Economic
33,삼성전자   년 만에 인사제도 손 본다   키워드는  유연 수평 ,Economic
34,자동차보험 손해율 개선에 웃었던 손보사  위드코로나에 내년 불투명,Economic
35, 증시이슈   사잇돌대출  재개한 카카오뱅크        상승 마감,Economic
36,진에어  전산장애로 항공편 마비 대한항공 대체편 투입,Economic
37,오늘부터 유류세     인하   전국  천 개 주유소 동참,Economic
38, 화물운송 빛났다  대한항공   운임 타고  분기 연속 흑자 상보 ,Economic
39,현대  노조  쟁의행위 찬반투표 가결  조합원       찬성,Economic
40, 바닥 안보이네  수도권 아파트 매수심리  주 연속 하락,Economic
41,신인석 전 금통위원  금리 인상으로 가계부채 증가 억제 어려워 ,Economic
42,대한항공  분기     억 영업이익 화물 매출 역대 최대,Economic
43,군 요소수 이틀 만에 동나 중국산 요소   일 여수항 입항,Economic
44, 너무 달렸나    NFT주 일제히 급락,Economic
45,급격한  탈원전 탈석탄  정책에 한국전력 올해  조원 누적적자,Economic
46,서울 서북권 아파트 매수심리   살 사람 보다  팔 사람  더 많다,Economic
47,금융당국  카카오뱅크  의심거래 보고 미흡  지적,Economic
48,  한숨 시티  조롱에 입주 포기도    년 만에 대반전,Economic
49,외국인 기관 쌍끌이 순매수 코스피   대 상승마감,Economic
50,농심  새우깡 블랙  불티  일부 유통점서 품귀현상 ,Economic
51,이스타항공  벼랑 끝 탈출  법원  회생계획안 인가 종합 ,Economic
52,정부  국내 보유 예정 차량용 요소수     개월분 ,Economic
53,승객 대신 화물로 채웠다   대한항공 영업이익 작년의   배,Economic
54, 속보 대한항공   분기 영업익     억 전년        ,Economic
55,탈서울 행렬에 경기 아파트 청약 경쟁률  년 새  배 폭증,Economic
56,모더나 맞으면 심근염 발생  배 높다는데  당국  상황 예의주시 ,Economic
57, 불매 안 해요  유니클로  질샌더 컬렉션  인기  온라인서 일부 품절,Economic
58,손보사 빅   코로나에  분기 순익  껑충    보험료 인하 압박 이어질라  쉬쉬 ,Economic
59,내년 봄까지 요소수 부족 없다 정부   개월치 확보 ,Economic
60, 바닥 안보이네  수도권 아파트 매수심리  주 연속 하락,Economic
61,네이버 D SF  공간 확장 이전 스타트업 공격 투자 확대,Economic
62,비실비실 코스피 외인 거래량 모멘텀 사라진     장세  언제까지,Economic
63, 반월역 두산위브 더센트럴    일 특별공급 청약,Economic
64,고령자 확진 증가세 현실로   돌파감염 막으려면 추가접종  상보 ,Economic
65,현대중공업 노조  올해 임금협상 파업 찬반투표 가결,Economic
66,차량용 요소수 총     만   개월치 확보    여개 주유소 우선 공급,Economic
67,엔씨       억 슈퍼개미  등장에 주가 요동 하루만에    급락,Economic
68,기관 외인 매수에 코스피   대 상승          마감 종합 ,Economic
69,로보어드바이저  콴텍   하락장에서도       깜짝 수익률,Economic
70, 영상 NFT 메타버스 날개단 게임주  성장 지속 vs 과열 ,Economic
71, 단독 과학기술인공제회     위 통신타워 리츠에     만달러 투자,Economic
72, 비트코인 지금      만원대로 소폭 하락 마이애미 시장  비트코인 수익  주민에게 배당 ,Economic
73,인천 원도심 부활  부평역 해링턴플레이스  이달 분양예정,Economic
74,코스피  외인 기관  사자     넘게 상승 시총상위  대부분 올라,Economic
75,진에어 전산장애로   편 지연 제주노선에 대한항공 대체편 투입,Economic
76, 단독  신사업 힘 싣는 DB손해보험  임원인사  주 앞당긴다,Economic
77,코스피  외국인 기관 매수에      선 안착 엔씨소프트   대 하락,Economic
78,이스타항공  부활 날개 편다  법원 회생계획안 인가 종합 ,Economic
79,정부  국내 보유 차량용 요소수    개월분으로 늘어나 ,Economic
80, 분기 역대 최대 실적 HMM  주가 반등 성공할까,Economic
81,네이버 D SF  공간 확장 이전 스타트업 공격 투자 확대,Economic
82,  보  서울회생법원  이스타항공 회생계획안 인가,Economic
83, 외환마감 국내증시 반등 위안화 강세 환율      원대 후반 하락,Economic
84,공매도 이긴 두슬라     억 공매도 공격에도 주가는     ,Economic
85, 경제토론  빌릴 땐     맡길 땐     대출  아닌  서민  잡는 대출 규제,Economic
86,코스피 기관 외인 매수에     선 반등 마감 천스닥도 회복,Economic
87, 유니클로 불매 끝났나        가격  한정판 구하러 오프런 웃돈 거래까지,Economic
88,이스타항공  회생계획안 통과  정상화 절차 돌입,Economic
89,아마존 퀄컴 등  기업들  자국정부에  반도체 공급난 해결  이미 늦었다 ,Economic
90,언급만 해도 주가 급등  마법의 주문  입소문 난  이것 ,Economic
91,MSCI 지수에 크래프톤 엘앤에프 F F 등  종목 편입 종합 ,Economic
92,역대 최대 매출에 사상 최고가 찍은 천보,Economic
93, 큰 고비 넘겼다  이스타항공 채권단 변제율      회생계획 동의,Economic
94,엔씨  하루 만에 급락 증권가는  리니지W NFT 기대  목표가  종합 ,Economic
95,셀트리온헬스케어  코로나치료제 렉키로나    개국 판매 협상 ,Economic
96, 코스피 마감 외인 기관  사자  속    넘게 반등      선 ,Economic
97, 년만에 인사제도 개혁 나선 삼성전자 키워드는  유연 수평 ,Economic
98,OTT 공룡들 오는데 토종 OTT 규제는  제자리 ,Economic
99,정부  차량용 요소수  개월치 확보 베트남 사우디서 추가물량 ,Economic
100,정부  베트남 등에서 차량용 요소 추가 협의   개월치 확보,Economic
101, 서 집 내놓은지  주일이면 팔려  역대 최단 기간 ,Economic
102,MSCI 지수에 크래프톤 엘앤에프 F F 등  종목 편입,Economic
103, 최초 항체치료제  렉키로나     개 병원  만    명에 투여,Economic
104, 코인뉴스  비트코인   탭루트  업그레이드로 반등 꾀할까 투자자  관심집중 ,Economic
105,민간연구소들  집값 더 오른다  전망 정부도 내부적으론 상승 예측,Economic
106,  번가   십일절 에 역대 최고 기록    천억원 돌파,Economic
107,연료비 연동제 왜 도입했나 한전   분기 영업손실    종합 ,Economic
108,정부   월 이후 처음  내수 개선  진단   고물가 공급망 차질은 우려,Economic
109,한국   재생에너지 투자 매력도    위로  계단 하락,Economic
110,정부  차량용 요소수  개월치 확보 베트남 사우디서 추가물량 ,Economic
111,진에어  시스템 복구지연에  김포 제주 노선  대한항공 대체편 투입,Economic
112, 알려줘  경제  수천억 탈세 내부고발해도 포상금  원 누가 고발할까,Economic
113,토스 뱅크샐러드  전자서명인증사업자 선정,Economic
114, 무한도전  레전드짤  무야호  NFT    만 원 낙찰,Economic
115,유류세 인하 첫날 휘발유  천   원대로 하락 직영 알뜰주유소 북적 종합 ,Economic
116,이건희 쓰러지고  개월 뒤   이재용이  잡스 멘토  찾아가 털어놓은 고민,Economic
117,  석탄 늘리면   태양광 수익성 좋아져  신재생에너지의 역설,Economic
118,폭주하는 게임   NFT   P E  한마디에 묻지마 급등,Economic
119, 주일 만에 또 병상확보 행정명령 수도권 준중병상 총   개 확보,Economic
120,정부  차량용 요소수    개월치 물량 확보,Economic
121, 실적발표 전 사두라  월가  엔비디아 목표가 줄상향,Economic
122,갈수록 커지는 서민 이자부담  무주택 디딤돌대출 최대      포인트 ,Economic
123,칙칙했던 금호동  마장동 일대 정비사업  순항 ,Economic
124,KTB투자증권   분기 누적 순이익     억 첫     억 돌파,Economic
125,셀트리온  유럽서도 사용 승인  청신호     글로벌 허가 프로세스 가속화,Economic
126,충남 아산지역 비규제 풍선효과에 부동산 시장  들썩 ,Economic
127,락앤락   광군제서 매출 대박 사상 첫    억원 돌파,Economic
128, 역시 K뷰티  아모레 LG생건    광군제  흥행  얼마나 팔았나,Economic
129, 미뤄줄 세금 없는데      납세유예  카드 꺼낸 이유는 종부세 역풍 피하려는 꼼수 ,Economic
130,라인어스   전기차 충전 솔루션  개발   CES서 첫 공개,Economic
131, 신세계 이베이   이커머스업계 선두주자 부상 어떤 시너지 낼까,Economic
132,손보사  분기 줄줄이 호실적  코로나 수혜   보험  년만에 흑자 종합 ,Economic
133, 다 같은 오피스텔 아니다  주거용    뛸 때 원룸은 보합,Economic
134,퇴로 막고  징벌적 세금  들끓는 민심 대선 향한다,Economic
135,국토부  법인 외지인   억원 이하 아파트  투기 의혹 집중 조사,Economic
136,코스닥    위 카카오게임즈 위메이드     넘게 상승,Economic
137,한전   분기 영업손실     억  연료비 상승 요금 동결에  적자 전환 ,Economic
138,신인석 전 금통위원   가계 부채 잡다가 실물경제 위축  금리인상 반대,Economic
139,한전  올해  분기까지 영업손실  조 천   억,Economic
140,관가에 부는  요소수  후폭풍  경제수석 교체로  경질카드  시사 ,Economic
141,솔루스첨단소재   Q 매출     억원   연속 분기 최대 실적 ,Economic
142, 수기 항공권  받은 진에어 승객들  싸게 제주 다녀오려다 망했네 ,Economic
143,로봇이 만든 아이스크림 라떼 아트 배틀   서울카페쇼  가보니,Economic
144, 이슈큐브  신규확진      명 위중증    명  최다 ,Economic
145, 용도변경 해준다더니 지자체에선 불허   혼란스러운 생활형 숙박시설 분양자들,Economic
146,리비안이 왔다  상장 첫날 GM 포드 시총 넘어,Economic
147,최대  억 퇴직금 주는 씨티은행  퇴사 안 하는     인력 재배치 속도,Economic
148,  월분 카드 캐시백     억원   일부터    만명에게 환급,Economic
149,셀트리온  렉키로나 유럽 승인 권고 소식에 기대감 상승,Economic
150,항공 여행 살아나는데 진에어  전산장애로   여편 결항 지연,Economic
151,이재용   년전  폴더블폰 파운드리투자  구상   어느덧 현실로,Economic
152,진에어  전산장애 지속   대한항공 대체편 투입,Economic
153, 입지 편의성 가격   박자 갖춘  신길 AK 푸르지오  분양,Economic
154,내 통장 돈도 맘대로 못찾는 은행 신규계좌    만원  한도 풀릴까 종합 ,Economic
155,정부  요소수 검사 기관 추가 지정   검사 기간도 단축,Economic
156,디즈니  국내 상륙 LGU  KT 고객 유치전 나서,Economic
157, 시승기  포르쉐  레이싱 서킷에서 폭발적인 성능을 자랑하다        GT   카이만 GT   카이엔 터보GT 시승기,Economic
158,신선식품 넘어 스마트폰까지 마켓컬리  새벽배송 영역 확장,Economic
159,금감원  카카오뱅크에  의심 거래 보고 미흡  지적,Economic
160, 진정한 시험은 말이야  머스크  신성 리비안에  훈수 ,Economic
161, 주춤한 코스피 대신 금 투자해볼까  석달 새 코스피     금값    ,Economic
162,모더나 백신 심근염  배  방역당국  연령제한  전문가 협의 후 결정 ,Economic
163, 레이더M  테일러메이드가 낫소골프 인수한 사연은 ,Economic
164, 색감부터 구도까지 완전히 똑같다  발란  프라다 광고 표절 논란  언박싱 ,Economic
165,한전   년새 영업익    조 증발 연료비 상승에  분기도  먹구름  종합 ,Economic
166,한전   분기 영업손실     억원 올해 누적 적자  조    억원,Economic
167,손보사   분기도 호실적  보험료 인하 압박 커지나 종합 ,Economic
168,GM  향후  년간 한국에 전기차   종 쏟아낸다,Economic
169, 테마주 말고 정책 수혜주도 있다  이재명은 친환경주  윤석열은 원전주 수혜 전망,Economic
170,알리바바  광군제 거래액    조  공동부유 에 성장세는 꺾여,Economic
171,이재용의  뉴삼성  어떨까 삼성전자   년 만에 인사제도 바꾼다,Economic
172, 그런 집은 초등학생도 사겠다  딸 핀잔 준 엄마   년  개월 뒤  반전 ,Economic
173,  차산업 도시 로 도약하는 금천구   석 석 서울 ,Economic
174,서울 아파트값 상승폭 확대        재건축 기대감,Economic
175,대방건설  포항펜타시티 대방 엘리움 퍼스티지  이달 분양,Economic
176,미분양이라는 대구  힐스테이트 동인 에 선착순 계약자 몰려,Economic
177,한국GM      년까지 전기차   종 출시 한국선 생산 안해 ,Economic
178, 인플레 쇼크  부동산 시장의 두 모습,Economic
179, 증시이슈  미래에셋증권   분기 호실적과 자사주 매입에    상승,Economic
180,현대건설   힐스테이트 앞산 센트럴  전용면적         대  로  순위 마감,Economic
181,전직 금통위원  금리로 집값 잡으려면 코로나급 GDP 충격 ,Economic
182,보험사  부동산PF 대출   조 육박 경고음  나몰라라  종합 ,Economic
183, 유류세 내렸는데 왜 그대로지     기름값 내린 주유소 찾는 법,Economic
184,   만원 패딩이   만원대  주 만에 다시 줄선  유니클로   현장  ,Economic
185,한전  분기 영업손실     억원 올 누적 손실  조 돌파,Economic
186,금감원 부원장보  명 발탁인사   정은보 체제  구축 본격화,Economic
187,중단했던 카뱅 사잇돌대출  중 저신용자 대상으로 재개,Economic
188,진에어   시 괌노선 오후  시에도 발묶여 전산장애  난리통 ,Economic
189,경제학계  금리인상  가계부채 안정 수단으로 적합하지 않아 ,Economic
190, 금통위원이 말하는 금리인상이 바람직하지 않은  가지 이유,Economic
191,삼성전자  년만에 인사제도 개편    이재용의  뉴삼성  빨라진다,Economic
192,유니클로 콜라보 한정판 일부 제품 또 품절 매장 앞 대기줄도,Economic
193,노브메타파마   개 파이프라인 미 FDA  상 추진   기관투자도 확보 ,Economic
194, 마켓인 낫소골프 인수한 테일러메이드  밸류업 박차,Economic
195, 수기 항공권 들고  시간 대기  진에어 전산장애에 발묶인 승객들,Economic
196, 나만 예약 안했나   해외항공권 발매      급증,Economic
197, 다 사도   만원밖에 안 해  유니클로   J  컬렉션 에 또 인파 몰렸다,Economic
198,코인원 가상자산사업자 신고 수리 완료 업비트 코빗 이어 세 번째,Economic
199,연료비 뛰는데 전기료는 제자리 한전 두 분기 연속 적자,Economic
200, 어린이집도 방역패스   백신 미접종자 음성확인서 제출해야,Economic
201,이재용   년 전 골드만삭스 만나 미래 사업구상 논의했다,Economic
202,  주택자도 추첨으로 당첨  서울 전화 빗발친 아파트 어디 ,Economic
203,해커스공무원   급  급공무원 시험 대비  전 강좌 무제한 패스  선봬,Economic
204, 첫 달 카드 캐시백      억 원 내외   일 지급 ,Economic
205,K뷰티    쌍십일 행사서 잇따라 역대 최대 매출 기록 종합 ,Economic
206,락앤락  중국 광군제 매출    억 넘었다 텀블러 견인,Economic
207,진에어  마비  발 묶인 승객들  독일 서버 문제 ,Economic
208,영구음수      형 부귀 번영의 터  브라이튼한남 분양 인기,Economic
209,라임 판매 증권사  금융당국 심판대 올라  CEO 제재 는 내년으로,Economic
210,김선호 효과 대박      번가  십일절 하루만      억 팔았다,Economic
211,이창근  영업부문 성과 KTB투자  순익     억 돌파,Economic
212, 위드 코로나 에 외식업 활짝  CJ프레시웨이  신났다 ,Economic
213,유니클로  협업으로  NO재팬  돌파구 나서나  온라인서 벌써 품절,Economic
214,디에이테크놀로지   분기 매출    억원 세자리수 급증,Economic
215, 더현대 서울  여의도 전역에 백화점 맛집 음식 배달,Economic
216,수도권 아파트 매수심리  년 개월 만에 최저 마포 등 집팔자 더 많아,Economic
217,대방건설       천원  계약자 정보 팔아 피해자  속출 에 경찰 수사 착수,Economic
218,충남 아산권 관심    비규제 풍선효과일까  연내 뜨거운 관심 이어갈 듯,Economic
219,   위   위   위   한국 재생에너지 투자 매력도 하락  왜 ,Economic
220, 대출 능력 인 시대 중도상환     증가   왜 ,Economic
221,한전   분기     억원 손실   개분기째 적자,Economic
222,KTB투자증권   Q 누적순이익 첫     억원 돌파,Economic
223,  규제 리스크  중전회에도 K뷰티 K패션 광군제서  대박 ,Economic
224,진에어 전산장애로   편 지연 제주노선에 대한항공 대체편 투입,Economic
225,카카오뱅크  금감원에  의심거래 보고 미흡하다  지적 받아,Economic
226,한전   분기 최초 영업손실 연간 누적도  조원대로,Economic
227,관광산업 재도약 선언   천  백만 해외 관광객 유치 ,Economic
228,서울 집값 재건축 지역이 견인 이번 주       올라,Economic
229,치솟는 유가에 수입물가   년 만에 최대 상승,Economic
230, 코로나 덕분에  제약바이오   연 매출  조  예약 러시,Economic
231, 이게 얼마만이야    GS샵  해외여행 상품 방송 재개,Economic
232,국민 생선 고등어도 이젠  이것  없어야 잘 팔린다,Economic
233,정부가    만  풀었다고   한 방울도 없다  주유소 울분  요소수 현장 ,Economic
234,어제보다    원 떨어진 휘발윳값   이 시각 주유소 상황,Economic
235,KTB투자증권   분기 누적 순이익     억 첫     억원 돌파,Economic
236, 김대호의 경제읽기  글로벌 인플레이션 공포 엄습 복합 요인에 속수무책,Economic
237,한국GM      년까지 전기차   종 출시   한국 생산 계획은 없어 ,Economic
238,총회 없이 돈 빌리고 임원은 상여금 잔치   부실운영 재건축 재개발 조합  곳 철퇴,Economic
239,신재생 과속에 연료비 급등 더해지자   한전   분기  조원가량 영업손실,Economic
240, 정선 하이원 하늘길  명품  독일 검은 숲  같은 잠재력 있다 ,Economic
241,포스코건설   송도 아메리칸타운 더샵  오피스텔 판매시설 분양,Economic
242,솔루스첨단소재   Q 영업익   억 전년       매출은 최대,Economic
243,한전  분기 영업손실  천   억원  개 분기 연속 적자 종합 ,Economic
244, 대 거래소 중  업비트 코빗 코인원  가상자산사업 신고 완료 빗썸만 보류,Economic
245, 풀 땐 풀고  조일 땐 조이고  마스크 벗은 이탈리아의 방역 비결,Economic
246, 소아청소년 백신접종 강력 권고   방역당국 급선회한 배경은 ,Economic
247,   만원 더 줘도 화물차 못 구해  요소수 대란 이어 유가보조금 축소  역풍 ,Economic
248, 철옹성 호재에도  뚝뚝  떨어진다  아파트값 최고 상승률 세종시   위 추락,Economic
249,  만개   시간 만에 동났다   없어서 못 사는 삼성화재 카톡 이모티콘,Economic
250,현대엔지니어링  전남 무안군 남악신도시  힐스테이트 오룡  분양,Economic
