,title,category
0,나이언틱  차세대 포켓몬고 제작 경쟁시대 연다,IT
1,삼성 SK  미국에  반도체 자료  제출 TSMC 기밀정보 제외,IT
2,네이버웹툰  드라마  그 해 우리는  프리퀄 공개,IT
3, 화이자 백신 임상 허술 데이터 진실성 의심  내부 폭로 파문,IT
4,내년 출시될 갤S    S펜  내장하나  다시 떠오르는  갤노트 단종설 ,IT
5,김택진의  마지막 리니지  글로벌 노린  리니지W    개월만에 정상 탈환,IT
6,속도내는  온플법 에 플랫폼 업계는  난색 ,IT
7,구글  외부결제 허용했지만 수수료 최고      갑질 논란  여전,IT
8,넷플릭스  망 사용료  무임승차 논란   년 넘게 결론 못 내린 공정위,IT
9, OTT토크쇼     톡 타고 훨훨  카카오TV  시청의 일상화 목표 ,IT
10, 체험기  애플TV  K   폐쇄성  버리고 화질 음향 속도 다 잡았다,IT
11,모임 회식 폭증에  대리 택시 안잡힌다  위드 코로나에 웃는 모빌리티,IT
12,카카오T 출근시간대 강남 단거리 배차성공률      년만에    배,IT
13,  반도체 정보 제출  코앞   삼성 SK하이닉스  부분 제공  무게 ,IT
14, 리니지W   오딘 배그 뉴스테이트 반격에도  위 유지할까 ,IT
15,먹는 코로나 치료제  속속  개발   효능과 보완점은 ,IT
16,네이버  질의 의도 파악해 최적의 답 보여주는 검색 AI     제목낚시 막는다 ,IT
17,갤노트 부활  S펜 내장  갤S   울트라  내년  월 출시,IT
18, MK TECH REVIEW   기본 소홀했다  뼈아픈 지적 어깨 더 무거워진  KT ,IT
19, 피플   봉 의사  손길 닿자 말썽쟁이 제구도 얌전,IT
20,영화  마션 처럼  화성 조건에서 키운 토마토로 케첩 만들었다,IT
21, 게임   오딘  기세에 눌렸던  N  신작으로 반격 노린다,IT
22, 실리콘밸리 리포트  페북이어 MS도 메타버스  업무용 가상공간 내년 출시,IT
23, 관점  특허  속빈 강정  벗어나야 국가 생존    대선주자  R D 중요성 깨달아야 ,IT
24,택시콜 카카오의   였던  타다  왜 퇴출될 수밖에 없었나,IT
25, 애플카  속도 내나  머스크와 이견  테슬라 자율주행책임자 영입,IT
26,머스크  주식     팔까 에 테슬라 주식    폭락,IT
27,메타버스의 무대  버추얼 이 뜬다,IT
28, 영상  내후년까지 차량용 반도체 공급난 지속  반도체 업계와 협력 절실 ,IT
29,택시엔 늘  눈엣가시  였지만 카카오T 타다가 바꾼 것들,IT
30, 삼성 폴더블폰 싫으면 아이폰만 사라   요즘  살 폰  없다 ,IT
31,화이자  먹는 치료제  등장에  국내 제약 바이오   우수수 ,IT
32, 이기자의 게임픽  크래프톤   글로벌 메가 IP  중심의 성장 추진,IT
33, 이준기의 D사이언스   위성 발사체 개발   년  이제는 과학 주도 우주탐사에 힘 쏟을때 ,IT
34,삼성 SK   에 기밀 뺀 반도체 정보 제출했지만   후속조치가 두렵다 ,IT
35,삼성  갤럭시S    내년  월 언팩설 유력,IT
36,   디지털 PCR 기술의 이노베이터  레보스케치     세대 PCR  분할 증폭 검출  통합  극미량 유전자 농도 진단,IT
37,먹는 코로나 치료제 내년  월에 온다,IT
38,연간휴가 제한 없나요  당근이죠 당근마켓 개발자 천국인 이유는,IT
39, 이 주식 위험해요   한국 대표 게임 왜 천덕꾸러기 됐나,IT
40, 인공지능  삼성의 똑똑한 가전콜라보  AI IoT로 확대,IT
41, 이것까지 된다고    끝판왕  애플TV가 노리는 건 따로있었다,IT
42,카풀 타다도 좌절시킨  택시 정치    자율주행차 나오면 어쩌려고,IT
43, 귀신 들린 폰  LG폰 조롱하더니  이 폰 은 더하네  뭐길래,IT
44, 스마트폰 발열 잡는다  샤오미    냉각기술 공개,IT
45, 때가 어느 때인데  정부는 아직도  인재  만명 양성  타령,IT
46,국보  이스라엘  먹는 코로나   치료제 개발업체      만   투자,IT
47, 미국서도 통했다  삼성전자   폴더블폰 비중           ,IT
48, 글로벌 금융 메카    움직임 심상찮네 비트코인  다시     만원선,IT
49, 해커와의 전쟁  나선 국제사회    활동 중단하는 랜섬웨어 조직 속출,IT
50,넷플릭스  게임 서비스 애플 넘어 성공할까 ,IT
51,가상자산 시장  년새  배  변동성 줄면서 체력도 강해졌다,IT
52, 메타버스  시동거는 신한은행    자체 스테이블코인 발행 추진,IT
