,title,category
0,윤석열 호남 지지율    넘고 MB 박근혜와 비슷 광주 방문 영향은,Politics
1,사과한    광주  달래고 중도 공략   지지층 결집 연출  비판 직면,Politics
2, 단독    의 입  이양수 김병민  금태섭 윤희숙엔  러브콜 ,Politics
3,민주  사과 강제집행       단체  대선 위해 광주 이용 ,Politics
4,  수출규제땐  죽창가  언급한  정부  중국엔 아무 항의 안해,Politics
5,이재명 당선땐 내수 신재생  윤석열 당선땐 원전 건설 업종 유망,Politics
6,이재명   의 동시특검 주장에  내가 뭘 잘못했나 ,Politics
7,조건부 특검 꺼낸 이재명  윤석열 포함땐 수용 ,Politics
8,   이재명정부   과 전혀 다른 유능한 정부 될것 ,Politics
9,  비서실장  당초 장제원 거론  김종인 반대로 무산,Politics
10,윤석열  성남 법정서   여년전 자주 봐  이재명  기억이 없어 ,Politics
11,    추모탑 참배 막힌    상처받은 분들께 머리 숙여 사과 ,Politics
12,조건부 특검 시사한    내가 무슨 문제 있나   정면 돌파 의지,Politics
13,이재명  대장동 특혜  유동규 일탈    국민 인식과 괴리,Politics
14,이미 예고됐었던 요소수 대란  뒷북 대응  짚어봐야,Politics
15,국민의힘  중앙선대위 인선 시작 윤석열 김종인 이준석 시각차는 잔존,Politics
16, 총리  이재명의  재난지원금 에  정부로선 대책 없는 이야기 ,Politics
17, 일문일답  광주 찾은 윤석열  저는 쇼 안해   항의하는 분들 마음 이해 ,Politics
18,     묘역 찾아 고개 숙인 윤석열 광주는   앞길 막아섰다,Politics
19,임기  개월 남기고  국민 대화  승부수    지지율 반전 노리나,Politics
20, 요소수 대란   의 찜찜한 사과  불편 초래 송구  대응은 잘해 ,Politics
21, 생각보다 미미하네  안철수  미풍 속    에 날선 비판,Politics
22,     년전 법정서 자주 뵀다      형사 거의 안해 기억없어 ,Politics
23,광주 찾은 윤석열       정신 헌법전문에 올릴 것 ,Politics
24,이준석  세대  윤석열  진영  대선 전략차이가 갈등의 배경,Politics
25, 허주열의     일기   출가한 딸  청와대 동거  어떻게 봐야하나,Politics
26,      빼면 전두환 잘했다 던 윤석열  상처받은 분들 사과 ,Politics
27,김총리  재난지원금 추가지급에  정부로선 대책이 없는 이야기 ,Politics
28,민주  방역지원금 꼼수 논란에  따뜻한 세정    조 원 추진,Politics
29,김남국  펨코서 쫓겨났다고  소통하자 문자 받아    귀여워 ,Politics
30,     헌화 막힌 윤석열 입구에서  상처받은 분들께 사과 ,Politics
31,    요소       톤 수출절차 진행  한국 도착은 언제 ,Politics
32,   마스크값만   만 원  방역용품 지원    홍남기  자의적으로 안 돼 ,Politics
33,윤석열  호남서 DJ계와 만찬  DJ정신 배우면 나라 제대로 갈 것 ,Politics
34, 나이트포커스  사과는 했지만   비보다 차가운  호남 민심 ,Politics
35, 페미니즘 깨야 청년문제 보인다  홍카단 글 공유한 이재명,Politics
36,  돌아가자     묘역에 뜬 무지개  지지자 항의자 정반대 해석,Politics
37,이재명  음주운전 경력자보다 초보운전이 더 실수할 위험  종합 ,Politics
38,정체된    선 긋는      힘 빠진 제 지대,Politics
39, 페미니즘 멈춘다고 약속해 달라  그러면 지지할 것  글 공유한  ,Politics
40,   P 앞선 윤석열   컨벤션 효과  유지 관건은  정책 ,Politics
41, 광기의 페미니즘 멈춰달라   홍카단  글 SNS에 공유한 이재명,Politics
42,광주 찾아 머리 숙인 윤석열       정신 헌법 전문에 올라야 ,Politics
43,이재명  대장동 수사 미진하면 특검  조건부 수용,Politics
44,이준석  세대  윤석열  진영  대선 전략차이가 갈등의 배경,Politics
45, 홍준표 꼬붕  안철수와 작당  김종인에 찍힌   파리떼 누구,Politics
46,  부실수사 언급하며  대장동 특검 거부  한발 물러선 이재명,Politics
47,광주 찾은 윤석열  상처받은 분들께 사과         묘지 참배는 무산,Politics
48,   조건부 특검  입장 선회      특검 수용은 바람직 ,Politics
49,이재명 윤석열  후보로 첫 대면      재계 끌어안기,Politics
50,이재명  윤석열의  취임하면 돈 확 뿌리겠다  발언에  되는대로 막 던지시지 마시고 ,Politics
51,     광주 방문 에  표 계산용 이벤트 출장 정치쇼  맹비난 종합 ,Politics
52, 따져보니  이재명 윤석열  돈풀기 공약  나랏빚은 괜찮나,Politics
53,윤석열  국민통합  구상 김종인에 총괄선대위원장 제안,Politics
54,요소수  급한 불  껐지만   대체 수입처 찾기 난망,Politics
55,이재명  차별금지법 신중론 에 심상정  대통령도 다음에 하라 ,Politics
56,광주시민  상처 에 다가가지 못한 윤석열  머리 숙여 사과 ,Politics
