,title,category
0,아내 흉기로 위협  경찰관에 성기 노출   대 처벌은 ,Social
1,진에어 전산장애   시간째 제주공항 하루종일 혼잡,Social
2, 하루  만명 확진   명 사망  예측에 정부  긴급의료대응계획 발표,Social
3,지하철서  딱딱딱  태연히 손톱 깎아 바닥에 버린 중년 남성,Social
4,법원   피격 공무원 유족에  안보실 해경 정보 공개해야  판결,Social
5, 성폭행 진술번복 강요  한샘 전 팀장   심도 징역형 집유,Social
6,성매수 남성  모텔로 들어갔는데 폭행하고 돈 뜯으려 한 무서운   대,Social
7,서울 지하철  호선  장애인 단체 시위로   분간 운행 지연,Social
8, 심근염 위험  배  모더나 외국선    세 이하    접종중단인데,Social
9, 희망고문 그만  정규직 전환 이행하라  가스공사 비정규직 총파업,Social
10,  년간 준비했는데  부처 간  핑퐁 에 헤매는 국제학술대회,Social
11, 속보  검찰   주가조작 의혹  권오수 도이치모터스 회장 구속영장 청구,Social
12,통영 앞바다 삼치어선 밍크고래  횡재       만원에 팔렸다,Social
13,검찰   주가조작 의혹  권오수 도이치모터스 회장 구속영장,Social
14,검찰   도이치모터스 주가 조작  권오수 회장 구속영장 청구,Social
15,TY홀딩스 직접 지배 아래 놓인 SBS  구성원은 규탄 기자회견,Social
16,셀트리온헬스케어   분기 누적매출  조 돌파,Social
17,법원     해경    피격 공무원 사망 정보 일부 공개하라 ,Social
18, 사람 밟은 줄  넘어진 오토바이 극적으로 피한 운전자  영상 ,Social
19, 속보     도이치모터스 주가조작  권오수에 구속영장 청구,Social
20,아내 흉기로 위협  경찰관에 성기 노출   대 처벌은 ,Social
21,법원     해경    피격 공무원 사망 정보 일부 공개하라 ,Social
22, 사람 밟은 줄  넘어진 오토바이 극적으로 피한 운전자  영상 ,Social
23, 속보     도이치모터스 주가조작  권오수에 구속영장 청구,Social
24, 핵불닭소스   고추냉이 쌈  억지로 먹이고   시간 감금   대들 징역형,Social
25,창원 서성동 성매매 집결지  문화공원으로 재탄생 밑그림 나와,Social
26, 노컷한컷 요소수  휘청  유류세  출렁  진에어  꽁꽁 ,Social
27, 속보  검찰   주가조작 혐의  권오수 도이치모터스 회장 구속영장 청구,Social
28,법원  정부    피격 해수부 공무원 자료 일부 공개 ,Social
29,오세훈   요로결석  복통 응급실행  치료후 업무 복귀  종합 보 ,Social
30,법원  수리센터 부품 운반하는 협력사 직원  현대차 근로자 아냐 ,Social
31,기사회생한 이스타항공 법원  회생계획안 인가 ,Social
32,실종된 할아버지 찾다가 진드기에 물려 숨진 수색견 모노,Social
33, 속보  검찰   도이치 주가조작  권오수 회장 구속영장 청구,Social
34,    도이치모터스 주가조작  권오수 회장 구속영장 청구,Social
35, 이재명 윤석열 안철수 심상정 천안함 사건 입장 표명해야  생존 장병들 촉구,Social
36,감염재생산            감소  비상계획 거론할 때 아냐  종합 ,Social
37, 만취 벤츠  운전자 징역  년 유족  사과받은적 없어 ,Social
38, 해양 의무경찰 훈련병  역사 속으로 마지막 기수 수료,Social
39,오세훈 서울시장  요로결석에  응급실행   휴식 후 업무복귀 예정,Social
40,셀트리온헬스케어   분기 누적매출  조 돌파,Social
41,법원  북한 피격 공무원 유족에 안보실 해경 자료 공개하라 ,Social
42,길 가는   대 여성 껴안은 노숙인 구속 송치,Social
43,홍천   대 어머니 접촉한   대 아들도 코로나   확진,Social
44,사고 낸 고령운전자        당국  인지검사 결과 면허장서 확인 ,Social
45, 임금협상 난항  현대중공업 노조  파업 찬반투표 가결,Social
46,장애인단체  서울 지하철  호선에서 이동권 보장 시위,Social
47,대변인 폰 압수 논란에 김오수  무겁게 받아들여 대검 규정 변경 검토 ,Social
48, 김경록  하드디스크 보관장소 먼저 알려줘    조국 수사팀  대검 감찰 반박,Social
49,  년 아파트 지킨 경비원 쓰러지자 자발적 모금운동 벌인 주민들,Social
50,이혼하자는 남편  수면제 먹이고 흉기 살해      대 징역   년,Social
51,지나가던   대 여성 껴안고 술집서 난동부린   대 구속송치,Social
52,검찰  대장동 키맨  유동규 새폰 포렌식 자료 공유 요청 경찰  협조 ,Social
53,성매수 남성 유인해 폭행하고 돈 뜯으려 한 무서운   대,Social
54,양평 요양병원  주새   명 집단감염 환자  명 사망,Social
55,강원 토요일 아침은 영하권 추위 지속 낮부터 풀려,Social
56, 오토바이 뺑소니  김흥국   심서 벌금    만원 선고,Social
57, 성폭행 피해자에 성관계 강요  한샘   인사팀장  심도 집행유예,Social
58,방역수칙 위반한 김부겸 총리  종로구  과태료   만원 부과 예정 ,Social
59,여수국가산단서 중질유    톤 유출 이틀째 방제작업,Social
60,이재명 부인 이송 보고 안 했다고 퇴근한 대원 불러내 질책,Social
61,전태일   주기     일 서울 도심서 노동자들  불평등 타파  대규모 집회 예고,Social
62, 광주 붕괴참사 비위  문흥식  첫 재판서 일부 혐의 부인,Social
63,대장동 불법 수익으로 기업 인수    주가조작 시도 정황까지,Social
64,대장동 남욱 빚     억 원  예금보험공사는 안 찾았나 못 찾았나,Social
65,조국측  재판서  대검 대변인폰 압수  거론  PC 압수수색 위법  주장,Social
66,충북 오후  시   명 확진 학교 학원 학생감염 여전,Social
67, 해남의 맛과 멋을 즐기세요  해남미남축제 팡파르,Social
68,신규 확진      명   위중증    명 또 역대  최다 ,Social
69,현대중공업 노조 쟁의행위 결의 올해 노사교섭 관련,Social
70,춘천 코로나   확진자  명      번  추가 발생,Social
71,복통으로 응급실 간    요로결석 배출됐다  곧 복귀,Social
72,역대 중국 왕조 붕괴  지구 곳곳 화산 분출 탓 ,Social
73,시속    km로 노동자 덮친 음주운전 전과자  징역  년,Social
74,셀트리온 코로나 항체치료제  렉키로나   사실상 유럽 사용 허가,Social
75,대장동 머니  쌍방울 전 대표에게로    주가조작  전 부사장도 연루,Social
76,NC  코로나   확진자 발생 백신  차 접종 후 확진,Social
77,서울 코로나 중환자병상 가동률     넘어 비상기준 초과,Social
78,허태정  공무원 사망 사건 유감 표명     조직문화 개선 노력 ,Social
79, 멈춘 차에 몸 대더니  으악   음주운전이라며 돈 요구  황당 ,Social
80,응급실행 오세훈 요로결석 치료  휴식 후 곧 업무 복귀  종합 ,Social
81, 교장 출신 황제교사제 폐지를    교원  단체 교육부에 의견서,Social
82,하루종일 이어진 진에어 시스템 장애    전국 공항 항공편 지연 잇따라 ,Social
83,공수처   고발사주 의혹  손준성 검사 구속영장 재청구 고심,Social
84,권영진 대구시장  범안로 무료화  공약 무산 대신  통행료     인하 ,Social
85,마스크 없이 살 수 있을까   국민      마스크 계속 써야 ,Social
86,방탄소년단 RM  대구미술관 대구보건대 인당뮤지엄 깜짝 방문,Social
87,정부  차량 요소수  개월치 확보    여개 주유소 우선 공급,Social
88,서울지하철  호선 장애인 단체 시위로   분 넘게 지연,Social
89, 그린 택소노미  뭐길래 원자력 놓고 독 프 갈라진 EU,Social
90,경산시장 국민의힘 예비후보 여론조사  오차범위 내 접전,Social
91,광주 센트럴운암 모아엘가 트레뷰    가구 공급,Social
92,갓길에 세워진 대형 트럭 들이받아  명 숨지고  명 경상,Social
