,title,category
0,선관위   이재명 집무실 조폭 사진  공개한 시민단체 대표 고발,Social
1, 땅 투기 의혹  기성용 아버지  사문서 위조 인정,Social
2,의료연대  간호사  덕분에 가 아닌 인력충원 해달라     명   집회,Social
3,대선후보 이재명의  메타버스  전국 순회 첫 도착지는 울산,Social
4,군 간부에 군사기밀 불법 수집한 방산업체 대표 집행유예,Social
5, 백종원 볼카츠  논란에 입 연 연돈 사장  좋은 취지  정말 신난다 ,Social
6,검찰  수사기밀 누설  광주 경찰관 추가 기소,Social
7,위중증 환자    명  역대 최다   위드 코로나  빨간불,Social
8, 대변인폰 압수  고발 사건  서울중앙 반부패 부 배당,Social
9,면허도 없이 음주운전에 목격자 폭행한   대 검거,Social
10,기성용 아버지 아들 몰래 사문서위조 인정,Social
11, 부스터샷  국내 첫 사망 신고 화이자 접종   대 여성,Social
12,경기선관위   이재명 조폭 연루설  주장한 시민단체 고발,Social
13,전두환 며느리  연희동 별채 공매 무효 소송  심도 패소,Social
14,의료연대 결의대회    격려에도 지난  년간 의료현장은 제자리 ,Social
15, 전세 연장하고 이혼 위기   청와대로 간 무주택자들,Social
16, 턱스크  한 채 손에는  담배    마스크 써달라  요구에 커피 던진   대,Social
17,  세 이상 부스터샷 당길 듯  전문가회의 공감대  내주 발표,Social
18,기관총 관련 군사기밀 수집하려 군에 돈 뿌린 방산업자들,Social
19,대구 앞산 모노레일  실시설계  진행   년   월 공사 완료,Social
20, 카카오T 독주 막자  부산  동백택시  내달 공식 출범  종합 ,Social
21, 예산에 환경오염시설 추진 도미노 농촌이 도시의 식민지인가 ,Social
22, 나눔도 일상회복 중   위드코로나 로 활기 찾은 봉사현장,Social
23, 성관계 영상 유포  종근당 장남  심도 집행유예,Social
24,오늘부터 차량용 요소수    만  생산한다,Social
25,이웃집 몰래 들어가 용변 보고 침 뱉고   대 남성  심 실형,Social
26,풍년의 역설 쌀값 하락에 과잉 물량  시장격리  요구,Social
27,검찰총장 돌연 연차  법무 장관은 방패  커지는 편파 수사 논란,Social
28,    대변인폰 압수  대검 감찰부 사건 수사 착수,Social
29,당뇨환자   년간       증가 심혈관질환 위험  배 높아,Social
30,중앙지검   대변인폰 압수  감찰과장 고발사건 반부패부 배당,Social
31,검찰   김건희 주가조작 연루 의혹  권오수 도이치모터스 회장 재소환,Social
32, 시끄럽다  고시원 이웃에게 흉기 휘두른   대  체포,Social
33, 여성 신체 촬영물 유포  종근당 장남   심도 집행유예,Social
34,꽃잎처럼 금남로에   관 나르고 투사 회보 만든       민주화운동 여성들 ,Social
35,방대본  미접종자 중심 감염 확산   독일과 유사한 상황 발생 가능 ,Social
36,내일부터  부스터샷 도 네이버 카카오 앱 통해 당일예약 가능,Social
37,육군 특수전 기관단총 사업 기밀 수집 방위업체 직원   집행유예 선고,Social
38, 현직 의원 수사  부담 던 검찰  이르면 주말께 곽상도 소환,Social
39,아이 재운다며 눌러 숨지게 한 어린이집 원장 징역  년,Social
40, 유격장 부실급식  제보의 반전 군  자율배식이었다 ,Social
41,BJ들 찾아가 흉기 난동   대에 항소심도 살인미수 인정,Social
42, 기사 나면 어떡해   불법 도박장  개그맨 김형인 무죄  검찰 항소,Social
43,조희연  청소년 백신 접종  자율 원칙이나 전향적 판단해달라  종합 ,Social
44,충남공무원노조  강제 동원 개선 없으면 투 개표 사무 거부  영상 ,Social
45,MB국정원의 PD수첩 죽이기  부숴버리고   종북세력 수괴 제거 ,Social
46,해운대구도 재난지원금  만 원 지급   일상 회복에 도움 되길 ,Social
47,무면허 음주운전 중 사고 내자 목격자 폭행까지   대 검거,Social
48, 간호인력 충원 의료서비스 강화하라  병원 돌봄노조 총파업 결의,Social
49,떠나는 곽상도의 결백 호소  대장동 사업 관여 안해 ,Social
50, 금품수수 혐의  송도근 사천시장  대법서 시장직 상실형 확정,Social
51, 마스크 왜 안써  처음보는 행인에 침뱉고 종업원 때리고,Social
52,정은경  확진자 지속되면 일상회복  단계 전환 어려울 수도 ,Social
53,천재교육 vs 아이스크림미디어  초등 교과서  등 ,Social
54, 자율주행 특허전쟁 서막 완성차 IT 부품기업 기술확보 치열한  파전,Social
55,조희연  위드 코로나 비상계획 발동되면 초중고 전면등교도 중단 ,Social
56,국민의힘 홍석준 의원  구사일생  의원직 유지,Social
57, MBN 프레스룸  임창정  미접종 확진  논란,Social
58, 뇌물수수  김연창 전 대구 부시장  대법 징역  년 확정 종합 ,Social
59,   년 미뤄온 차별금지법 심사 또 미뤄 보수 기독교에 여야 굴복 ,Social
60,서울시   안심소득  내년부터 시범실시   저소득    가구 대상  소득 적을수록 많이 지원 ,Social
61, 정부 믿고 전세 연장했다가 이혼 위기  무주택자들   앞 시위,Social
62, MBN 프레스룸  후진하는 트럭에 ,Social
63,조희연  청소년 백신 접종  자율 원칙이나 전향적 판단해달라  종합 ,Social
64,  대 여성  화이자 부스터샷 맞은 후 사망 국내 첫 사례,Social
65, Pick  유명 가수  구급차 타고 청주 남양주  연예인 택시  논란,Social
66, 정 변호사의 현장일지   년 전 빌려준  비트코인  얼마 받을 수 있나 ,Social
67,제주 지역화폐 활용 온라인 카지노 도입   큰 논란 예상 ,Social
68,양승동 KBS 사장   심서도  근로기준법 위반  혐의 부인,Social
69,     세 백신 사전 예약 내일 마감      세 접종률      ,Social
70,검찰   대변인폰 압수  대검 감찰과장 고발건 수사 착수,Social
71, 술집 앞에 오토바이 세워놨다가 생돈    만원 날릴 판   영상 ,Social
72,경북문화관광공사  경주 보문단지 짚라인 조성사업 졸속 추진에 고개 숙여,Social
73,정부  코로나   위중증환자 계속 증가할듯 추가접종 당부 ,Social
74,주한 미국 외교관  택시 추돌 후 도주   경찰 조사 거부,Social
75,서울중앙지검   대변인폰 압수  대검 감찰과장 고발사건 수사착수,Social
76,서울 중증병상 사용률     임박 정부는  비상계획 논의는 일러  종합 보 ,Social
77,차세대 기관총 정보수집 방산업체 직원 집유,Social
78,실외 노마스크 가능할까 정은경  일상회복  단계 전환 어려울수도 ,Social
79,수능 일주일 앞인데 학생 확진자 일평균      명,Social
80,생태 평화체험 명소  DMZ 평화의 길    일부터 다시 열린다,Social
81, 예타 면제해 주오  울산건강연대  울산의료원 설립 예타 면제 촉구,Social
82,미접종은 죄인일까  김흥국 임창정이 기름부은  백신거부  논란,Social
83,       목  코로나   종합  신규 확진     명 위중증 환자    명 또  최다 ,Social
84,  대 여성  화이자 부스터샷 맞은 후 사망 국내 첫 사례,Social
85, Pick  유명 가수  구급차 타고 청주 남양주  연예인 택시  논란,Social
86,광주 서구  출장 여비 야근 식비  부적정 집행 감사 본격화,Social
87, 지자체NOW  청탁금지법 위반  송도근 사천시장   당선 무효형  시장직 상실,Social
88,  배우 매코너헤이      세 백신 의무화 안 돼 정보 더 필요 ,Social
89,권순정  공수처 대검   하청감찰 입건사주 한게 아닌지 우려스러워 ,Social
