,title,category
0,    독일주둔 미사일사령부   년만에 재가동 준비   냉전시대 회귀 ,World
1,유럽의 골칫거리 벨라루스  난민 공격 에 허 찔린 EU,World
2,애플은 아니라지만 팀쿡 CEO  암호화폐 개인적으로 투자 ,World
3,미접종자 중심으로 감염 확산     주 뒤면 남는 병상 없다 ,World
4,한숨 돌린 요소수 중국서  만  천   톤 반입,World
5,마크롱  연금개혁 중단  내년  월 대선 이후로 연기 ,World
6,베이조스 소송에   NASA  달탐사     년 이후로 연기 ,World
7,중국  미 의원들 대만방문에  결연히 반대  관영매체  음흉 ,World
8,낳고 보니 남의 아이 수정란 뒤바뀐 부부의 눈물겨운 선택,World
9, 상무  반도체 정보  철저 보안  약속했지만 추가 조치 여부 주목,World
10,TSMC 소니  반도체 동맹  일본 파운드리 공장 합작,World
11, 방위성   미사일 분석 오류 망신    발 아닌  발  뒤늦게 정정,World
12, 자막뉴스  코로나 상황  게임체인저  등장   복제약이 해결책 될까,World
13,  전문가들  국경개방 시기상조 재앙적 결과 가져올 것 ,World
14, 자민  최대 파벌  아베파  정국운영에 깊이 개입할 듯,World
15, 신규 원자로 짓겠다   마크롱의 원전 유턴,World
16,  기술력 뺨치는   신형 항공모함 이르면 내년  월 완공,World
17,미국 전 국민 부스터 접종 눈앞   FDA  크리스마스 전 승인할 듯 ,World
18, 제 의 테슬라  전기차 업체 리비안  공모가   달러 책정,World
19,    세 이하에    만원 지급    억대 연봉자 자녀도   논란,World
20, 결단력있고 사려깊으며 혁신에도 도전   매체  시진핑 찬양 화제,World
21,노조가 불편한 스타벅스 vs 결성하려는 직원 투표 전 기싸움 종합 ,World
22,중국  생산자물가 소비자물가로 전이 조짐 종합 ,World
23,테슬라   천이백슬라  찍고 급락 머스크 동생도 팔았다  종합 ,World
24,모더나   정부와 백신 특허권 분쟁중  이익 배분 큰 영향 ,World
25,치솟는 물가에     년대 이후 실질금리 최저  마이너스 ,World
26,머스크의   조원짜리 설문   테슬라 주식 팔까  이후 연이틀 급락,World
27,한국 국방부가 맞았다      미사일   발 아닌  발  정정 상보 ,World
28,  싱크탱크    사출기갖춘 항모 내년  월 진수 ,World
29,화이자  모든 성인 대상 부스터샷 사용 신청,World
30,    획기적 관계개선 합의 힘들 듯,World
31, 모더나가 했다  vs  국립보건원 함께  백신 특허 누구 것 ,World
32,헝다 자회사 지분 속속 매각 오늘 달러화 채권 이자 지급 시한,World
33, Pick    년 전  세계 최대 요소 공장  가졌던 한국  의존하다 무너졌다,World
34,화이자  부스터샷    살 이상 모두에게 허용을  FDA에 요청,World
35,동물원도  코로나 비상   싱가포르 사자  마리 확진,World
36, 미 상무장관  반도체 자료 요구 이례적 상황서 불가피한 조치라고 언급 ,World
37,  의원 실은 군용기 올해 두번째 대만     재난 닥칠 것 ,World
38, 유럽 가스 공급 늘린 러시아   에너지 대란  구세주 될까,World
39,  코로나   신규감염   명 본토   명   무증상   명,World
40, 결단력있고 사려깊으며 혁신에도 도전   매체  시진핑 찬양 화제,World
41, 인플레  공포 장기화 우려   깊어지는 중앙  딜레마 종합 ,World
42,모더나  정부 소속 과학자  쏙  빼고 백신 특허권 출원,World
43, 탄소중립의 답  신규 원자로서 찾은   마크롱,World
44,어려운 문제 쌓인 바이든 시진핑  원샷 해빙  힘들다,World
45,현대차 엔진결함 내부고발자   정부서    억원 포상금,World
46,불임 병원서 수정란 바뀌어 남의 아이 출산한   여성,World
47,위성사진 보니 포격 방화  상흔  역력 미얀마 서부 소도시,World
48,  기시다  친중 인사 외무상 임명 한국 등 근린 외교 바뀌나,World
