,title,category
0,벤츠 첫 전기 세단  EQS  국내 출격,Culture
1,두 개의 강 품은 땅의 선물 장터  열 주인공은 생강 토란  지극히  적인 시장      ,Culture
2,셀트리온헬스케어   분기 매출액  조원 돌파,Culture
3,코어근육 강화를 위한  분 복근 운동,Culture
4, 재개발보다 재발견  마을기록가 심미예씨의 기록하는 마음,Culture
5,김종국 호르몬 수치 결과에 의사도 놀라  상위     외부 주입 아냐 ,Culture
6,디즈니플러스 문 열었다   자막 이상    향수 자극  다양한 반응,Culture
7,지하철서  손톱  깎고 바닥에 버린 영상 논란  민폐  vs  도촬 ,Culture
8,유니클로  협업 한정판   시간 만에 또 품절,Culture
9, 날씨  낮에도 찬바람 불며 쌀쌀 주말 가을 날씨 회복,Culture
10,GM이 생각하는 한국사업장 중요성  시장 전략  맑음  생산 물량  흐림 ,Culture
11, 뉴스토리  오징어 게임과 콘텐츠 전쟁 집중 조명,Culture
12,내년 현대차그룹 신차 모델  전기차가 첫 내연기관차 추월,Culture
13,타투는 아직 불법  그렇다면 눈썹문신은 ,Culture
14, 유격 훈련장서 받은 부실 급식이다  주장에    자율배식 ,Culture
15,황교익    월   일 가래떡데이  떡볶이데이로 바꿔보자 ,Culture
16, 주말 날씨  토 오후 초겨울 추위 벗어나  포근  일요일 수도권 비,Culture
17,실명 부르는 망막박리  젊은 환자 늘어나   골든 타임  놓치지 말고 치료해야  망막이야기 ,Culture
18, 분만에   만개 팔린 한국 텀블러  뭐가 다르기에 락앤락  중국 광군제 매출    억 돌파,Culture
19, 날씨  주말 낮부터 추위 풀려   다음 주 수능일 큰 추위 없어,Culture
20,제자리 탈출한 장기 조직 제 역할 못해 큰 병 생겨,Culture
21,목숨까지 걸었다  여진족이 백두산 인삼 캐러 다닌 이유  역발상 ,Culture
22,신동  얀센 맞았는데 확진  슈주 멤버들과는 접촉 없어   공식 ,Culture
23,면역력 사흘 만에 끌어올리는 법,Culture
24, ESC  환절기 등산복  두께보다 겹쳐 입기가 중요하다,Culture
25,슈주 측  신동 코로나   확진  멤버들과는 동선 안 겹쳐 ,Culture
26,코로나  로 피해 본 관광업계 회복에      억 원 지원,Culture
27, 날씨  찬바람 쌩쌩  초겨울 추위 서쪽 가끔 비,Culture
28,재택 끝나고 출근했더니 점심값이 무서워 다시 모이는  편도족 ,Culture
29,알싸한데 자꾸 손이 가네     끄댕이 짠지 를 아시나요 ,Culture
30,성공한  가짜 커피 의 대명사  세계를 속인 프랑스인들  커피로 맛보는 역사  역사로 배우는 커피 ,Culture
31,코로나   백신 개발에서 진가 발휘한 mRNA 기술  영역 넓힌다,Culture
32,내년 관광기금 융자     억원 관광업계 지원 강화,Culture
33,소리 없이 찾아오는  당뇨병  정기검진 시 위험도 확인 필수,Culture
34, 마늘건조분말 꾸준히 섭취하면 혈압 크게 감소 ,Culture
35,한국GM      년까지 전기차   종 출시 전량 수입차종으로 ,Culture
36, 날씨  닷새째 초겨울  낮에도 쌀쌀   주말 낮부터 풀려,Culture
37,기아 첫 SUV전기차  EV   어떻게 생겼나   궁금타 ,Culture
38,추위가 주는 건강상 이점  ,Culture
39,유류세 인하로 대형트럭 경윳값 얼마 아낄까,Culture
40,제자리 탈출한 장기 조직 제 역할 못해 큰 병 생겨,Culture
41,목숨까지 걸었다  여진족이 백두산 인삼 캐러 다닌 이유  역발상 ,Culture
42,신동  얀센 맞았는데 확진  슈주 멤버들과는 접촉 없어   공식 ,Culture
43,면역력 사흘 만에 끌어올리는 법,Culture
44, 더오래 폐업안내문 나부끼고 관광객 발길 뚝 명동  아 옛날이여,Culture
45, 날씨  내일 아침까지 초겨울 추위 서쪽 가끔 비,Culture
46, 날씨   서울 낮  도  추위 주말에는 포근한 기온 회복,Culture
47,GM  인자  한국서 전기차 생산 계획 없어     년까지   종 수입 출시 ,Culture
48, 오후날씨 꿀팁  오후까지 충청 남부 비 조금 내일 낮부터 기온 올라요,Culture
49, 날씨  낮에도 쌀쌀 충청 남부 비 조금,Culture
50,  공략 속도내는 GM      년 전기차   종 전기차 인력  배 확대 ,Culture
51, 국민화가  박수근 작품    점 덕수궁에 펼친다 역대 최대 규모,Culture
52, 단독  슈퍼주니어 신동 코로나 확진  알고보니  얀센 돌파감염 ,Culture
53, 시골빵집에서 자본론    주인장의 두 번째 발견,Culture
54, 이게 차야  오토바이야   트위지  부산 명물로 뜬다,Culture
55,아우디  컴팩트 전기SUV  Q  e 트론  공개    이르면 내년  월 ,Culture
56,아우디의 새로운 SUV  Q  이트론  보니  전기차의 미래 ,Culture
57,셀트리온헬스케어   렉키로나  국가별 허가 판매 협상 속도,Culture
58, 억 주고 산 경주마  년간    억 대박   첫해 교배료   억 기대,Culture
59,셀트리온  코로나 치료제 유럽 진출 초읽기,Culture
60,머스크  배아팠나   또     뛴 리비안에  손익분기점 넘는지 봐야 ,Culture
61,     년 이어온  미소    국보 반가사유상 두 점 한자리에,Culture
62, 날씨톡톡  종일 찬바람 주말 낮부터 추위 누그러져,Culture
63,GM부사장   한국서 전기차 생산 안해        년까지 수입전기차   종 출시,Culture
64,여행업계 내년까지 완전 복원      년     만 외래객 유치,Culture
65, 머드맥스 손흥민       년 외래관광객     만명 유치,Culture
66,마트에서 일하는 여성들이 시간을 빼앗긴 이유는 ,Culture
67,코리아둘레길 만든다 정부  관광업 활성화 박차,Culture
68,게이머들은 알려줄 수 없는 K게임의 세계  모두를 위한 게임 취급 설명서 ,Culture
69,고혈압 합병증  좌심실 비대  있으면 적정 혈압은        미만,Culture
