,title,category
0,늑장 대처 책임 떠넘기기 정부  안일한 인식 이 요소수 사태 키웠다,Economic
1,승객 탄  드론 택시   강남 김포   분만에 날아간다,Economic
2,요소수 재고  일주일도 못 버텨  긴급 물량 배정 요청 ,Economic
3, 군 요소수  푼 첫날  전화통 불나고 화물차 몰렸다,Economic
4,유류세     인하  등유는 왜 빠졌나 ,Economic
5,요소수 판매 주유소에서만 화물차 한 번에   리터까지,Economic
6, 역대급 종부세 고지서    일부터 발송 다주택자 선택은,Economic
7,G 발 인플레 압력  한국 경제 덮쳐 온다,Economic
8,군 비축 요소수 풀자 트럭 장사진  앞으로도 걱정 ,Economic
9, 이래도 안살거야   명품     할인 판매  파격 ,Economic
10, 위중증 역대 최다 에   정은경  일상회복  단계 전환 어려울수도 ,Economic
11,내일 유류세 인하 앞두고 썰렁한 주유소 가격 반영은    주 걸려,Economic
12,친환경 열풍에 구리도 뜬다   구리 상품    종 쏟아져,Economic
13,골판지도   판지  되나     원료 수급난에 폐지가격도 껑충,Economic
14,왕릉 경관 해치는 아파트에    미터 나무 심어 가려야 ,Economic
15,새마을금고보다 비싼 은행 금리  폭리 막아달라 ,Economic
16, 김포 잠실   분  드론택시     년 상용화  남은 과제는 ,Economic
17, 유류세 내리기만 기다렸는데  그새 또 오른 기름값,Economic
18,롯데정밀화학     개월치 요소수 원료 확보   가격 동결할 것 ,Economic
19, 긴급수급조정조치  시행   주유소에서   리터만 가능,Economic
20,늑장 대처 책임 떠넘기기 정부  안일한 인식 이 요소수 사태 키웠다,Economic
21,   억 집    억까지 대출 가능  기막힌 주담대 편법,Economic
22, 단독   한꺼번에  년 치 물량  검사 기관 추가 추진,Economic
23,  시 대담   농지투기  찾기 진행 상황과 농업 현안은 ,Economic
24, 최대  억원  씨티은행 희망퇴직     명 신청,Economic
25, 테슬라 킬러  리비안  나스닥 상장 하루 만에 GM 포드 BMW 시총 추월,Economic
26, 영상 대출금리   시대 오나 이주열 금리인상 시사,Economic
27,   층  포차 에서 즐기는 아침  제주 드림타워  조식식당  곳으로 확대,Economic
28,상한가 간  엔씨소프트       억 베팅한 큰손 개미,Economic
29, 아파트 꼭지에 샀다 고 딸 구박하던 엄마  년 개월 뒤 대반전이 일어났다,Economic
30, 일상회복  단계 어려울 수도  추가접종후 사망신고,Economic
31, 인플레 한파 몰려온다     물가상승 압력에 금융시장도  패닉 ,Economic
32,요소수 긴급조치  주유소에서만 승용차 한 대당   리터 ,Economic
33,대출 규제에 집값 상승세 둔화  뚜렷 ,Economic
34,주담대 막힌 초고가 아파트  년새  억원이나 더 올랐다,Economic
35, 사랑의 징검다리   금슬 갑  주현 할아버지의 실낱 희망,Economic
36,고급 아파트에 불법 대부업체 최고 이자 연  천 ,Economic
37, 큰 손 누구   급등한 엔씨소프트 주식  한 명이   만주 순매수,Economic
38, 재수없다  악플에 정용진이 한 글자로 쿨하게 남긴 댓글은,Economic
39, 기획  퇴로 막은채  종부세 패닉  대선민심 터진다,Economic
40,공공부문에 우선 공급해도 중국물량 와야  요소수 숨통 ,Economic
41,부산 사람엔  커피 DNA  있다   커피 월드컵  또 석권,Economic
42, 사실 확인  그 날   백 년 먹거리 라더니 표류하는  에어로폴리스 ,Economic
43, 기획  전환점에 선 중국경제  중국 전력난 제로코로나 여파   분기 성장률   도 못 채웠다,Economic
44,NFT가 치트키   사업 진출 언급만 해도  주가 고공행진 ,Economic
45,개인투자자 한 명이 엔씨소프트   만주 순매수  수천억 상당 ,Economic
46,주거용 오피스텔 인기      년 매매량  역대 최다 ,Economic
47,    선서 멀어지는 코스피  반등은 언제 ,Economic
48,김주하 앵커가 전하는   월   일 종합뉴스 주요뉴스,Economic
49,요소수 사려고 부산항 인근 주유소 수백 미터 차량 행렬,Economic
50,이동걸 회장  GM   인자  만나  전기차 물량 배정 국민 기대  전해,Economic
51,일상회복 너무 서둘렀나 전문가들  연말 모임 자제 ,Economic
52,상한가 엔씨소프트   큰 손  개인투자자  명이   만주 순매수,Economic
53, 뛰는 집 위에 나는 집  질주하는 고가 아파트,Economic
54, 임대료 인상  건설사 마음대로   민간임대아파트 주민들 분통,Economic
55,해외서 확보한     만 리터 월말까지 요소수  보릿고개 ,Economic
56, 같이경제  공급망 위기  해법은 ,Economic
57, 여기는 강릉   위드 코로나  시행 강원 크루즈 기지개 켜려면 ,Economic
58,독일 신규확진  만명 하루 새  만명 늘어 사상 최다,Economic
59,충북  요소수  만  천  우선 공급  올스톱 위기 넘겨 ,Economic
60,군 비축분 받으려 수백 미터 긴 줄 호주 요소수 군용기 도착,Economic
61,부산 사람엔  커피 DNA  있다   커피 월드컵  또 석권,Economic
62, 달러에 베팅    한 달 새    억 몰린 달러ETF,Economic
63,요소수 재고  일주일도 못 버텨  긴급 물량 배정 요청 ,Economic
64,군 비축 요소수    t 민간 배출  호주서 공수  만      도착  뉴스 투데이 ,Economic
65, 결혼할 때  억 모았다면 현모양처  집값 폭등이 낳은 씁쓸한 현실,Economic
66,은행보다 새마을금고 대출금리가 싸다 규제가 부른 기현상,Economic
67,그 많던 알바는 다 어디 갔을까,Economic
68, 엔씨 상한가  만든 NFT    과열 맞다  VS  성장성 커  갑론을박,Economic
69,진격의 에코프로비엠    코스닥  위 바이오   년 만에 바뀌나,Economic
70,롯데정밀화학   개월치 요소수 물량 확보  신동빈 회장도 막후 역할  종합 ,Economic
71,서울 아파트값  일주일 만에  억 원 넘게  뚝   상승폭   주 연속 주춤,Economic
72, 물가상승 일시적  vs  당분간 지속 우려    엇갈린 해석,Economic
73,정은경  일상 회복  단계 어려울 수도 방역 강화 가능 ,Economic
74, ET  귀농 이것 모르고 시작했다간 청년 멘토가 왔슈,Economic
