,title,category
0,GS건설   상수도관 비굴착 보수공법  친환경 신기술 인증,Economic
1,인천국제공항  지난해 국제여객 첫 아시아  위,Economic
2,삼성 LG전자 CES      혁신상 휩쓸어 TV부터 신가전까지 종합 ,Economic
3,먹는 치료제 직격탄에 시총   위도 위태  추락하는 셀트리온,Economic
4, 주식초고수는 지금  NFT 날개 달고 비상하는 게임주   엔씨소프트 매수 상위,Economic
5,외형 더 키워 삼성 멀리 따돌리겠다  TSMC 자신감 넘친 발언,Economic
6,삼성전자  차세대    D 패키징 솔루션  H Cube  개발,Economic
7,유비벨록스   분기 누적 이익    억   지난해 실적 넘어서 ,Economic
8, fn마켓워치 삼양식품  첫 회사채  최대     억,Economic
9,SK바이오팜   분기 매출      증가해    억원 적자 축소 종합 ,Economic
10,무어의 법칙 한계 다다랐다 반도체 패키징에 힘 쏟는 삼성전자,Economic
11, 기 신도시  문화재 변수 에 발목     부천 대장 도 조사,Economic
12,서울 북촌 일대에 주차장 들어선다,Economic
13,     년 상용화  하늘 나는 택시 수직으로   m 떠    슝 ,Economic
14,반려동물 하늘길 넓어진다 무게도 동반 숫자도 늘려,Economic
15, 내년 집 값 떨어지지 않을 것  민간           상승 예상,Economic
16, 요소수 수급조정 에 건설 장비 멈출라 건설사 긴장감 고조,Economic
17,송창현 현대차 본부장  TaaS 생태계 고도화 추진 파트너들과 동맹 ,Economic
18,SK바이오팜  신약 파이프라인 중국 판권 기술수출해 현지 법인 설립,Economic
19, 영 앤 리치  MZ도  엑스틴    대도   손크게 명품 플렉스  P 코노미가 온다  Premium ,Economic
20,GS건설   상수도관 비굴착 보수공법  친환경 신기술 인증,Economic
21,인천국제공항  지난해 국제여객 첫 아시아  위,Economic
22,강남접근성 높은  베라시떼 하남  분양 예정,Economic
23,속도내는  UAM 상용화  김포공항서 날아오른  드론택시 ,Economic
24, 오픈런없이 원하는 상품을 합리적으로   P 코노미가 온다  Premium ,Economic
25,    을 아시나요  시골 비즈니스가 뜬다,Economic
26,제 회 건축사 자격시험 합격예정자    명,Economic
27,  일부터 중대형 오피스텔도 바닥난방 가능해진다,Economic
28,빌라의 시대 거래량  가격 상승률 아파트 추월  부동산    ,Economic
29,바닥난방 허용 면적  중대형 오피스텔 공급 확대 기대,Economic
30, TSMC 잡을 비밀병기  삼성전자  차세대 반도체 패키징 솔루션 개발,Economic
31,삼성바이오    년만에  바이오 글로벌 CMO 강자 등극  비결에는  삼박자 가 있었다,Economic
32,샐바시온   코빅실 V   델타 변이 바이러스       사멸 확인 ,Economic
33,삼성전자  최고사양  H Cube  개발 고성능반도체 공급 확대,Economic
34,아파트 버금가는 중대형 오피스텔 늘어난다 국토부  건축기준 개정,Economic
35, 억 주고  자녀 장학금까지  씨티은행     명  퇴직하겠다 ,Economic
36,  억 넘는 서울 아파트   년새 집값    나 상승,Economic
37,삼성전자  차세대    D 패키지 기술  H Cube  개발,Economic
38, 하늘 위 택시  UAM  김포공항에 떴다,Economic
39,오피스텔      이하까지 바닥 난방 허용      인 중대형 공급 가능해진다,Economic
40,삼성바이오로직스   바이오 의약품 생산     차지     조 기업 성장 ,Economic
41,    년 상용화 드론택시  김포공항    날았다,Economic
42,인천국제공항  국제여객 실적  아시아  위     개항 이후 최초,Economic
43,이주열 총재  물가 상승 당분간 지속    인플레 일시적일지 의문 ,Economic
44,바닥난방 설치 완화 중대형 아파텔 공급 활성화,Economic
45,삼성전자  고성능 반도체 패키징 솔루션  H Cube  개발,Economic
46,정승일 한전 사장  원전  정쟁 아닌 과학으로 접근해야 ,Economic
47,오피스텔 바닥난방 허용  전용        로 확대,Economic
48,백화점   부활 날개  폈다 질주하는 신세계,Economic
49, 발코니 있는    인 가구 주거형 오피스텔 나온다,Economic
50,뭉칫돈 몰리는 달러예금  대  한달새   억 달러 ,Economic
51,    년 인천공항 여객수송 세계  위 아시아선 첫  위,Economic
52,오피스텔 전용     까지 바닥난방 허용 중대형 공급 늘듯,Economic
53, 요소수 찾아라  팔 걷어붙인 종합상사,Economic
