,title,category
0,왓챠 만난 안철수   한국판 디즈니 나와야  이재명 윤석열 저격도,IT
1,한컴  공격적 M A R D로 실적 급감,IT
2,K 배터리  총사 대학가에 잇단 러브콜   인재 유치전 치열,IT
3,에이치엘비그룹  에이치엘비생명과학에 이주형 사장 영입,IT
4, 증시이슈  MSCI 지수 편입된 크래프톤 카카오게임즈 주가  ,IT
5,KT  한달 빨리 인사 단행 네트워크부문장 교체  최연소 여성 전무 발탁,IT
6,한전   Q 영업손실  천   억원  분기 연속 적자,IT
7,금융위  코인원 가상자산 사업자 신고 수리 빗썸은 보류,IT
8, 영탁 음원 사재기  불씨  비례배분 vs 이용자별  정산다툼  활활   IT돋보기 ,IT
9, 배달비 왜 올랐나 봤더니  고객이 기사 보험료 벌금까지 내줬다,IT
10,LCD 수출  개월 연속 줄었다,IT
11,엔씨   직장 내 괴롭힘  가해 직원  명 정직 처분,IT
12,  호 거래소  된 코인원 같은 은행 쓰는 빗썸은  보류 ,IT
13,다날   분기 순이익      증가    메타버스 NFT 투자할 것 ,IT
14, 화산 폭발이 지난     년간 중국 왕조 몰락에 일조 ,IT
15,디즈니  가세에 글로벌 OTT  격돌   OTT  사 차별화 전략은 ,IT
16,삼성전자   년 만에 인사제도 개편    이재용  뉴 삼성  속도내나,IT
17,위드 코로나에 행복한 비명 지르는 카카오T 우티,IT
18, 유통공룡 변신   이베이 품은 신세계  롯데 아닌 쿠팡과  맞수  되나,IT
19, 무야호  외친  무한도전 프로 장면  MBC 최고 낙찰가에 팔렸다,IT
20,차량용 반도체 빅   공급난에  분기 실적  씽씽 ,IT
21,왓챠 대표 K 플랫폼 관심 촉구에 안랩으로 화답한 안철수,IT
22,샤오미  스냅드래곤  레드미노트    내년  분기 출시,IT
23,로봇이 몸 속 세포에 치료 약물 전달한다 ,IT
24,셀트리온 코로나 치료제  렉키로나  유럽서 승인 권고,IT
25,손상된 DNA 복구하는 단백질 발견 암 노화 치료길 열릴까 ,IT
26,  분유 리베이트  받은 산부인과 산후조리원도 처벌해야 ,IT
27,둥지 넓히는 네이버 D SF  스타트업 공격투자 예고,IT
28, 법망 만들어 달라  토종 OTT가 간절히 호소하는 이유,IT
29,남극 사는 아델리펭귄  뉴질랜드에 깜짝 출현  천km 헤엄쳐,IT
30,셀리드  코로나   백신 국내 임상  b  상 신청,IT
31,해양 탄소 순환 감시할 자율주행 로봇,IT
32,국내  위 코인 거래소 빗썸  사업자 신고 수리 보류당해,IT
33, 농업이 IT 잇 다  정혁 대성  스마트하이브 탈봉 로봇으로 벌 양봉업 가치 높인다 ,IT
34,디즈니플러스  드디어 한국 상륙  디플 런칭쇼  진행,IT
35, 이주의 바이오 키워드  코로나 판도 바꿀 먹는 치료제가 나오면   경구용 치료제  백신 정례화,IT
36,소변 색깔 변했다면 일단 이 병 의심,IT
37,심슨가족  해밀턴  로키  어벤져스 디즈니플러스에 다 있다,IT
38,빗썸  가상자산 사업자 신고수리 보류   왜 ,IT
39, 이재용 부회장  골드만삭스 회장과 경영승계 아닌 미래전략 논의 ,IT
40,폐막 하루 앞둔 COP   주요 합의 내용은,IT
41, 코로나 백신 접종과 이상반응 인과성 평가 기준 마련한다 ,IT
42,  중국  아닌  동이족  언어가 알타이어족 뿌리 ,IT
43,중 반도체 첨병 SMIC  내분   구원투수  영입 부회장 사퇴,IT
44, 털린 내 정보  직접 확인한다  사기이력 조회범위도 확대,IT
45,현대바이오 먹는 코로나 치료제 임상  상 승인,IT
46,고령층 면역력 떨어져 확진 증가  대부분 돌파감염 ,IT
47,IP 확보 집중 플랫폼부터 마련 비슷한듯 다른 거래소 별 NFT 사업전략,IT
48,디즈니  OTT 가입자 증가세 둔화로 매출 성장에  빨간불 ,IT
49,현대바이오 먹는 코로나 치료제 임상  상 승인,IT
50, 부스터샷 도 네이버 카카오로 잔여백신 예약 가능,IT
51, 디즈니  출시   웨이브 에 올라타봐 이태현 대표  신선한 자극 줄것 ,IT
52,디즈니의  마블민국  상륙에 국내 OTT  진흥정책 내놔라 ,IT
53,넷플릭스  만    원 vs 디즈니     원 OTT 두 공룡 한국 시장서 격돌,IT
54, 애플TV  K 써보니  견고한 애플 생태계 안방까지 침투,IT
55,넷플릭스 이어 디즈니 까지   조   시장서 입지 좁아지는 토종 OTT,IT
56, 넷플릭스도 벅찬데  애플TV에 디즈니까지  위기의 토종 OTT,IT
57, 배그가 효자  크래프톤   Q 역대 최대 매출  NFT 메타버스도 진출할까,IT
