,title,category
0, 화이자  이번주 중 부스터샷 모든 성인으로 확대 신청 ,IT
1,화이자 벤타비아 폭로 파문  미 FDA  임상 관리 감독 허술 ,IT
2,눈치싸움 언제까지  제 의 타다  가능성 질문에 업계는  절레절레 ,IT
3,삼성  갤럭시 S   FE  유럽서만 팔린다,IT
4, 강석기의 과학카페  왜 화학자들은 여전히 요소 합성 연구에 매달릴까,IT
5,구글   자 결제 허용했지만 조승래  고율 수수료 본질 남아 ,IT
6,영화  마션 처럼  화성 조건에서 키운 토마토로 케첩 만들었다,IT
7,삼성 SK  미국에  반도체 자료  제출 TSMC 기밀정보 제외,IT
8,네이버웹툰  드라마  그 해 우리는  프리퀄 공개,IT
9, 화이자 백신 임상 허술 데이터 진실성 의심  내부 폭로 파문,IT
10,내년 출시될 갤S    S펜  내장하나  다시 떠오르는  갤노트 단종설 ,IT
11,김택진의  마지막 리니지  글로벌 노린  리니지W    개월만에 정상 탈환,IT
12,속도내는  온플법 에 플랫폼 업계는  난색 ,IT
13,구글  외부결제 허용했지만 수수료 최고      갑질 논란  여전,IT
14,넷플릭스  망 사용료  무임승차 논란   년 넘게 결론 못 내린 공정위,IT
15, OTT토크쇼     톡 타고 훨훨  카카오TV  시청의 일상화 목표 ,IT
16, 체험기  애플TV  K   폐쇄성  버리고 화질 음향 속도 다 잡았다,IT
17,모임 회식 폭증에  대리 택시 안잡힌다  위드 코로나에 웃는 모빌리티,IT
18,카카오T 출근시간대 강남 단거리 배차성공률      년만에    배,IT
19,  반도체 정보 제출  코앞   삼성 SK하이닉스  부분 제공  무게 ,IT
20, 리니지W   오딘 배그 뉴스테이트 반격에도  위 유지할까 ,IT
21,먹는 코로나 치료제  속속  개발   효능과 보완점은 ,IT
22,네이버  질의 의도 파악해 최적의 답 보여주는 검색 AI     제목낚시 막는다 ,IT
23,갤노트 부활  S펜 내장  갤S   울트라  내년  월 출시,IT
24, MK TECH REVIEW   기본 소홀했다  뼈아픈 지적 어깨 더 무거워진  KT ,IT
25, 피플   봉 의사  손길 닿자 말썽쟁이 제구도 얌전,IT
26, 인공지능  삼성의 똑똑한 가전콜라보  AI IoT로 확대,IT
27, 게임   오딘  기세에 눌렸던  N  신작으로 반격 노린다,IT
28, 실리콘밸리 리포트  페북이어 MS도 메타버스  업무용 가상공간 내년 출시,IT
29, 관점  특허  속빈 강정  벗어나야 국가 생존    대선주자  R D 중요성 깨달아야 ,IT
30,택시콜 카카오의   였던  타다  왜 퇴출될 수밖에 없었나,IT
