,title,category
0,같은 날   오소프 의원 만났지만 사뭇 달랐던  와  ,Politics
1,CCTV 구급기록 공개한    다정한    여론조작으로 마초적 상상  종합 ,Politics
2, 떡볶이 정크푸드 라던 황교익    월  일 떡볶이데이로 바꾸자 ,Politics
3,윤석열  사드는 우리 주권 안보 상황 따라 업그레이드 가능 ,Politics
4,이재명     대원들에 신분 안밝혔다 상부  보고 누락  질책 말고 격려를 ,Politics
5,이재명 측  김혜경 씨  의식 소실 중 부딪혀 왼쪽 눈    cm 열상 ,Politics
6,윤석열   직격  한일관계 망가져  국내정치에 끌어들여 ,Politics
7,  강득구  김건희 주가조작 내사 보고 신빙성 높아 ,Politics
8,이재명 후보 부인 왼쪽눈 열상 봉합받아     구급일지 공개,Politics
9,안철수  다른 후보와 달리 수많은 경험 쌓아 대통령 덕목 내가 최적 ,Politics
10,   김혜경 CCTV 이어 신고 진료기록 공개  허위 엄중 조치 ,Politics
11,이재명    승인해  이   합병  오소프  한국전쟁서   희생  종합 보 ,Politics
12, 대선말말말   미국 승인해 한일 합병   한미 동맹으로 번영 ,Politics
13, 이재명 아내 이송 구급대원  VIP 보고 안했다고 수시간 질책당해 ,Politics
14,정부 반대에도     잇따라 이재명 예산 증액 요구,Politics
15,이재명  아내 후송    구급대원 비난 질책 말아달라 ,Politics
16,이준석  킹크랩 잡는  크라켄  논란 일축  사드같은 방어용 ,Politics
17,DJ 대일정책에    재확인  vs   그때의 일본이 아니다 ,Politics
18,이재명  암호화폐 지급  발언에   이준석  헛소리 NFT 내라 ,Politics
19,여론 부담됐나      인당   만원  재난지원금 방안 철회,Politics
20,같은 날   오소프 의원 만났지만 사뭇 달랐던  와  ,Politics
21,천안함전우회  이재명 윤석열에  천안함 입장 명확히 해 달라 ,Politics
22,민주당  검찰 수사완료 전 특검 없다  vs 국민의힘  이중 플레이 ,Politics
23,   구급차 CCTV 공개한 이재명  구급대원들 비난 말아달라  호소,Politics
24,이재명 측  아내 루머 잠재우기 총력 진료기록 구급일지도 공개,Politics
25,국민은    요소  직구 난리인데   정부는 조용한 이유  왜 ,Politics
26, 요소수 대란  국가안보실이 역할 못해  차기 정부 반면교사 삼아야 ,Politics
27,    기록 보니    구토 열상  응급실 가야한다  직접 신고했다,Politics
28, 이재명 김혜경 이송해주고 불려가 조사받아 윗분 심기 건드려 ,Politics
29,이재명 측  배우자    신고 구급일지 공개  의식소실 중 눈 부딪혀  허위정보 단호하게 조치할 것 ,Politics
30, 이재명보다 더 싫다  이준석 저격글     건 넘어,Politics
31,추미애  김종인 반기문  생각 올드한  구시대 명망가  퇴장하라 ,Politics
32,이재명 부인 김혜경 낙상  신고부터 수술까지  모두 공개한 민주당,Politics
33,이준석  김종인  원톱 아니면 선대위 지휘 안 할 것 ,Politics
34,이재명  매타버스  민심투어 윤석열  외교행보 시동,Politics
35,김혜경  괴소문 에 CCTV 공개 이 윤  백브리핑  신경전도,Politics
36,윤석열  국민 통합 잇겠다  송영길  적개심의 정치  비판,Politics
37,윤석열  종전선언은 정치적 선언 부작용 상당히 커 반대 ,Politics
38, 평생 법 공부  신산업 얘기 안돼   왓챠  방문 안철수의   견제,Politics
39,국민의힘  이재명  가쓰라 태프트  발언  심각한 외교 결례 ,Politics
40,이준석  자신있게 이재명 가족 건드릴 것  말한 이유,Politics
41, 속보  윤석열  현재 종전선언엔 반대 정치적 선언 부작용 커 ,Politics
42,윤석열  상석 접견  논란에 이재명 측  오야붕 모시나 ,Politics
43, 나라 박살 민주당 죽었다  진중권 독설에 이경  짠하다 ,Politics
44, 불로소득 잡겠다더니  심상정   이재명 가상자산 과세 유예  비판,Politics
45,  선대위  혼선에   지지율 하락  이준석  과대표집 지지율 조정기일 뿐 ,Politics
46, 뉴시스Pic  윤석열  대통령 되면 남북 관계 제자리 돌려 놓을 것 ,Politics
47,윤석열  현재 종전선언엔 반대 정치적 선언 부작용 커 ,Politics
48, 아내가 구토  열상  이재명     신고기록 구급일지 공개,Politics
49,이재명  전국민 가상자산 에 이준석  차라리 헛소리NFT 발행 ,Politics
50,윤석열   사드 추가 배치는 우리 주권 ,Politics
51,새 감사원장에게  정치적 중립  강조한  대통령 최재형 고려한 듯,Politics
52,국민의힘     기름값  억원 내고 요소수 쇼  민망하다 ,Politics
53,윤석열  사드 배치는 우리 주권    안보상황 따라 얼마든지 업그레이드 ,Politics
54,이재명  여야가 정치개혁서 뺀  위성정당 방지법  선대위에 지시    우리 당 잘못 없다 할 수 없어 ,Politics
55,이재명   매 타 버 스  타고 지방 순회  일상 목소리 경청할 것 ,Politics
56,윤석열   정권 한일관계 망쳐 과거사  협력하면 개선 가능 ,Politics
57,이준석  나를 유담과  어이가 지금 여친 진짜 평범  난 비혼주의자 아냐 ,Politics
58,국민의힘 홈페이지에  이준석 퇴출해야  비난 글 봇물,Politics
59, 최영일의 시사본부  이준석  이재명  윤석열 가족 건드렸으니 저도 자신감 있게 이재명 가족 건드릴 것 ,Politics
60,  간첩질  이준석 퇴출하라  국민의힘 홈페이지 게시판  시끌 ,Politics
61, 뉴스큐브  이재명  조건부  특검 수용에 여야 기싸움,Politics
62,    외교 발언 신경전  우경화 일본 웃고 있어   반미 감정에 경악 ,Politics
63, 외교관 택시 추돌 사건  미측도 사안 민감성 잘 이해 ,Politics
64,경선 끝난  지지율 주춤 이준석  과대표집 조정기  후보 경쟁력과 무관 ,Politics
65,   철저한 수사가 우선  사실상 대장동 특검 거부,Politics
66, 원팀  선대위 가속도 윤석열 원희룡  금명간 회동 가능성,Politics
67, 이준석 퇴출 시켜라  국힘 홈페이지 난리 왜 ,Politics
68,이재명  윤석열  일본엔 한마디 못하면서 한 일관계에 문재인 정부만 비판 ,Politics
69,이재명  위성정당 창당 국민께 사과  방지법 추진 선대위에 지시,Politics
70,민주   검찰 공수처 수사 결과 전제로 특검 수용  조건부 특검 강조,Politics
71, 이준석 퇴출  국힘 게시판 뒤덮은 글 왜 ,Politics
72,심상정      년부터 주 일제 단계적 도입  신노동법 로드맵 발표,Politics
73,한국갤럽  민주당     vs 국민의힘     지지율 격차   p   p ,Politics
74,서울시민   명 중  명  사회 갈등 심각    대 젠더    대는 부동산    대는 이념,Politics
75, 주일만에 또 병상확보 행정명령 수도권 준중병상 총   개 확보 종합 보 ,Politics
76,이재명  매주 타는 민생버스  출발 부울경 시작  주간 진행,Politics
77, 대통령  최재형 보란 듯 신임 감사원장에  정치적 중립  강조,Politics
78, 더뉴스 더인터뷰  이재명  매타버스  대장정    윤석열 선대위  신경전,Politics
79,국민의당  이재명  암호화폐  지급  노골적 금권선거 ,Politics
80,싱가포르부터  격리없는 여행  점진 재개 관광업계 회복 방안 추진 종합 ,Politics
81, 더뉴스  이재명 윤석열 오늘 일정,Politics
82,  승인 한일합병  이재명 폭탄발언에  의원도  참모도 굳어버렸다,Politics
83,김정은 잠행 속 이달 말    로케트공업절  도발 가능성 촉각,Politics
84,윤석열    위협 방치 주종관계 전락한 남북 관계 정상화 ,Politics
85,중앙선관위   대선 공약개발 의혹  여가부 공무원  명 고발,Politics
86,문대통령  새 감사원장에 정치중립 강조 최재형 전례 고려한듯 종합 ,Politics
87,  최연소 상원의원은  미스터 션샤인  팬  미국인 이   맞서는 드라마,Politics
88,진중권  민주당은 죽었다  독설  이경  가십에만 기웃  딱해 ,Politics
89, 단독인터뷰  김부겸   노태우 국가장   YS DJ  라면 어떻게 했을까 ,Politics
90,김종인  선대위 전권 요구설에  허수아비 노릇할 순 없지 않냐 ,Politics
91,이재명  전국민에 가상자산  이준석  차라리   헛소리 토큰  발행 ,Politics
92,김남국  이재명 부인 가짜뉴스  정치공작 의심 추가 고발 예정 ,Politics
93,안철수  후보 중 나만 군필자  재산 절반 기부도 내가 가장 깨끗 ,Politics
94,윤석열   비핵화 국제공조 주도 단계적 로드맵 제시할 것 ,Politics
95,   김대중 오부치 선언  재확인 에    우경화한  이 웃는다 ,Politics
96,이재명   상원의원 만나  한국이 일본 합병된 건 미국 승인 때문 ,Politics
97, 현장연결  윤석열  남북한 관계  제자리로 돌려 놓을 것 ,Politics
98,김정은  한 달 넘게 공개활동 없어 통일부  전반적 흐름 지켜보겠다 ,Politics
99, 이재명  아내 손 꼭 잡아  구급차 CCTV 사진 공개했다,Politics
100,싱가포르부터  격리없는 여행  점진 재개 관광업계 회복 방안 추진 종합 ,Politics
101,    한일합병은   때문         의 한반도 시나리오는  ,Politics
102,이재명 측  부인 구급차 이송모습 공개 CCTV 영상 확보해놓고 캡처 사진만,Politics
103, 민주당     vs 국민의힘     지지율 격차 급감 ,Politics
104,이재명  매타버스  출발 윤석열  외교  행보,Politics
105,강득구   부인 내사  도이치모터스  전주  폭로로 시작 ,Politics
106,   신임 감사원장에 정치중립 강조 최재해  막중한 책임  종합 ,Politics
107,최재형 에둘러 비판한  대통령  감사원  정치 중립 중요 ,Politics
108,윤석열  주종관계 전락한 남북관계 정상화   경제지원도 ,Politics
109, 청년 행보  선언 홍준표    구애에도  나홀로 외길 ,Politics
110,외교부     외교관 차량사고 관련 수사협조 밝혀 ,Politics
111,이준석  이재명  윤석열 가족 건드려 이제 나도 건들겠다 ,Politics
112, 뉴스외전 Zoom   이준석  김종인이 상왕 된다  설 자리 좁아질 사람들의 표현 ,Politics
113,서울시의장   김어준의 뉴스공장  자랑으로 여기고 예산 늘려야 ,Politics
114,   명 식사 논란  김총리  깊이 죄송 철저히 자신을 살필 것  종합 보 ,Politics
115,이재명  윤석열  일본엔 말 한마디 못하면서  정부 비판 ,Politics
116,    년 대선 패배 소환한 김종인 이회창과 윤석열  다른듯 닮은 두 사람,Politics
117,   최재해 감사원장에 임명장    정치 중립  강조,Politics
118,여야   특검 정국  판 벌이나     대장동 특검  놓고 신경전,Politics
119,국힘  이재명  반미 설교로 혈맹에  네탓  심각한 외교결례 ,Politics
120,윤석열   주종 으로 전락한 남북 관계 정상화하겠다 ,Politics
121,    한일합병은   때문         의 한반도 시나리오는  ,Politics
122,이재명  민생 버스  출발  더 낮은 자세로 경청 ,Politics
123,정부  일상회복 발맞춰 관광업계 부활 위해  천억 투입한다,Politics
124,진중권  DJ 노무현 민주당 죽었다 김어준 방송에 세뇌된   대 결합 ,Politics
125,  지지율 다시 하락세  이준석  과대표집 효과  이제 안정화된 것 ,Politics
126,문 대통령  신임 감사원장에 정치적 중립성 강조  신망 두터워 ,Politics
127,국민의힘     vs 민주당     격차   p   p로 한국갤럽,Politics
128,최재형  정치 중립  비판한    최재해 감사원장에 한 당부는 ,Politics
129,오세훈 서울시장  복통으로 응급실    오후 일정 취소,Politics
130,심상정   주 일제  공약발표  대한민국은 시간빈곤 사회 ,Politics
131,안철수  대선 후보 중 나만 군필 재산도 절반 기부 ,Politics
132, 고발은 계속된다  김남국   김혜경 괴소문  강력 대응 재시사,Politics
133,곽상도 의원직 상실 대구 중남구  재보궐 민심은,Politics
134,이준석  김종인  분명히 총괄 선대위원장 맡을 것 ,Politics
135, 단독 경기도  사학재단  내년부터  셀프채용  사라진다  이재명 공정채용  성과,Politics
136, 광주 DJ 봉하마을    국민통합  강조한 윤석열의 첫 주,Politics
137,이재명  미국 덕 선진국됐지만  가쓰라 태프트 협약도 ,Politics
138,   차별화 이대남 구애에도 지지율 정체  정권교체론      악재,Politics
139, 국민 질책 달게 받겠다  이재명  전국 투어  대장정  돌입,Politics
140,김건희 얼굴 띄운 예결위 강득구     주가조작 사건 내사 중단 개입 있었나 ,Politics
141,윤석열  미국 방한단 면담  확고한 한미동맹 더욱 중요 ,Politics
142,김종인  허수아비 노릇 못해  vs  측  뺄셈 정치 안돼  신경전 팽팽,Politics
143,김동연  높은 재난지원금 반대 여론 들며  정치인보다 국민 수준이 높아 ,Politics
144,오세훈 서울시장  복통으로 입원 오후 공개 일정 전면 취소,Politics
145,심상정  이제  워라밸 은 권리     년내 주 일제 도입 ,Politics
146,     부실수사 징계 시효 연장  주장에 박범계  짚어보겠다 ,Politics
147, 베스트셀러 저자  유시민  이재명 윤석열에 각각 추천한 책은,Politics
148,안철수  정부  민주노총 불법집회 철회 설득해야  코로나 우려 ,Politics
149,이  민심 잘 듣겠다  윤  한미동맹 더욱 중요 ,Politics
150,이재명   매타버스  타고 민생대장정     민심 경청,Politics
151,홍준표  청년들의 광장으로 나갈 것 마음 홀가분해져 ,Politics
152,갑자기 사라진 이재명 논문   국회도서관  비공개 조치했다  지적에 공개,Politics
153,홍준표   청년 플랫폼  모레 공개,Politics
154,심상정  시간 빈곤 국가에서 벗어나야  주 일제 로드맵 공개,Politics
155,진중권    에 지면 나라 박살 이란 강성범  처음 웃겼다 ,Politics
156,현근택  진중권  윤석열 캠프 들어가라    진중권  싫은데요 ,Politics
157,이준석  여자친구와 마음 잘 통해   유담은 두 번 본 게 전부 ,Politics
158, 단독인터뷰  김부겸  두 후보 공약 모두 재정 부담 정부 또 빚낼 순 없다 ,Politics
159,김준형  정전체제로 계속 가자는 건 신화 지속가능 평화 필요 ,Politics
160,전용기   장모 대응 문건  논란에  윤석열  정체 드러나는 건 시간문제 ,Politics
161,해군   청해부대   진 최영함  출항 환송식,Politics
162,외교부    대사관에  외교관 차량사고  당부 잘 협조키로 ,Politics
163,김종인   빈곤과의 전쟁     조 지원   공약 본선에서도 볼 수 있을까,Politics
164, 강득구   부인 내사  도이치모터스  전주  폭로로 시작 ,Politics
165,오세훈  복통에 응급실행 오후 일정 취소,Politics
166,안철수  윤석열  흔들리지 않는 모습 보여야 대통령감 평가 받을것 ,Politics
167,후보확정  주일  컨벤션 효과      뚫은   vs 박스권 갇힌  ,Politics
168,이재명  미국 상원의원 만나  일본이 한국 합병은 미국이 승인했기 때문 ,Politics
169, 든든하긴 한데   김종인에 대한  캠프의 복잡한 시선,Politics
170, 인간 이재명 잘 몰라서      의원들은 지금    자서전  읽는 중,Politics
171,통일부  김정은 수령 칭호  집권   년차 정치 위상 강화 ,Politics
172,     남성 지지기반 세력화하는 홍준표 김종인  신경 안 쓰는 게 좋다 ,Politics
173,이재명    승인해 일본  한국 합병  vs 윤석열  한미 포괄동맹 중요 ,Politics
174,   윤석열 비리 특위 출범     특검 논의하자 ,Politics
175,심상정   전국민 주 일제  공약발표      년부터 시범 운영 ,Politics
176, 피선거권 연령   세   세  개정안에  대학생위  환영 ,Politics
177,외교부   고위급에 외교관 차량사고 이탈행위 처리 당부 ,Politics
178,송영길  이재명 특검 발언  현 단계 철저 수사 강조한 것 ,Politics
179,홍준표  청년들 위한 플랫폼 연다   청년의꿈  이번주 일요일 오픈,Politics
180,민주당  검찰 수사 전 특검 없어  vs 국민의힘  이중 플레이 ,Politics
181, 대장동 특검  놓고 신경전      수사 결과가 먼저     국면 전환용 꼼수 ,Politics
182, 수모 견디는 방법 숨어 있다    유시민이 이재명에 추천한 책은 ,Politics
183, 이준석 OUT  도배된 국민의힘 홈페이지   윤석열 지지자들 불만 폭주,Politics
184,천안함전우회  이재명 윤석열  명확한 천안함 입장 밝혀야 ,Politics
185, 천안함에 대해 어떤 입장     이재명 윤석열에 물은 전우회,Politics
186, 특검 수용  민주당  검찰 수사가 먼저  조건 재강조    이재명 의혹만 특검  가능하지 않아 ,Politics
187,강성범  윤석열에 지면 나라 박살  진중권  이미 박살 ,Politics
188,이재명 대장동 특검 발언에 민주당 국민의힘 동상이몽 논쟁,Politics
189,진중권  이재명   반일 감정  자극해 표 얻으려 해괴한 현실 ,Politics
190,진중권  윤석열 면전에서 지지할 마음 없다고 말했다 ,Politics
191, 육참차장  아시아판 핵기획그룹 설립해 한미 핵공유 제도화해야 ,Politics
192,유시민  윤석열  사람다운 마음 가진 검사의 감정 알았으면 ,Politics
193,민주     가족비리 특위  띄운다  패밀리비즈니스 검증 ,Politics
194,안철수  대선후보 중 군필자는 내가 유일  가장 깨끗해 ,Politics
195,   간 보는 이중플레이  vs    공수처 피하려는 꼼수 ,Politics
196,진중권    되면 나라 박살  강성범 주장에  이미 박살나 ,Politics
197,이준석  유승민 딸 유담 루머에  어이없어 여자친구는 평범한 일반인 ,Politics
198, 요소수 품귀 에 문 대통령 부정 평가율      주 연속   p씩 올라,Politics
199,유시민  대선후보 윤석열 이재명에게 추천한 책은,Politics
200,민주당  검찰 수사 전 특검 없어  vs 국민의힘  이중 플레이 ,Politics
201, 대장동 특검  놓고 신경전      수사 결과가 먼저     국면 전환용 꼼수 ,Politics
202, 수모 견디는 방법 숨어 있다    유시민이 이재명에 추천한 책은 ,Politics
203, 이준석 OUT  도배된 국민의힘 홈페이지   윤석열 지지자들 불만 폭주,Politics
204,천안함전우회  이재명 윤석열  명확한 천안함 입장 밝혀야 ,Politics
205, 천안함에 대해 어떤 입장     이재명 윤석열에 물은 전우회,Politics
206, 특검 수용  민주당  검찰 수사가 먼저  조건 재강조    이재명 의혹만 특검  가능하지 않아 ,Politics
207,강성범  윤석열에 지면 나라 박살  진중권  이미 박살 ,Politics
208,이재명 대장동 특검 발언에 민주당 국민의힘 동상이몽 논쟁,Politics
209,진중권  이재명   반일 감정  자극해 표 얻으려 해괴한 현실 ,Politics
210,진중권  윤석열 면전에서 지지할 마음 없다고 말했다 ,Politics
211, 육참차장  아시아판 핵기획그룹 설립해 한미 핵공유 제도화해야 ,Politics
212,김준형  외교원장  통일 없이 이대로 괜찮단 생각은  신화  ,Politics
213,     미군 전사자  만 천   명 모두 새긴 첫 기념비 세웠다 종합 ,Politics
214, 난 허수아비 아냐  김종인  윤석열 선대위 합류 전 공간 확보 중 ,Politics
215,        연대  적극 참여해야    차관보   은  최중요  동맹 ,Politics
216,고민정  윤석열  박근혜처럼  꼭두각시 대통령  될까 우려 ,Politics
217,   대표적 시간빈곤 국가  심상정   주  일제  임기 내 도입 약속,Politics
218,김종인  허수아비 노릇하러 선대위 안 가    사람 집착하면 성공 못해 ,Politics
219,민심 속으로 달려가는 이재명  듣고 또 듣고 또 듣겠다 ,Politics
220,이준석  유승민 딸 유담 루머에  어이없어 여자친구는 평범한 일반인 ,Politics
221,아내 손 꼭잡은 이재명 수행실장  경상도 남자 말만 무뚝뚝 ,Politics
222,안철수  내가 가장 깨끗한 후보 군대도 나만 다녀와 ,Politics
223,유시민     사람다운 마음 가진 검사의 감정 알았으면 ,Politics
224,김부겸  방역수칙 위반 사과  김주하 AI 뉴스 ,Politics
225,홍준표   승 패 홀가분 비리 대선 떠나 청년 놀이터 만들 것 ,Politics
226,이재명  상원의원 면담서  미국 승인해 일본이 한국 합병 ,Politics
227, 점령군   가쓰라 태프트 밀약  미국과 거리두는 이재명 종합 ,Politics
228,이재명   매타버스  타고 민생대장정     민심 경청한다,Politics
229, 천안함에 어떤 입장인가  전우회  이재명 윤석열에 공개질의,Politics
230,외교부  고위급    대사관에 외교관 차량사고 관련 당부 ,Politics
231, 뉴스앤이슈     아내 손 잡은 CCTV공개    은 선대위 구성 신경전,Politics
232,외교부  미 대사관  외교관 택시충돌 사고 수사 협조하기로 ,Politics
233,   검찰 수사 결과 나오기 전 특검 없다 ,Politics
234,시진핑 호감도   년만에        추락 김정은 비호감도    ,Politics
235,  대 지지도  민주당     국민의힘     무당층    의 마음 어디로,Politics
236,김종인  홍준표 겨냥  사람 하나 있다고      오는 것 아니다 ,Politics
237,윤석열    차관보 접견  포괄적 동맹  아무리 강조해도 지나지치 않아 ,Politics
238,수도권 준중증 병상   개 추가확보 요양병원 PCR 검사 확대 종합 ,Politics
239,이  민심 잘 듣겠다  윤  한미동맹 더욱 중요 ,Politics
240,정부  소아청소년 코로나   백신접종 적극 권고  예약없이 가능 ,Politics
241, 폭설에 출 퇴근 교통정체 예상  재난문자로 알린다,Politics
