,title,category
0,이재명   정부 국민 기대 못 미쳐  더 나은 상황 만들겠다 ,Politics
1, 요소수 대란   의 찜찜한 사과  불편 초래 송구  대응은 잘해 ,Politics
2, 생각보다 미미하네  안철수  미풍 속    에 날선 비판,Politics
3,     년전 법정서 자주 뵀다      형사 거의 안해 기억없어 ,Politics
4,이재명  대장동 수사 미진하면 특검  조건부 수용,Politics
5,이준석  세대  윤석열  진영  대선 전략차이가 갈등의 배경,Politics
6, 허주열의     일기   출가한 딸  청와대 동거  어떻게 봐야하나,Politics
7,      빼면 전두환 잘했다 던 윤석열  상처받은 분들 사과 ,Politics
8,김총리  재난지원금 추가지급에  정부로선 대책이 없는 이야기 ,Politics
9,민주  방역지원금 꼼수 논란에  따뜻한 세정    조 원 추진,Politics
10,김남국  펨코서 쫓겨났다고  소통하자 문자 받아    귀여워 ,Politics
11,     헌화 막힌 윤석열 입구에서  상처받은 분들께 사과 ,Politics
12,    요소       톤 수출절차 진행  한국 도착은 언제 ,Politics
13,   마스크값만   만 원  방역용품 지원    홍남기  자의적으로 안 돼 ,Politics
14,윤석열  호남서 DJ계와 만찬  DJ정신 배우면 나라 제대로 갈 것 ,Politics
15, 나이트포커스  사과는 했지만   비보다 차가운  호남 민심 ,Politics
16, 페미니즘 깨야 청년문제 보인다  홍카단 글 공유한 이재명,Politics
17,  돌아가자     묘역에 뜬 무지개  지지자 항의자 정반대 해석,Politics
18,이재명  음주운전 경력자보다 초보운전이 더 실수할 위험  종합 ,Politics
19,정체된    선 긋는      힘 빠진 제 지대,Politics
20,임기  개월 남기고  국민 대화  승부수    지지율 반전 노리나,Politics
21,   P 앞선 윤석열   컨벤션 효과  유지 관건은  정책 ,Politics
22, 광기의 페미니즘 멈춰달라   홍카단  글 SNS에 공유한 이재명,Politics
23,이재명  국민의힘      망언자 제명해야    광주 간 윤석열 견제,Politics
24,이재명  윤석열  가짜사과 아니길      망언자 제명해야 ,Politics
25,잘 먹어도 힘든 게 유격훈련인데   부실급식 주장에 부대 해명 들어보니,Politics
26, 홍준표 꼬붕  안철수와 작당  김종인에 찍힌   파리떼 누구,Politics
27,  부실수사 언급하며  대장동 특검 거부  한발 물러선 이재명,Politics
28,광주 찾은 윤석열  상처받은 분들께 사과         묘지 참배는 무산,Politics
29,   조건부 특검  입장 선회      특검 수용은 바람직 ,Politics
30,이재명 윤석열  후보로 첫 대면      재계 끌어안기,Politics
31,이재명  윤석열의  취임하면 돈 확 뿌리겠다  발언에  되는대로 막 던지시지 마시고 ,Politics
32,     광주 방문 에  표 계산용 이벤트 출장 정치쇼  맹비난 종합 ,Politics
33, 따져보니  이재명 윤석열  돈풀기 공약  나랏빚은 괜찮나,Politics
34,윤석열  국민통합  구상 김종인에 총괄선대위원장 제안,Politics
35,요소수  급한 불  껐지만   대체 수입처 찾기 난망,Politics
36,이재명  차별금지법 신중론 에 심상정  대통령도 다음에 하라 ,Politics
37,광주시민  상처 에 다가가지 못한 윤석열  머리 숙여 사과 ,Politics
38,    분향소   m 앞 멈춰선   참배광장 한복판서 빗속 사과 종합 보 ,Politics
39,  고발  이재명 아내 낙상사고 허위사실  글 보니  주먹 이상의 가격 ,Politics
40, 페미니즘 멈춘다고 약속해 달라  그러면 지지할 것  글 공유한  ,Politics
41, 음주운전보다 초보운전 더 위험   이재명 측 해명  실수위험 말한 것 ,Politics
42,여  당 결재부터 받아라  야  매표용 지원금 ,Politics
43,이재명  국민의힘      망언자 제명해야    광주 간 윤석열 견제,Politics
44,이재명  윤석열  가짜사과 아니길      망언자 제명해야 ,Politics
45,민주당  이재명이 주먹 가격  허위사실 유포  명 고발 ,Politics
46,   비 맞으며 머리 숙였지만   넉 달 만에    m  멀어진 호남민심,Politics
47,윤석열  상처받은 분들께 사과 ,Politics
48,이재명  대장동 특검 공감한다 ,Politics
49, 대통령도 대통령이기 이전에 부모   대통령 딸  거주  쏟아진 관심 이슈픽 ,Politics
50,   비서실장에 권성동 아닌 장제원 원했지만  김종인 비토로 포기 ,Politics
51, 여론 읽어주는 기자   이전     과 달랐다  핵심 변수된  MZ세대 ,Politics
52,이재명은  민생  여당은  방역  방점 다른  지원금 동상이몽 ,Politics
53, 인터뷰      재단 조진태  윤석열 일방적 사과  진정성 없어 ,Politics
54,KC     공군 수송기  요소수 긴급 공수  위해 호주로 출발,Politics
55,윤석열       추모탑 먼 발치서 사과    광주의 상처는 깊었다,Politics
56,윤석열 발길 돌리자     묘역에 뜬 무지개 해석 제각각,Politics
57,이재명이 아내 폭행  민주당  허위사실 유포 네티즌  명 고발,Politics
58, 뉴있저  대선용 포퓰리즘  여기서 이러시면 안됩니다,Politics
59, 캠프나우  윤석열  광주 찍고 목포행  청년 게스트하우스 에 묵기로,Politics
60,     헌화 막힌 윤석열 입구에서  상처받은 분들께 사과 ,Politics
61, 페미 반대  글 공유한 이재명  청년들의 절규 전하고 싶었다 ,Politics
62,이재명  대장동  내가 뭘 잘못  수사 미진하면 특검 ,Politics
63,    요소       톤 수출절차 진행  한국 도착은 언제 ,Politics
64, 이대남 에 앞다퉈 손짓  여성 인권 팽개치나  비판도,Politics
65,   조  하늘에서 떨어지나   방역지원금  세금 밑장 빼기 ,Politics
66,방역지원금   조 증액 요구  맘대로 되는 게 아냐 ,Politics
67, 단독  기자 PD에  종북  딱지 붙인 국정원  진상규명 제자리 ,Politics
68,민주  이재명 부인 낙상사고 허위사실 유포 네티즌  명 고발  종합 ,Politics
69, 정치톡톡  최태원 만난 이재명   탈당 숫자 공방    혼절 처음 봤다 ,Politics
70,이재명 윤석열 첫 대면  검찰 수사 미진하면 특검 ,Politics
71, 단독  이명박 국정원의 MBC 사찰  종북좌파 해방구 와해 미미 ,Politics
72,권성동  선대위 인선 기본은  후보   이견 조율 신경전,Politics
73,천안함전우회  유튜브에  좌초설  등 영상 삭제 요청하기로,Politics
74,윤석열      참배 반발에  저는 쇼 안합니다  종합 ,Politics
75,요소수 대란 파악에  주 걸려  비싼 수업료 냈다 ,Politics
76, 단독  윤석열    일    축하난  받는다   후보 선출 열흘만,Politics
77, 이재명이 아내 폭행      누리꾼  명 고발,Politics
78,요소수   톤 구하러 항공유    톤 들여  수송기 호주 급파 왜 ,Politics
79,광주 간 윤석열  오월정신 반듯이 세우겠다      정치쇼 강행 ,Politics
80,진중권   캠프  이준석 김종인 막으려해 뇌 없는 이들 본선 데려가 ,Politics
81,진중권   조국 수호  김남국이      공략  진짜 미스 캐스팅 ,Politics
82, 주진우 라이브  강기정  전두환 정치 잘했냐 못했냐 언급 없는 윤석열 사과는 아무것도 없는 깡통 ,Politics
83, 원포인트 기용  하야시  한일 관계 개선 물꼬 틀까,Politics
84, 조건부 특검 수용  꺼낸 이재명  지지율 열세 고려한 승부수 ,Politics
85,홍남기  초과세수   조대  요건 맞는것만 납세유예 가능  종합 보 ,Politics
86,이재명 윤석열 첫 조우  고개 끄덕  vs  통상적 인사 ,Politics
87,     부인 낙상사고 허위사실 유포 누리꾼  명 고발 ,Politics
88, 뉴있저   김건희   개 대학 이력서 허위 기재    윤석열도 몰랐나 ,Politics
89, 여랑야랑 이재명과 윤석열의  첫 만남    요소수 대란은 비싼 수업료 ,Politics
90,이재명   수사 미진하면  조건 달고  대장동 특검 수용 ,Politics
91, 요소수 긴급 공수  KC     공군 수송기 호주로 출발 상보 ,Politics
92,중  요소  만  천   톤 수출 재개 급한 불 껐다,Politics
93,요소수 석달치 확보  숨통 트이나,Politics
94, 참배 안 된다  반발에 광장서 묵념만 물리적 충돌은 없어,Politics
95,공수처  손준성  일만에 재소환  판사사찰 의혹도 조사,Politics
96, 곽상도 의원 사퇴안  오늘 본회의 처리,Politics
97,끌어안는 이재명 vs 거리 두는 윤석열  PK 향한 엇갈린 행보,Politics
98, 윤석열의 입  수석대변인 이양수 대변인 김병민 내정,Politics
99,        vs        ,Politics
100,이름만 바꾼 재난지원금 난타전     자의적 납부유예 법 저촉 ,Politics
101,요소수 실어 올 군 수송기 호주로 출발 내일 국내도착 예상 종합 ,Politics
102,처음으로 얼굴 마주한  이 윤       토론  놓고 신경전,Politics
103, 중국에 묶여 있던 요소 풀렸다  요소수  개월 치 확보,Politics
104,달걀 투척은 없었지만        묘역 참배는 무산,Politics
105,  선출 후 국힘 불협화음   MZ세대 입당 많다  vs  탈당 수가 압도적 ,Politics
106,  월   일 MBN 종합뉴스 주요뉴스,Politics
107,이재명  민주당에서 페미니즘은 볼드모트  글 공유      남성 표심 붙잡기 ,Politics
108,이재명   페미 반대  디씨 글 또 공유 여성들  여성표 버리고 가나 ,Politics
109,윤석열   전두환 발언    일 만에 광주 찾아 사과,Politics
110,국민의힘 자중지란 부추기는     컨벤션 효과 최소화 의도,Politics
111, 뉴스썰기  이재명        남자들이 홍을 지지하는 이유  공유 왜 ,Politics
112,   조건부 특검  입장 선회      특검 수용은 바람직 ,Politics
113,     추모탑 분향 못하고 돌아선 윤석열  제 발언 상처 받은 모든 분들께 머리 숙여 사과 ,Politics
114, 오만하고 실망스럽다    사과 지켜본 광주 시민사회  싸늘  종합 ,Politics
115,이재명   홍카단  편지 SNS 공유  광기의 페미니즘 멈춰야 ,Politics
116,이재명   광기의 페미니즘 멈춰달라  홍카단 글 SNS에 공유,Politics
117,요소수 대란에   고개 숙였지만   비싼 수업료  발언 빈축,Politics
118, 속보  요소수  만t 있어야 겨울이라도 나는데  홍남기   만여톤 협의 중  송구 ,Politics
119,고개 숙였지만 환영받지 못한 이재명 윤석열  동병상련,Politics
120, 전두환 옹호    일 만에 윤석열      묘지서  머리 숙여 사과 ,Politics
121,지지율 답보 승부수  민주당도  특검법 협상 가능 ,Politics
122, 전두환 발언  고개 숙였지만 광주 시민 항의 맞닥뜨린 윤석열,Politics
123, 중국에 묶여 있던 요소 풀렸다  요소수  개월 치 확보,Politics
124,달걀 투척은 없었지만        묘역 참배는 무산,Politics
125, 일정 재개  이재명  미래 청년 정책행보 속도 종합 ,Politics
126,김영환   요소수 사태 에 한숨   대통령  국민들 복창 뒤짚고  염장 질러 ,Politics
127,   꼼수논란에도 간판 바꿔달고 재난금 강공  지금 골든타임  종합 ,Politics
