,title,category
0, 만취 벤츠  운전자 징역  년 유족  사과받은적 없어 ,Social
1,이재명 부인 이송 보고 안 했다고 퇴근한 대원 불러내 질책,Social
2,길 가는   대 여성 껴안은 노숙인 구속 송치,Social
3,장애인단체  서울 지하철  호선에서 이동권 보장 시위,Social
4, 김경록  하드디스크 보관장소 먼저 알려줘    조국 수사팀  대검 감찰 반박,Social
5,이혼하자는 남편  수면제 먹이고 흉기 살해      대 징역   년,Social
6,지나가던   대 여성 껴안고 술집서 난동부린   대 구속송치,Social
7,양평 요양병원  주새   명 집단감염 환자  명 사망,Social
8, 오토바이 뺑소니  김흥국   심서 벌금    만원 선고,Social
9,방역수칙 위반한 김부겸 총리  종로구  과태료   만원 부과 예정 ,Social
10,응급실행 오세훈 요로결석 치료  휴식 후 곧 업무 복귀  종합 ,Social
11, 광주 붕괴참사 비위  문흥식  첫 재판서 일부 혐의 부인,Social
12,대장동 불법 수익으로 기업 인수    주가조작 시도 정황까지,Social
13,대장동 남욱 빚     억 원  예금보험공사는 안 찾았나 못 찾았나,Social
14, 해남의 맛과 멋을 즐기세요  해남미남축제 팡파르,Social
15,복통으로 응급실 간    요로결석 배출됐다  곧 복귀,Social
16,역대 중국 왕조 붕괴  지구 곳곳 화산 분출 탓 ,Social
17,새벽 노동자 덮친 음주운전 전과자  징역  년 선고,Social
18,셀트리온 코로나 항체치료제  렉키로나   사실상 유럽 사용 허가,Social
19,대장동 머니  쌍방울 전 대표에게로    주가조작  전 부사장도 연루,Social
20, 만취 벤츠  운전자 징역  년 유족  사과받은적 없어 ,Social
21,서울 코로나 중환자병상 가동률     넘어 비상기준 초과,Social
22, 멈춘 차에 몸 대더니  으악   음주운전이라며 돈 요구  황당 ,Social
23,초등학교 동창과 말다툼 중 살해   대 검거   하천에 시신 유기도,Social
24, 교장 출신 황제교사제 폐지를    교원  단체 교육부에 의견서,Social
25,하루종일 이어진 진에어 시스템 장애    전국 공항 항공편 지연 잇따라 ,Social
26,공수처   고발사주 의혹  손준성 검사 구속영장 재청구 고심,Social
27,권영진 대구시장  범안로 무료화  공약 무산 대신  통행료     인하 ,Social
28,마스크 없이 살 수 있을까   국민      마스크 계속 써야 ,Social
29,방탄소년단 RM  대구미술관 대구보건대 인당뮤지엄 깜짝 방문,Social
