,title,category
0, 간호인력 충원 의료서비스 강화하라  병원 돌봄노조 총파업 결의,Social
1,떠나는 곽상도의 결백 호소  대장동 사업 관여 안해 ,Social
2, 금품수수 혐의  송도근 사천시장  대법서 시장직 상실형 확정,Social
3, 마스크 왜 안써  처음보는 행인에 침뱉고 종업원 때리고,Social
4,양승동 KBS 사장   심서도  근로기준법 위반  혐의 부인,Social
5,     세 백신 사전 예약 내일 마감      세 접종률      ,Social
6,검찰   대변인폰 압수  대검 감찰과장 고발건 수사 착수,Social
7, 술집 앞에 오토바이 세워놨다가 생돈    만원 날릴 판   영상 ,Social
8,경북문화관광공사  경주 보문단지 짚라인 조성사업 졸속 추진에 고개 숙여,Social
9,정부  코로나   위중증환자 계속 증가할듯 추가접종 당부 ,Social
10,주한 미국 외교관  택시 추돌 후 도주   경찰 조사 거부,Social
11,서울중앙지검   대변인폰 압수  대검 감찰과장 고발사건 수사착수,Social
12,서울 중증병상 사용률     임박 정부는  비상계획 논의는 일러  종합 보 ,Social
13,차세대 기관총 정보수집 방산업체 직원 집유,Social
14,실외 노마스크 가능할까 정은경  일상회복  단계 전환 어려울수도 ,Social
15,수능 일주일 앞인데 학생 확진자 일평균      명,Social
16, 정수장학회는 김진수 부산일보 사장 해임하라 ,Social
17,화이자 부스터샷 맞고 사망 국내 첫 사례 나왔다,Social
18, 마스크 안쓰고 폭력  제주 적반하장 방역위반자 속출,Social
19,주간 학생 일평균    명 확진  역대  위  등교율    ,Social
20,  대 여성  화이자 부스터샷 맞은 후 사망 국내 첫 사례,Social
21, Pick  유명 가수  구급차 타고 청주 남양주  연예인 택시  논란,Social
22, 정 변호사의 현장일지   년 전 빌려준  비트코인  얼마 받을 수 있나 ,Social
23, 지자체NOW  청탁금지법 위반  송도근 사천시장   당선 무효형  시장직 상실,Social
24,  배우 매코너헤이      세 백신 의무화 안 돼 정보 더 필요 ,Social
25,권순정  공수처 대검   하청감찰 입건사주 한게 아닌지 우려스러워 ,Social
26, 구급차가 연예인 택시    청주서 남양주 공연장까지 이동한 가수,Social
27, 대변인 공용폰 불법 압수  사건  공무원 범죄 전담 수사부 배당,Social
28,COP   초안  맹탕   툰베리  유엔에  기후 비상상황 선포  청원,Social
29,경산상방근린공원 조성사업 기공식 일부 편입 지주 반발,Social
30,민노총 주말 집회만  건 경찰  요소수 가뭄에  걸어가서라도 대응 ,Social
31,갑자기 찾아온 추위  토요일부터 풀린다    수능한파 도 없을듯,Social
32, 근로기준법 위반 혐의  양승동 KBS사장 측   심 유죄 부당 ,Social
33,저격용 소총 등 군사기밀 불법 취득한 방산업체 임직원 집행유예 선고,Social
34,설립   년 만에 첫 조업정지  영풍석포제련소에 노동계 격려방문 이어져,Social
35,김건희  허위이력  의혹에 유은혜  사실이면 대학이 처분 ,Social
36,예천  대강 부지에 스마트팜 연계형 수소연료전지발전소 건설,Social
37, 지난    년간 지구 온난화 빙하기 이후 정상 범위 벗어나 ,Social
38,코로나   백신 접종완료율              세 접종예약 내일까지,Social
39,오세훈표  안심소득  내년부터 시범 시행 저소득    가구 대상,Social
40,인터넷 개인방송 진행자  명에 칼부림   대 항소심도 징역  년,Social
41,국내  대 제지업체 폐수 무단 방류 의혹  최소     톤 추정 ,Social
42,광주 서구  출장 여비 야근 식비  부적정 집행 감사 본격화,Social
43, 지자체NOW  청탁금지법 위반  송도근 사천시장   당선 무효형  시장직 상실,Social
44,   노무현 묘역 참배     매국노   대통령  뒤엉켜 북새통,Social
45, 성관계 영상 유포  종근당 회장 장남   심도 집행유예,Social
46,   대장동    억 클럽  의혹 정조준   곽상도  결백 증명 ,Social
47,코로나   이후 늘어난 의료폐기물 경기도 소각장은  곳 불과,Social
48,방역당국       세 소아청소년   만 명 임신부      여 명  차 접종 완료 ,Social
49,고보선 원장  도성훈 교육감 위기 진보 단일화 경선할 것 ,Social
50, 코로나   예방접종추진단   내일부터 추가 접종자도 SNS 잔여백신 예약으로 신속 접종 가능     월   일 오후 브리핑 ,Social
51, 이재명 돕지 않으면 가족 납치  윤영찬 의원 협박 남성  혐의 부인,Social
52, 코로나로 전세계 일자리  억 천만개 소멸 의료 돌봄서 창출 ,Social
53, 서울  서울시  안심소득 정부 승인   내년부터 시범사업 ,Social
54,대검  대변인  감찰부가 휴대폰 압수해 공수처 제공  입건사주  아닌지 우려 ,Social
55,       고금리  대출막힌 소상공인 울린 불법대부업,Social
56,한국 싱가포르 여행안전권역   일 발효 COOV 국제용으로 기능 개선,Social
57,하루 평균 코로나   학생 확진자    명 전국 학교     등교 수업,Social
58, 성관계 불법촬영 유포  종근당 장남  심도 집행유예,Social
59, 프레스룸 날씨 내일까지 가끔 비 눈 모레 아침까지 때 이른 추위,Social
60,질병청  코로나 백신 매년 접종 검토  중장기적 과제  종합 ,Social
61,낮잠 안잔다고 몸으로 눌러 원생 숨지게 한 어린이집 원장,Social
62,김포시  감시장비 소송  년만에 최종 승소  한강 철책철거 탄력,Social
63,대구 출신 곽상도 의원  사직안  국회 통과   민간인 신분으로 검찰 소환될 전망,Social
64,검찰   도이치 주가조작  권오수 회장 재소환 영장 청구 방침,Social
65,기영옥 전 광주FC 단장  아들 기성용 몰래 사문서위조 인정,Social
66,정은경  일상회복  단계 전환 어려울수도 방역조치 강화 가능 ,Social
67, 김학의 뇌물  증언한 건설업자  다시 파기환송심 증언대에,Social
68,공수처    장모 대응 문건 도 수사   당시 대검 대변인  의도 의심 ,Social
69,카카오택시에 대항   부산  동백택시  다음달 출발,Social
70, 최근  년간 교육청별 징계 분류했더니   음주운전    건 ,Social
71,수능 코앞인데 하루 평균 학생      명 확진,Social
72, 영상  아이 덮친 탑차 사고  당시 상황 보니,Social
73,차별금지법 청원 심사 재연장 후폭풍  은평구민  박주민에 책임 묻겠다 ,Social
74,정은경  현 상황  일상회복  단계 전환 어려워 방역 강화할 수도 ,Social
75,코로나   백신 접종완료율            세 접종예약 내일까지 종합 ,Social
76,   개월 여아 학대치사    대 어린이집 원장  징역  년,Social
77,포스텍 연구팀  헬리코박터 파일로리균 이용한 신개념 약물전달 시스템 개발,Social
78,  대 여성 화이자 부스터샷 맞고 사망 국내 첫 사례,Social
79,충남도의원들  세월 좋네 사무실에서 대놓고 담배 뻑뻑,Social
80,부탁 거절한 형 죽인   대 동생   심도 징역   년,Social
81,권순정 전 대검 대변인  대검이 공수처에  입건사주  ,Social
82,  생리대 파동  연구 정당  깨끗한나라  여성단체 상대 패소,Social
83,검찰  대검 대변인 폰  위법 압수  논란 감찰과장 수사 착수,Social
84,검찰   도이치 주가조작  권오수 회장 재소환 영장 청구 방침,Social
85,기영옥 전 광주FC 단장  아들 기성용 몰래 사문서위조 인정,Social
86,정은경  일상회복  단계 전환 어려울수도 방역조치 강화 가능 ,Social
87, 김학의 뇌물  증언한 건설업자  다시 파기환송심 증언대에,Social
88,공수처    장모 대응 문건 도 수사   당시 대검 대변인  의도 의심 ,Social
89,카카오택시에 대항   부산  동백택시  다음달 출발,Social
90, 최근  년간 교육청별 징계 분류했더니   음주운전    건 ,Social
91,수능 코앞인데 하루 평균 학생      명 확진,Social
92, 영상  아이 덮친 탑차 사고  당시 상황 보니,Social
93,차별금지법 청원 심사 재연장 후폭풍  은평구민  박주민에 책임 묻겠다 ,Social
94,정은경  현 상황  일상회복  단계 전환 어려워 방역 강화할 수도 ,Social
95,코로나   백신 접종완료율            세 접종예약 내일까지 종합 ,Social
96,   개월 여아 학대치사    대 어린이집 원장  징역  년,Social
97,포스텍 연구팀  헬리코박터 파일로리균 이용한 신개념 약물전달 시스템 개발,Social
98,위중증 환자 급증에도 정부  비상계획 논의할 정도 아냐 ,Social
99, 전남  시  목포시 삼학도 요트마리나 민간위탁사 선정  논란 ,Social
100,집안일 거절하자 흉기로 친형 살해한 동생  징역   년,Social
101,창원시  제 차 재난지원금 지급한다   일부터 접수,Social
102, 감금됐다  경찰 신고하자  말 잘해라  흉기 들고 전여친 협박한   대 실형,Social
103,수능 D  일 오늘부터 전 고교 원격수업,Social
104, 성관계 영상 유포  종근당 장남   심도  징역  년 집유  년 ,Social
105, 부산  부산시  지역화폐 연계 택시 호출 앱 서비스 시작,Social
106,수자원공사  관계 기관과 재난대응 안전한국훈련 실시,Social
107,출생신고 안한  살 딸 살해한 엄마 징역   년,Social
108,신상공개 결정 전 피의자 의견 듣는다   경찰  국민여론 피의자 인권 종합 고려할 것 ,Social
109,내일부터  추가 접종 도 네이버 카카오 SNS 당일예약 가능,Social
110,국힘 청주상당 조직위원장 정우택 임명  재선거 출마  종합 ,Social
111,위중증 최다 당국  의료체계서 감당  정은경  일상회복  단계 지속 방역조치 강화할 수도 ,Social
112,코로나로 얼어붙은 채용시장 훈풍 청주채용박람회 문전성시,Social
113, 부스터샷  첫 사망 의심 신고   세 이상 화이자 접종,Social
