,title,category
0,냉전시대 복귀 미  독일주둔 미사일사령부   년만에 재가동,World
1,  매체     핵 선제 불사용  선언 못하도록 일본 영국 프랑스 움직인다 ,World
2, 다이아만    개  마리 앙투아네트 팔찌   억에 팔렸다,World
3,TSMC 소니  반도체 동맹    구마모토에 공장 설립,World
4,알리바바 폭락 헝다 사태에도  채권 주식에    자금    조원 유입,World
5,헝다자동차     억원 주식 매각 계획  대금 개발 생산에 이용 ,World
6,유럽의 골칫거리 벨라루스  난민 공격 에 허 찔린 EU,World
7,애플은 아니라지만 팀쿡 CEO  암호화폐 개인적으로 투자 ,World
8,미접종자 중심으로 감염 확산     주 뒤면 남는 병상 없다 ,World
9,한숨 돌린 요소수 중국서  만  천   톤 반입,World
10,마크롱  연금개혁 중단  내년  월 대선 이후로 연기 ,World
11,베이조스 소송에   NASA  달탐사     년 이후로 연기 ,World
12,중국  미 의원들 대만방문에  결연히 반대  관영매체  음흉 ,World
13,낳고 보니 남의 아이 수정란 뒤바뀐 부부의 눈물겨운 선택,World
14, 상무  반도체 정보  철저 보안  약속했지만 추가 조치 여부 주목,World
15,TSMC 소니  반도체 동맹  일본 파운드리 공장 합작,World
16, 방위성   미사일 분석 오류 망신    발 아닌  발  뒤늦게 정정,World
17, 자막뉴스  코로나 상황  게임체인저  등장   복제약이 해결책 될까,World
18,  전문가들  국경개방 시기상조 재앙적 결과 가져올 것 ,World
19, 자민  최대 파벌  아베파  정국운영에 깊이 개입할 듯,World
20,냉전시대 복귀 미  독일주둔 미사일사령부   년만에 재가동,World
21,  기술력 뺨치는   신형 항공모함 이르면 내년  월 완공,World
22,미국 전 국민 부스터 접종 눈앞   FDA  크리스마스 전 승인할 듯 ,World
23, 제 의 테슬라  전기차 업체 리비안  공모가   달러 책정,World
24,    세 이하에    만원 지급    억대 연봉자 자녀도   논란,World
25, 결단력있고 사려깊으며 혁신에도 도전   매체  시진핑 찬양 화제,World
26,노조가 불편한 스타벅스 vs 결성하려는 직원 투표 전 기싸움 종합 ,World
27,중국  생산자물가 소비자물가로 전이 조짐 종합 ,World
28,테슬라   천이백슬라  찍고 급락 머스크 동생도 팔았다  종합 ,World
