,title,category
0,  코로나 사망  명  델타변이에 돌연변이 추가  자멸 가능성 ,World
1,홍콩 청년층           반정부 시위 후 법치 신뢰 잃어 ,World
2,신임 뉴욕시장  학교에서 비트코인 블록체인 가르쳐야 ,World
3,  코로나 사망   개월만에     감염급감 이유  의견분분 ,World
4,   오늘부터 비즈니스 목적 입국자 격리기간  일로 단축,World
5,축구로 문화를 가르쳐요 베이징 헤브론 축구교실 한동희 감독,World
6,미 인프라 예산 통과에 전기차 충전망 전국적 구축 탄력,World
7,LA 시카고 등   대도시 기본소득 첫 실험 기대반 우려반,World
8,메르켈  난민 문제   나  아닌   국민  우리 가 해냈다 ,World
9,이스라엘  예루살렘에 팔레스타인 미영사관 자리 없다 ,World
10, 명 깔려 숨지고    명 부상 치료  광란의   힙합 콘서트,World
11,양안 긴장 고조  타이완 해병대 괌에서 군사 훈련 참여,World
12,태국 치앙마이 한국인 단체관광  스타트   내년초까지  만여명 ,World
13,영국  이달 말부터 먹는 코로나 치료제 처방할 듯,World
14,머스크  주식 팔까요   설문에 찬성이 과반   테슬라 토큰      ,World
15,     개월 만에 백신 접종 관광객 입국 허가,World
16, 김지수의 글로벌브리핑  미 영 등 국제사회  이라크 총리 노린 테러 비판  ,World
17,  최대 훠궈 체인 하이디라오  연말까지 매장    개 닫는다,World
18,백신 안맞고 구충제 복용   NFL 스타 확진 뒤 뭇매,World
19,엔화  미국 장기금리 하락에  달러    엔대 중반 상승 출발,World
20,코로나 누적 확진  억    만명 넘어  치료제에  시선집중 ,World
21,중 러 견제용 바이든 민주주의 정상회의 한국 포함,World
22,새 뉴욕시장 또 가상화폐 발언  학교서 교육해야 ,World
23,  안보보좌관  미국   하나의 중국  존중 타이완 문제 현상 유지 바래 ,World
24,시진핑  마오쩌둥 덩샤오핑 반열 오른다  중 전회  역사 결의 로  연임 명분 공고화,World
25,시진핑 장기집권 앞둔     중전회  관전 포인트는,World
26,블룸버그  삼성전자 등   반도체 기업 데이터  에 제공할 것 ,World
27,예산안 한고비 넘긴 바이든 지지율 고전은 계속,World
28, 안보보좌관   하나의 중국  고수 대만 현상유지 바라 ,World
29, 보낸다던 가스  소식 없네  푸틴 약속  공수표  땐 유럽 가스값 또 급등,World
30,머스크는 왜 자신의 테슬라 주식    를 팔아야 할까 ,World
31,핵무기 없는 호주에 핵잠수함  오커스 에 흔들리는 핵비확산체제,World
32,공동부유는 자본주의 병폐 치료법,World
33,머스크   트위터 투표 로   조원어치 테슬라 지분 매각 결정 ,World
34,    일부터 외국인들 입국 허용   개월만에 금지 해제,World
35,신임 뉴욕시장  학교에서 가상화폐 가르쳐야 ,World
36,   대만TSMC에  호 정부 보조금  WTO 제소 리스크 ,World
37,니카라과 대선 투표 종료   분 전 오르테가  연임 유력,World
38,베트남 장관 금박스테이크 먹방  부글    한끼 식사가  개월 월급,World
39,아메리칸항공  연말 성수기 인력 대란 우려에  최대  배 수당 지급 ,World
40,코로나 누적 확진  억    만명 넘어  치료제에  시선집중 ,World
41,에너지장관  올겨울 요금 오를 것  미국도 난방비 대란,World
42,니카라과 오르테가  선 유력시  바이든 이민정책에 타격 ,World
43, 난 운이 좋았다  인천상륙 서울수복 장진호 참전한    세  해병대원 영면,World
44,   오늘부터 백신 접종 완료자 입국 전면 허가   개월만,World
45, 코로나로 위축된 세계경제  정상화 여부 미묘한 분기점  WSJ,World
46, 최소  명 사망  지옥이 된 콘서트  마약 때문이었나,World
47,  기업  구인난에 채용 조건 완화  글로벌 이슈 ,World
48,  월  일 미국증시 마감 특징주,World
49, 테슬라 주식     팔까요  에       찬성 현금 필요한 머스크,World
50,일본   대통령 종전 선언에 밝힌 첫 입장은  시기상조 ,World
51,오늘부터 중국  중 전회 시진핑 장기집권 토대 쌓는다,World
52,중국   중전회  개막 시진핑   대 영도자  반열 전망,World
53, 체중    도 안돼  우한 코로나 참상 폭로   기자 수감 중 위중,World
54,머스크  주식   조원어치 매각  직접 묻자 트위터 사용자      Yes ,World
55,반도체 정보 제출 임박  미 상무부와 절충점 찾은 듯 ,World
56, 우한 코로나  알렸다가 체포된   시민기자 생명 위태  혼자 걷지 못해 ,World
57,마약 콘서트였나 미국 광란의  명 압사 사고 수사 확대,World
58,우한 실상 알린  시민기자  철장서 건강악화로 생명 위태,World
59, 현시점부터 내년 말 사이에 코로나   통제 가능할 것 ,World
60,아메리칸항공  연말 성수기 인력 대란 우려에  최대  배 수당 지급 ,World
61,드론  대로 이라크 총리 암살 시도 사건 배후는 누구 ,World
62,자민당 과반 이유  야당에 기대 없어   개헌 찬성 ,World
63, 비바라비다  빈민촌 살던 이민자 소년  아르헨 가전기업 일구기까지,World
64, 이 시각 세계  베이징  이른 첫눈에 시내버스 운행 중단,World
65, 백신의무화정책  연방공무원 접종시한 닥쳐  첫 관문 ,World
66, 다음달 바이든 주최 첫 민주주의 정상회의에 한국 초청 ,World
67, 머스크 주식     팔까요  에 찬성     트위터 설문조사 종료,World
68,중국 전투기   대  대만 공중무력시위 다시 압박 강화,World
69,머스크 설문조사 결과     가 주식 팔아라 머스크 정말 팔까 ,World
70, 테슬라 주식     팔까요   머스크 질문에     찬성,World
71, 내달 바이든 주최 첫 민주주의 정상회의에 한국 초청 ,World
72, 코로나   국제뉴스    지방 정부들      살 백신접종 유인책 잇따라 내놔,World
73, 명 깔려 숨지고    명 약물 중독  광란의 스콧 콘서트  현장 ,World
74, 테슬라 주식     팔까요   머스크 질문에       찬성,World
75,   한국전 종전 선언  시기상조   대통령 제안에 난색 표명,World
76,  백악관  민간기업 의무화  결국 유효한 판단 나올 것 ,World
77,미국 안보보좌관  미   하나의 중국  고수 대만 현상유지 바래 ,World
78,머스크  테슬라     매각 시작할 듯  결과에 따를 준비 돼 있다 ,World
79, 신기림의 월가프리뷰 대형 기술주의 차익 실현 압박,World
80, 위드 코로나  일부 확산세에도  코로나 내년 말 통제될 것  백신확대 치료제 승인,World
81,새 뉴욕시장 당선자 이번엔  학교서 가상자산 가르쳐야 ,World
82, 테슬라 주식     매각   찬성 의견 더 많아,World
83,바이든 핵 정책  억지 반격 에 제한되나 이번 달 백악관 회의,World
84,중국 언론도 주목한 한국 요소수대란,World
85,니카라과 대통령  선 도전 미국 EU  독재  규탄  인더머니 ,World
86,      조 달러 인프라 예산안 통과   사회복지 예산안은  진통 중 ,World
87,이라크 총리 공관에 드론 공격으로  명 부상 총리는 무사,World
