,title,category
0,갑자기 발생하는 극심한 두통과 흉통  어떻게 위험한가요   의사에게 듣는  질환  이야기 ,Culture
1,스티브 키퍼 GM 수석부사장  경직적 노동규제 해결없인 한국GM 전기차 투자 어렵다 ,Culture
2,    등 자국  산업 혜택 몰아주는데 한국은 세금으로 수입 전기차 지원,Culture
3,외국OTT 진격에 토종 OTT  좌불안석 ,Culture
4,남성 호르몬 상위    김종국  근육 말고 무슨 장점 있나,Culture
5, 이혼가정 혼주석 엄마자리 때문에 미치겠습니다 ,Culture
6,보수 연합기관 통합  무산  가능성 높아져,Culture
7, 내일 날씨  찬공기 유입 아침  도 안팎 추위 오후      도 포근,Culture
8, 동키호택과 걷는 산티아고길   일   어이  카메라 내놔  험악한   명이 길을 막았다,Culture
9, 동키호택과 걷는 산티아고길   일 신문  면에 대문짝만하게 벼락 출세  총사,Culture
10, 날씨  닷새째 초겨울 추위   내일 낮 풀리고 수능 추위 없을 듯,Culture
11, 날씨  차가운 퇴근길  주말 추위 차츰 풀려 일요일 아침 중북부 비 조금,Culture
12,청춘이라면  암도 혼자 이겨내야 하나 ,Culture
13, BOOKS  어떤 역병도 인류의 진보 막지 못한다,Culture
14, 퇴근길 날씨  초겨울 추위 계속 남부  비   제주 산지  눈 ,Culture
15, BOOKS  정치는 남의 일 아니다 내 옆의 친구로 대하라,Culture
16, 저녁잇슈      년   월   일 금요일,Culture
17, 내일 날씨  오후부터 추위 풀린다  낮 최고기온      도,Culture
18,좌심실 비대 고혈압 환자  관리 적정 혈압 범위는 ,Culture
19, 주행가능거리    km    km 하락   벤츠코리아  세단 전기차  EQS  제원 가격 공개,Culture
20,갑자기 발생하는 극심한 두통과 흉통  어떻게 위험한가요   의사에게 듣는  질환  이야기 ,Culture
21,스티브 키퍼 GM 수석부사장  경직적 노동규제 해결없인 한국GM 전기차 투자 어렵다 ,Culture
22,,Culture
23,벤츠 첫 전기 세단  EQS  국내 출격,Culture
24, 해남의 맛과 멋을 즐기세요  미남축제   일 개막,Culture
25,두 개의 강 품은 땅의 선물 장터  열 주인공은 생강 토란  지극   적인 시장      ,Culture
26,셀트리온헬스케어   분기 매출액  조원 돌파,Culture
27,코어근육 강화를 위한  분 복근 운동,Culture
28, 재개발보다 재발견  마을기록가 심미예씨의 기록하는 마음,Culture
29,김종국 호르몬 수치 결과에 의사도 놀라  상위     외부 주입 아냐 ,Culture
30,디즈니플러스 문 열었다   자막 이상    향수 자극  다양한 반응,Culture
31,지하철서  손톱  깎고 바닥에 버린 영상 논란  민폐  vs  도촬 ,Culture
32,불매 운동 웬말 유니클로  오픈런 ,Culture
33,유니클로  협업 한정판   시간 만에 또 품절,Culture
34, 날씨  낮에도 찬바람 불며 쌀쌀 주말 가을 날씨 회복,Culture
35,GM이 생각하는 한국사업장 중요성  시장 전략  맑음  생산 물량  흐림 ,Culture
36, 뉴스토리  오징어 게임과 콘텐츠 전쟁 집중 조명,Culture
37,내년 현대차그룹 신차 모델  전기차가 첫 내연기관차 추월,Culture
38,타투는 아직 불법  그렇다면 눈썹문신은 ,Culture
39, 유격 훈련장서 받은 부실 급식이다  주장에    자율배식 ,Culture
40, 주행가능거리    km    km 하락   벤츠코리아  세단 전기차  EQS  제원 가격 공개,Culture
41, 주말 날씨  토 오후 초겨울 추위 벗어나  포근  일요일 수도권 비,Culture
42,실명 부르는 망막박리  젊은 환자 늘어나   골든 타임  놓치지 말고 치료해야  망막이야기 ,Culture
43, 분만에   만개 팔린 한국 텀블러  뭐가 다르기에 락앤락  중국 광군제 매출    억 돌파,Culture
44, 날씨  주말 낮부터 추위 풀려   다음 주 수능일 큰 추위 없어,Culture
45,제자리 탈출한 장기 조직 제 역할 못해 큰 병 생겨,Culture
46,태국 한국의 온천에서 일본의 가해 역사를 만나다  김민정의 도쿄 책갈피 ,Culture
47,목숨까지 걸었다  여진족이 백두산 인삼 캐러 다닌 이유  역발상 ,Culture
48,신동  얀센 맞았는데 확진  슈주 멤버들과는 접촉 없어   공식 ,Culture
49,면역력 사흘 만에 끌어올리는 법,Culture
50, ESC  환절기 등산복  두께보다 겹쳐 입기가 중요하다,Culture
51,슈주 측  신동 코로나   확진  멤버들과는 동선 안 겹쳐 ,Culture
52,코로나  로 피해 본 관광업계 회복에      억 원 지원,Culture
53, 날씨  찬바람 쌩쌩  초겨울 추위 서쪽 가끔 비,Culture
54,재택 끝나고 출근했더니 점심값이 무서워 다시 모이는  편도족 ,Culture
55,알싸한데 자꾸 손이 가네     끄댕이 짠지 를 아시나요 ,Culture
