,title,category
0,화이자  코로나 경구 치료제 FDA 사용 승인 신청 예정,Economic
1, 전지현 지리산 만 믿었는데 추락하는 이선효의  네파 ,Economic
2, 웨딩촬영하고 청첩장까지 돌렸는데 파혼했어요  이유 들어보니,Economic
3, 배진솔의 전자사전 삼성 반도체 시제품 생산 왜 줄였을까 ,Economic
4, 강남 재건축 단지 다 만났다  속도내는 오세훈  스피드 공급   안상미의 부동산 백블 ,Economic
5, 한방에  억 떨어졌다  철옹성 같았던 서울 집값이 흔들  급매물 등장,Economic
6,글로벌 경쟁 치열해진 AI반도체 삼성 SK 어디까지 왔나,Economic
7, 민주화 이후 가장 예측 어려운 대선  외신이 본 한국 ,Economic
8, 금리가 왜 이래  주담대     시대  초읽기,Economic
9, 패밀리 레스토랑 다 망했다는데   세대  아웃백 의 이유 있는 독주,Economic
10, 금나와라 뚝딱  디어유    만원치 주세요 ,Economic
11,화이자    개국과  코로나 알약  공급 계약 논의,Economic
12, 단독  TSMC  마감시한 사흘 남기고  정부에 반도체 자료 제출,Economic
13,비상걸린  밥상 물가  커지는 애그플레이션 우려,Economic
14,  배 레버리지 투자 전도사  라오어  TQQQ   년    배 상승 ,Economic
15, 디젤차 안 살래요   요소수 대란에 구매취소 문의도   배 급증,Economic
16,카뱅 크래프톤  올해 대어급 공모주  다음 주  매도 주의보 ,Economic
17,전기차 주행거리      시대  한국은 못만드나  안만드나 허심 톡 Talk  ,Economic
18, 바이든식  반도체 군기잡기 삼성전자  앞으로가 더 문제  강경주의 IT카페 ,Economic
19,윤석열  부동산 공약  전문가 평가는 ,Economic
20,화이자 vs 머크 코로나   먹는 치료제 비교하면 ,Economic
21,반도체 장비 공급 부족에   삼성 SK 팹 증설 비상 뒷북비즈 ,Economic
22,하루아침에    만배 수익  동학개미 울린   자본의 만행  박의명의 불개미 구조대 ,Economic
23, 위드코로나 다시 날개 편 항공  기대 반 우려 반,Economic
24, 찔끔 내리고 급매   매수자 우위 재편에도 콧대 높은 집주인들  부동산    ,Economic
25,WHO의 경고  유럽 또 팬데믹 진원지로   만 명 사망 가능성도 ,Economic
26, 카운트머니   부동산 시장 변곡점  이미 왔다   이광수 미래에셋증권 수석 연구위원 ,Economic
27, 뉴스쉽  주 일제 하면 회사가 망할까   월화수목토토토 를 위한 실험들이 말하는 것,Economic
28,요소수 부족에 멈추는 화물차    유조차 발 묶이면 휘발유차도  올스톱   뒷북비즈 ,Economic
29,든든한 자회사 업은 큰형 카카오 주가 반등 가능성은,Economic
30,하루에   억번  짝 찾기    유튜브도 제친 MZ세대 필수 앱,Economic
31,지난해 적자국채    조 넘었는데 추가세수로  이재명표 재난지원금  가능하나,Economic
32,신한은행  원화 기반 스테이블코인 발행 검토,Economic
33,이재명표 지원금  대선 전 받을 수 있을까 뒷북경제 ,Economic
34, 제주 아파트   억 찍었다   년 만에  억 오른 이유,Economic
35,요소 품귀현상에 가격  배  비룟값도 걱정,Economic
36,신혼부부도 고개돌린 신희타  시세차익 나누자에 거부감 ,Economic
37,요소수에 목마른 디젤 자동차 정제수가 왜 나와 ,Economic
38, 나는 모든 폭탄을 제거한다  인천공항엔 수퍼맨이 있다,Economic
39,최대 월     만원 벌고   시간 근무도  야쿠르트 아줌마 의 하루 짤담 ,Economic
40, 맛있는 부동산   땅 위의 지하철  BRT 노선 따라 부동산 시장  들썩 ,Economic
41,   억    만원 버는 법   젊은 프리랜서의 기막힌 노하우  더오래 ,Economic
42, 주말 담  버튼 지문 시동 미래차는 이거다  제네시스 GV  ,Economic
43,손가락  개 잘린 생선장수   월    만원씩 내고 돈커녕 옥살이 왜  요지경 보험사기 ,Economic
44,  세종실록  재난지원금 또  대선 앞 재정당국  덜덜 ,Economic
45, 보푸라기 위드코로나  나들이 전  보험 도 확인하세요 ,Economic
46,카카오  주가 회복세 이어질까  매출성장 해외시장 기대감에 목표가 ,Economic
47, 개월 만에  배  껑충  공공임대 분양 전환  막막 ,Economic
48,미국은 왜 일본 반도체를 무너트렸나 한국은 ,Economic
49, 요소수 대란     m 넘은 대기줄 멈추기 시작한 화물차,Economic
50,화이자    개국과 코로나 알약 공급 논의중 주가     ,Economic
