,title,category
0,목포 봉하마을 찾은 윤석열  정치보복  그런 공작 안한다 ,Politics
1,이준석  첫번째 비단 주머니 공개   댓글 조작  킹크랩 잡는 크라켄 ,Politics
2,병사  유격훈련 후 부실급식  vs 부대  자율배식했다 ,Politics
3,윤석열  DJ   모두 통합 강조 두 분 정신 배울 것  종합 ,Politics
4, DJ   통합정신 계승         동서횡단 한  ,Politics
5,민주       조 푼다 는 표 구걸  국힘    조건부 특검 수용은 시간벌기용 ,Politics
6,권양숙 환대받은 이재명  못 만난 윤석열 사뭇 다른  봉하행 ,Politics
7,  선대위 구성 시작  킹메이커  김종인 합류 초읽기,Politics
8,이  중국에 요소수 협력 당부 윤  노무현 배우겠다 ,Politics
9,   납세 유예는 합법  홍남기  법 넘어서는 건 불가능 ,Politics
10, 사사건건 플러스   국회 윤리위  유명무실  오명 벗나  윤미향 박덕흠 이상직 성일종 징계안 심의,Politics
11, 사사건건  국회의원 곽상도 사직안  찬성    표 반대   표 기권   표  가결,Politics
12,강민진   펨코 글  공유한 이재명 저격   반페미니즘  행보로 표 얻겠다는  ,Politics
13, 여의도 사사건건  동시 특검  김성회  가능성 높아져  장성철  대선국면 특검 옳은가  ,Politics
14, 김건희 허위이력  의혹   유은혜  사실이면 대학서 처분 조치 ,Politics
15,다자대결 지지도             경제 정책              NBS ,Politics
16,오전엔 DJ  오후엔    동서횡단  통합메시지 띄운  ,Politics
17,이재명  요소수 관심 가져달라  싱하이밍  이런 큰 영향 생각 못해 ,Politics
18,고민정  정치경험 없는 윤석열  박근혜처럼 꼭두각시 대통령 탄생 우려 ,Politics
19, 영상 이틀째 호남행보    김대중 노무현 상징 가치는  국민통합 ,Politics
20,이준석     쌍특검  제안하면 받겠다 추천권 나눠갖자 ,Politics
21,   가상자산 과세 유예     DJ 노무현 계승 ,Politics
22,   DJ   고향찾아    km 동서횡단  통합정신 배우겠다 ,Politics
23,청년 해결사 강조   vs  DJ   찾아 정치보복 거리 둔       대선 ,Politics
24,이준석 비단주머니      제 의 드루킹  대응팀 띄운다,Politics
25, 경제수석에 박원주 전 특허청장 임기  개월 남기고 경제라인 교체 종합 ,Politics
26, 한반도      상공 핵폭발시 미 본토까지 전자기망 무력화 ,Politics
27,   전쟁인데 매연을   요소수  전시비축물자 아닌 까닭,Politics
28,이준석 비단주머니  탄 정체는 댓글조작  킹크랩  잡는  크라켄 ,Politics
29,국민의힘   크라켄  프로그램 가동해 제 의  드루킹  막는다,Politics
30, 뉴스  PICK  박  일  화해 통합  지방 행보 마무리한 윤석열  성난  호남 민심은 그대로,Politics
31,진중권   윤석열 맞춤법  논란에  아무 문제 없어   생트집 ,Politics
32,   가상자산으로      구애  당은 구식  내가 후보돼 다를 것  종합 ,Politics
33,곽상도 사직안 통과 대구 중남구 보선 내년 대선과 함께,Politics
34,지지자 과열 방치하는 윤석열 캠프  시민 목소리 안 들을 건가  기자메모 ,Politics
35,   김혜경씨 가짜뉴스  개인 아닌 조직 움직임 제 십알단  종합 ,Politics
36, 이슈폴폴  여론조사로 풀어 보는 정치   월 둘째주 민심은 ,Politics
37,싱하이밍   대사   요소수 문제로 혼란  이재명에  특정 국가 겨냥 아냐 ,Politics
38, 대장동 수사 협력  검 경  딱 두번 모였다  그 중 한번은 왕갈비 식사,Politics
39,국회의원    명 사진 속 어랏  국회 첫 인증샷 안내견  조이 ,Politics
40,     대선  대선인기 못지않네   거물급 출마설에 판 커진  미니총선 ,Politics
41,봉하마을 간 윤석열     소탈하고 서민적 기득권 반칙과 싸워 ,Politics
42,TK 이어 PK 박스권 갇힌    현장에서 출구 찾는다,Politics
43, 이대남  모시기 나선 이재명  홍카단  편지까지 꺼냈다,Politics
44, 안방 싸움닭  이준석 독설에 친이준석 인사들도  지나치다 ,Politics
45, 여의도펀치  민주당 김원이 국민의힘 전주혜 한판 토론,Politics
46,  캠프  왜      폄훼하나    캠프  이언주의 탄식,Politics
47,김재연  청년들 마음 대변할 유일한 후보는 바로 나 ,Politics
48,심상정  반페미니즘  류호정   아재  후보  정의      직격,Politics
49,윤석열  김대중 노무현 정신 배우겠다 모두 통합 강조  종합 ,Politics
50,주한  대사  요소수 우리도 많이 부족 한국과 협력해 해결 ,Politics
51,호주 요소수  만 천 리터 공수에 항공유   만 리터 들어 적절성 논란,Politics
52,특검 거부하다 돌아선 이재명의  노림수      대장동 여론 정면돌파 와 또다른  특검 회피  사이,Politics
53,   반듯이  방명록 두고 해석  충돌   오월정신 비뚤어졌다는 것 vs 생트집 ,Politics
54, 비리로 사천시장 중도하차 유감  시정 공백 없어야 ,Politics
55,이재명   대사 접견  관심 가져주면 혼란 극복에 도움 ,Politics
56,이재명     반듯이  오기 논란에  실수 아니면 오월정신 모독 ,Politics
57,  윤석열  반듯이  맹폭   월 정신이 비뚤어졌나  종합 ,Politics
58, 현장연결  이재명  중국대사 면담  요소수 문제로 불편함 겪어 관심 부탁 ,Politics
59,여론조사    대            지지율  구도 굳어지나,Politics
60,이준석  고발사주 특검은    대장동 특검은  가 임명하자 ,Politics
61, 뉴스큐  심상치 않은 지지율   민주당 이재명 후보의 복안은 ,Politics
62,권영세  김건희 논란  인정할 건 인정하고 털고 가는 게 맞아 ,Politics
63,류호정  두 아재 후보들은 여성 삶 공감 못해  윤석열 이재명 직격,Politics
64, 대선 말말말   가상자산 과세  년 연기   반듯이는 똑바로란 뜻 ,Politics
65,민주  낙상사고 가짜뉴스 유포   십알단 과 비슷 조직적 움직임 ,Politics
66,오준호  기본소득당 대통령 후보 출마선언,Politics
67, 영상  윤석열  김대중 기념관  방문  국민통합 계승 ,Politics
68,신지예  이재명        는 집토끼고       은 가져와야 할 표인가 ,Politics
69,지방세율    서      로   탄력 붙는   단계 재정분권 ,Politics
70,여야   아들   억 퇴직금  곽상도 사직안 본회의 처리 종합 ,Politics
71,곽상도  의원직 사직 통과 직후  반드시 결백 증명하겠다 ,Politics
72,진중권  윤석열  반듯이  갖고 생트집  유치해서 못 봐주겠다 ,Politics
73, 사퇴안 처리  곽상도  의원직 떠나 자연인으로  아들 문제로 불편 끼쳐 송구 ,Politics
74,   김혜경 사고 자료 공개  CCTV 속 아내 옆 밤새는 이재명 ,Politics
75,윤석열       분향 못한 채  사과  호남 분노 풀릴까 ,Politics
76, 현장영상  이재명  요소수 문제    이 관심 가져주면 혼란 극복에 도움 ,Politics
