,title,category
0,부산시  택시호출 공공앱  동백택시  내달 출범,Social
1,화이자 백신 부스터샷   대 여성 사망 정부  인과성 조사  종합 ,Social
2,기획사 잠입해 아이돌 멤버 추행한 여성 검찰 송치,Social
3, 재고 없는데 긴급지침 무슨 소용  요소수에 애타는 화물 노동자들 종합 ,Social
4, 백신 인과성 불충분  심근염 심낭염 환자에 의료비 지원,Social
5, 인터넷 방송서 폭행 장면 중계      대 남성 징역형,Social
6, 기업 상대  강제동원  임금소송  일본 측 무반응에 무기한 연기,Social
7,경력단절여성법 전부개정안 국회 본회의 통과 내년  월 시행,Social
8,윤석열  노무현 전 대통령 묘역 참배  다정한 서민의 대통령 보고 싶습니다 ,Social
9, 동의 없이 규칙 개정  양승동 KBS 사장   심서 혐의 부인,Social
10,선관위   이재명 집무실 조폭 사진  공개한 시민단체 대표 고발,Social
11, 땅 투기 의혹  기성용 아버지  사문서 위조 인정,Social
12,의료연대  간호사  덕분에 가 아닌 인력충원 해달라     명   집회,Social
13,대선후보 이재명의  메타버스  전국 순회 첫 도착지는 울산,Social
14,검찰   도이치모터스 주가조작 의혹  권오수 회장 재소환 영장청구 방침,Social
15, 생리대 실험  김만구 교수  유해 물질 검출은 명백한 진실 ,Social
16,위중증 환자 역대 최다  더는 못 버텨  거리에 선 의료인들,Social
17,수능생은 두문불출 스터디카페는 썰렁  선물은 비대면으로,Social
18,    대변인 공용폰 압수  대검 감찰과장 고발 사건 수사 착수,Social
19,마취총 쏴 구조 유기 동물    가  쇼크사  안락사 약품 사용 금지된다,Social
20,내년  월 일  게임 셧다운제  폐지 게임시간  가정 자율 선택,Social
21, MBN 프레스룸  헌화 막힌    입구서 사과,Social
22,중학교 집단감염 터진 울산 코로나   재확산 우려,Social
23,주한 미국외교관  택시 접촉사고 후 현장 이탈 경찰 조사 중 종합 보 ,Social
24,위중증    명 역대 최다    일상회복  단계 전환 어려울 수도 ,Social
25, 인터넷 방송서 폭행 장면 중계      대 남성 징역형,Social
26, 기업 상대  강제동원  임금소송  일본 측 무반응에 무기한 연기,Social
27, 셧다운제  폐지   내년부터 자정 넘어도 PC게임 할 수 있다,Social
28,임산부석 앉은 학생에 호통 친 할아버지    꼰대  vs  왜 앉았냐 ,Social
29,화성시 카이스트 롯데백화점  K 반도체 이끌 핵심인력 기른다,Social
30, 예산에 환경오염시설 추진 도미노 농촌이 도시의 식민지인가 ,Social
31, 카카오T 독주 막자  부산  동백택시  내달 공식 출범  종합 ,Social
32, 나눔도 일상회복 중   위드코로나 로 활기 찾은 봉사현장,Social
33, 성관계 영상 유포  종근당 장남  심도 집행유예,Social
34,군 간부에 군사기밀 불법 수집한 방산업체 대표 집행유예,Social
35, 백종원 볼카츠  논란에 입 연 연돈 사장  좋은 취지  정말 신난다 ,Social
36,검찰  수사기밀 누설  광주 경찰관 추가 기소,Social
37,위중증 환자    명  역대 최다   위드 코로나  빨간불,Social
38, 대변인폰 압수  고발 사건  서울중앙 반부패 부 배당,Social
39,면허도 없이 음주운전에 목격자 폭행한   대 검거,Social
40,어린이 못 보는 오징어게임을  아동 대통령 선거  포스터에 ,Social
41,부스터샷 접종 후 사망사례 첫 신고 인과성은 미확인 종합 ,Social
42, 리뷰 약속  월    만원 들여 커피 서비스  먹튀는 사기 아닌가요 ,Social
43, 항소심 무죄  논란의 레깅스 불법촬영  벌금형 확정,Social
44, MBN 프레스룸    vs    불붙은 특검전쟁 ,Social
45, 불법촬영 유포  혐의 종근당 회장 장남   심도 집행유예,Social
46, 턱스크  한 채 손에는  담배    마스크 써달라  요구에 커피 던진   대,Social
47,  세 이상 부스터샷 당길 듯  전문가회의 공감대  내주 발표,Social
48,기관총 관련 군사기밀 수집하려 군에 돈 뿌린 방산업자들,Social
49,대구 앞산 모노레일  실시설계  진행   년   월 공사 완료,Social
50, 유격장 부실급식  제보의 반전 군  자율배식이었다 ,Social
51,BJ들 찾아가 흉기 난동   대에 항소심도 살인미수 인정,Social
52, 기사 나면 어떡해   불법 도박장  개그맨 김형인 무죄  검찰 항소,Social
53, MBN 프레스룸   뜨거워서  수프 테러,Social
54,오늘부터 차량용 요소수    만  생산한다,Social
55,이웃집 몰래 들어가 용변 보고 침 뱉고   대 남성  심 실형,Social
56,풍년의 역설 쌀값 하락에 과잉 물량  시장격리  요구,Social
57,검찰총장 돌연 연차  법무 장관은 방패  커지는 편파 수사 논란,Social
58,    대변인폰 압수  대검 감찰부 사건 수사 착수,Social
59,당뇨환자   년간       증가 심혈관질환 위험  배 높아,Social
60,기성용 아버지 아들 몰래 사문서위조 인정,Social
61, 부스터샷  국내 첫 사망 신고 화이자 접종   대 여성,Social
62,경기선관위   이재명 조폭 연루설  주장한 시민단체 고발,Social
63,전두환 며느리  연희동 별채 공매 무효 소송  심도 패소,Social
64,의료연대 결의대회    격려에도 지난  년간 의료현장은 제자리 ,Social
65, 전세 연장하고 이혼 위기   청와대로 간 무주택자들,Social
66, 턱스크  한 채 손에는  담배    마스크 써달라  요구에 커피 던진   대,Social
67,  세 이상 부스터샷 당길 듯  전문가회의 공감대  내주 발표,Social
68, 현직 의원 수사  부담 던 검찰  이르면 주말께 곽상도 소환,Social
69,아이 재운다며 눌러 숨지게 한 어린이집 원장 징역  년,Social
70,서울시   안심소득  내년부터 시범실시   저소득    가구 대상  소득 적을수록 많이 지원 ,Social
71, 정부 믿고 전세 연장했다가 이혼 위기  무주택자들   앞 시위,Social
72, MBN 프레스룸  후진하는 트럭에 ,Social
73,조희연  청소년 백신 접종  자율 원칙이나 전향적 판단해달라  종합 ,Social
74,충남공무원노조  강제 동원 개선 없으면 투 개표 사무 거부  영상 ,Social
75,해운대구도 재난지원금  만 원 지급   일상 회복에 도움 되길 ,Social
76,MB국정원의 PD수첩 죽이기  부숴버리고   종북세력 수괴 제거 ,Social
77,무면허 음주운전 중 사고 내자 목격자 폭행까지   대 검거,Social
78, 간호인력 충원 의료서비스 강화하라  병원 돌봄노조 총파업 결의,Social
79,떠나는 곽상도의 결백 호소  대장동 사업 관여 안해 ,Social
80,중앙지검   대변인폰 압수  감찰과장 고발사건 반부패부 배당,Social
81,검찰   김건희 주가조작 연루 의혹  권오수 도이치모터스 회장 재소환,Social
82, 시끄럽다  고시원 이웃에게 흉기 휘두른   대  체포,Social
83, 여성 신체 촬영물 유포  종근당 장남   심도 집행유예,Social
84,꽃잎처럼 금남로에   관 나르고 투사 회보 만든       민주화운동 여성들 ,Social
85,방대본  미접종자 중심 감염 확산   독일과 유사한 상황 발생 가능 ,Social
86,국민의힘 홍석준 의원  구사일생  의원직 유지,Social
87, MBN 프레스룸  임창정  미접종 확진  논란,Social
88, 뇌물수수  김연창 전 대구 부시장  대법 징역  년 확정 종합 ,Social
89,   년 미뤄온 차별금지법 심사 또 미뤄 보수 기독교에 여야 굴복 ,Social
90,생태 평화체험 명소  DMZ 평화의 길    일부터 다시 열린다,Social
91, 예타 면제해 주오  울산건강연대  울산의료원 설립 예타 면제 촉구,Social
92,미접종은 죄인일까  김흥국 임창정이 기름부은  백신거부  논란,Social
93,       목  코로나   종합  신규 확진     명 위중증 환자    명 또  최다 ,Social
94,  대 여성  화이자 부스터샷 맞은 후 사망 국내 첫 사례,Social
95, Pick  유명 가수  구급차 타고 청주 남양주  연예인 택시  논란,Social
96, 정 변호사의 현장일지   년 전 빌려준  비트코인  얼마 받을 수 있나 ,Social
97,제주 지역화폐 활용 온라인 카지노 도입   큰 논란 예상 ,Social
98,양승동 KBS 사장   심서도  근로기준법 위반  혐의 부인,Social
99,     세 백신 사전 예약 내일 마감      세 접종률      ,Social
100, 금품수수 혐의  송도근 사천시장  대법서 시장직 상실형 확정,Social
101, 마스크 왜 안써  처음보는 행인에 침뱉고 종업원 때리고,Social
102,정은경  확진자 지속되면 일상회복  단계 전환 어려울 수도 ,Social
103,천재교육 vs 아이스크림미디어  초등 교과서  등 ,Social
104, 자율주행 특허전쟁 서막 완성차 IT 부품기업 기술확보 치열한  파전,Social
105,조희연  위드 코로나 비상계획 발동되면 초중고 전면등교도 중단 ,Social
