,title,category
0,내연 관계 여성 극단 선택 전 협박한   대 경찰관 영장,Social
1,경기도  개 지방정부  세상에 없던  반도체연합도시 구성 ,Social
2, 배구여제  김연경이  추측성 기사 쓰지 말아달라 고 호소한 까닭은,Social
3, 홈리스는  집  아닌  인간관계 가 없는 사람   길 위의 의사 와 단짝들의 동행  서영아의    세 카페 ,Social
4,    회 로또   등  명   억씩     등 배출한 명당 어디  ,Social
5,대전 봉명동 사우나 손님 종사자 확진 누적   명으로 늘어,Social
6,부산  빅   공공기관장 후보자 모두  부적격  고심 깊어지는 박형준,Social
7, 한어총 불법로비 유죄  판단 돈 받은 국회의원들은 ,Social
8, 냥줍 은 납치였다  귀엽다고 길고양이 무작정 데려왔다간 ,Social
9, 뉴스와이드 날씨 따뜻한 입동 내일부터 기온 뚝 ,Social
10, 극단선택  내연녀에  죽어라  협박한 경찰관  내일 영장심사,Social
11,밤   시 이후  한강공원 치맥   넉달 만에 풀린다,Social
12,광주 전남서 하루새 코로나   확진자 각각   명   명 발생,Social
13,코로나 신규확진     명   닷새 연속  천명대,Social
14,신규확진  천   명  닷새 연속  천명대 위중증 환자    명 종합 ,Social
15,확진자     명  주말도  천명대 위중증 이틀째    명대 종합 ,Social
16,영천  명 등 경북   개시 군서   명 확진   일만에 최고치,Social
17,전남 나주 식품공장발 집단감염으로   명 추가 확진 총   명으로 늘어,Social
18, 청약 당첨되려면   신청자 자녀 나이 바꾼 부동산업자,Social
19,지게차 깔려 다리 잃은   세   과실   나오기 힘든 까닭,Social
20,내연 관계 여성 극단 선택 전 협박한   대 경찰관 영장,Social
21,경기도  개 지방정부  세상에 없던  반도체연합도시 구성 ,Social
22, 배구여제  김연경이  추측성 기사 쓰지 말아달라 고 호소한 까닭은,Social
23, 홈리스는  집  아닌  인간관계 가 없는 사람   길 위의 의사 와 단짝들의 동행  서영아의    세 카페 ,Social
24,    회 로또   등  명   억씩     등 배출한 명당 어디  ,Social
25,대전 봉명동 사우나 손님 종사자 확진 누적   명으로 늘어,Social
26,부산  빅   공공기관장 후보자 모두  부적격  고심 깊어지는 박형준,Social
27, 한어총 불법로비 유죄  판단 돈 받은 국회의원들은 ,Social
28, 냥줍 은 납치였다  귀엽다고 길고양이 무작정 데려왔다간 ,Social
29, 뉴스와이드 날씨 따뜻한 입동 내일부터 기온 뚝 ,Social
30, 극단선택  내연녀에  죽어라  협박한 경찰관  내일 영장심사,Social
31,밤   시 이후  한강공원 치맥   넉달 만에 풀린다,Social
32,광주 전남서 하루새 코로나   확진자 각각   명   명 발생,Social
33,코로나 신규확진     명   닷새 연속  천명대,Social
34,신규확진  천   명  닷새 연속  천명대 위중증 환자    명 종합 ,Social
35,확진자     명  주말도  천명대 위중증 이틀째    명대 종합 ,Social
36,영천  명 등 경북   개시 군서   명 확진   일만에 최고치,Social
37,전남 나주 식품공장발 집단감염으로   명 추가 확진 총   명으로 늘어,Social
38, 청약 당첨되려면   신청자 자녀 나이 바꾼 부동산업자,Social
39,지게차 깔려 다리 잃은   세   과실   나오기 힘든 까닭,Social
40,내연 관계 여성 극단 선택 전 협박한   대 경찰관 영장,Social
41,경기도  개 지방정부  세상에 없던  반도체연합도시 구성 ,Social
42, 배구여제  김연경이  추측성 기사 쓰지 말아달라 고 호소한 까닭은,Social
