,title,category
0, 디폴트 위기 헝다   번째 달러채 디폴트 앞둔 헝다  자산매각으로 버틸 듯,World
1,팬데믹 이전으로 거의 돌아갔던 덴마크 일장춘몽이었다,World
2,동화가 현실로  호주서 발견된 정체불명  이상한 나라의 애벌레 ,World
3,깊이    m 동굴에 갇   탐험가     명 투입   시간만에 구조,World
4, 제 의 테슬라  리비안 공모가   달러 확정    기업가치   조원 ,World
5, 여기는 중국  쇼호스트로 내몰린   학원강사들 인터넷서 농산물 판매하는 이유,World
6,마크롱의 원전 유턴  신규 원자로 건설 다시 추진할 것 ,World
7,    월 소비자물가     수준 예상  더 높아질 위험 ,World
8,    러 겨냥    주둔 미사일사령부   년만에 재가동,World
9,단두대에 사라진  사치의 여왕  다이아몬드 팔찌 한 쌍   억원에 팔렸다,World
10,    독일주둔 미사일사령부   년만에 재가동 준비   냉전시대 회귀 ,World
11, 디폴트 곡예  넘는 헝다  자산매각으로 또 위기 모면할 듯,World
12,TSMC  대만 남부에 반도체  공장 건설      년 양산 돌입 ,World
13,TSMC  일본에    조 투입 반도체 공장 건설   소니도     억 출자,World
14,윤보선 생가에 얽  진실  친일 안내문 설치는 당연하다  김종성의     스토리  ,World
15,미국  독일 주둔 미사일사령부   년 만에 재가동 러시아 군비증강 맞대응,World
16,  신형항모 내년 완공    기술수준   턱밑 추격,World
17, 제 의 테슬라  리비안 공모가   달러 기업가치   조원,World
18,모더나  개발 협력 정부 과학자  명 쏙 빼고 특허 출원,World
19,머스크   입방정 트윗   테슬라 시총    조 날아가,World
20,   머크 치료제  조억원 어치 추가 구입,World
21, 영상  흑인 혼혈 딸과 비행기 탔다가 인신매매범 몰린 백인 엄마,World
22,염색   시간 뒤 괴물로 변한 얼굴   대   경고  글로벌  ,World
23,깊이    m 동굴에 갇   탐험가     명 투입   시간만에 구조,World
24, 제 의 테슬라  리비안 공모가   달러 확정    기업가치   조원 ,World
25,냉전시대 복귀 미  독일주둔 미사일사령부   년만에 재가동,World
26,  매체     핵 선제 불사용  선언 못하도록 일본 영국 프랑스 움직인다 ,World
27, 다이아만    개  마리 앙투아네트 팔찌   억에 팔렸다,World
28,TSMC 소니  반도체 동맹    구마모토에 공장 설립,World
29,알리바바 폭락 헝다 사태에도  채권 주식에    자금    조원 유입,World
30,헝다자동차     억원 주식 매각 계획  대금 개발 생산에 이용 ,World
31,유럽의 골칫거리 벨라루스  난민 공격 에 허 찔린 EU,World
32,애플은 아니라지만 팀쿡 CEO  암호화폐 개인적으로 투자 ,World
33,미접종자 중심으로 감염 확산     주 뒤면 남는 병상 없다 ,World
34,한숨 돌린 요소수 중국서  만  천   톤 반입,World
35,마크롱  연금개혁 중단  내년  월 대선 이후로 연기 ,World
36,베이조스 소송에   NASA  달탐사     년 이후로 연기 ,World
37,중국  미 의원들 대만방문에  결연  반대  관영매체  음흉 ,World
38,낳고 보니 남의 아이 수정란 뒤바뀐 부부의 눈물겨운 선택,World
39, 상무  반도체 정보  철저 보안  약속했지만 추가 조치 여부 주목,World
40, 기시다와 불화설  아베  파벌 정치 전면에 나선다,World
41,   개 기업 반도체 자료 제출 미국  자발적 협조 ,World
42,  정권 경제안보 직면   언론 요소수 사태 주목,World
43,  전문가들  국경개방 시기상조 재앙적 결과 가져올 것 ,World
44, 자민  최대 파벌  아베파  정국운영에 깊이 개입할 듯,World
45, 신규 원자로 짓겠다   마크롱의 원전 유턴,World
46,  기술력 뺨치는   신형 항공모함 이르면 내년  월 완공,World
47,미국 전 국민 부스터 접종 눈앞   FDA  크리스마스 전 승인할 듯 ,World
48, 제 의 테슬라  전기차 업체 리비안  공모가   달러 책정,World
49,    세 이하에    만원 지급    억대 연봉자 자녀도   논란,World
50, 결단력있고 사려깊으며 혁신에도 도전   매체  시진핑 찬양 화제,World
51,노조가 불편한 스타벅스 vs 결성하려는 직원 투표 전 기싸움 종합 ,World
52,중국  생산자물가 소비자물가로 전이 조짐 종합 ,World
53,테슬라   천이백슬라  찍고 급락 머스크 동생도 팔았다  종합 ,World
54,모더나   정부와 백신 특허권 분쟁중  이익 배분 큰 영향 ,World
55,치솟는 물가에     년대 이후 실질금리 최저  마이너스 ,World
56,머스크의   조원짜리 설문   테슬라 주식 팔까  이후 연이틀 급락,World
57,한국 국방부가 맞았다      미사일   발 아닌  발  정정 상보 ,World
58,  싱크탱크    사출기갖춘 항모 내년  월 진수 ,World
59,화이자  모든 성인 대상 부스터샷 사용 신청,World
60,TSMC 소니  반도체 동맹  일본 파운드리 공장 합작,World
61, 방위성   미사일 분석 오류 망신    발 아닌  발  뒤늦게 정정,World
62, 자막뉴스  코로나 상황  게임체인저  등장   복제약이 해결책 될까,World
63,  전문가들  국경개방 시기상조 재앙적 결과 가져올 것 ,World
64,화이자  부스터샷    살 이상 모두에게 허용을  FDA에 요청,World
65,동물원도  코로나 비상   싱가포르 사자  마리 확진,World
66, 미 상무장관  반도체 자료 요구 이례적 상황서 불가피한 조치라고 언급 ,World
67,  의원 실은 군용기 올해 두번째 대만     재난 닥칠 것 ,World
68, 유럽 가스 공급 늘린 러시아   에너지 대란  구세주 될까,World
69,  코로나   신규감염   명 본토   명   무증상   명,World
70, 요소수 대란   매체  자업자득 보도에 누리꾼들  상도의 어겨  반중감정 확산,World
71, 인플레  공포 장기화 우려   깊어지는 중앙  딜레마 종합 ,World
72,모더나  정부 소속 과학자  쏙  빼고 백신 특허권 출원,World
73, 탄소중립의 답  신규 원자로서 찾은   마크롱,World
74,어려운 문제 쌓인 바이든 시진핑  원샷 해빙   들다,World
