,title,category
0, 엄지 접고 주먹 쥐기  틱톡 수신호  납치된   세 소녀 구했다,World
1,시급  만원으로 올려도    스타벅스  노조 설립 투표 시작,World
2, 밀리고 또 밀려서   삼성  내년  월 일 팬에디션  월 일 S   언팩 ,World
3,취임 열 달만에 바이든 지지율 또 최저치 경신        ,World
4,  코로나 사망  명  델타변이에 돌연변이 추가  자멸 가능성 ,World
5, 만명 몰리며 최소  명 압사한   광란의 콘서트  마약파티 였나,World
6,태국 치앙마이 한국인 단체관광  년만에 재개 현지언론 집중 조명,World
7,백신 대신 구충제 고집하다  확진  망신살 뻗친   NFL 스타,World
8, 올댓차이나  중국 겨울철에 다시 전력수급 핍박    지금은 전력난 풀려 ,World
9,   중앙위 전체회의 시작 시진핑 장기집권 명분 쌓나,World
10,세계 경제  회복세 훼손없는 인플레 억제방안 고심,World
11,홍콩 청년      법치를 예전만큼 신뢰하지 않는다 ,World
12, 국민   고 투 트래블  재개에 찬성     반대    ,World
13,    적기지 공격능력 보유  명시한 안보지침 개정키로,World
14,이라크 총리  암살 시도 배후 알고 있다 곧 체포할 것 ,World
15,중국인   명 중  명  국제사회에서 중국 이미지 좋다 ,World
16,파산 위기 헝다  또    억원 만기 맞아 버티기로 넘어가나,World
17,  조 달러 인프라법  향후 수십년 성장 준비시킬 것 ,World
18, 살려주세요  극장 벽 뜯어보니   나체 남성 극적 구조,World
19, 살려주세요  외침에 벽 뜯었더니 알몸 남성 갇혀있었다,World
20,기네스북 오른  세계서 가장 긴 혀 가진 개  무지개다리 건넜다,World
21,여기는 글래스고   오징어게임  옷 입고 목소리 냈습니다,World
22,일론 머스크  테슬라 주식     팔까  설문조사       찬성,World
23,중국  전력난 해소  선언  겨울  긴장 속 안정  예상 ,World
24,   한반도 종전선언은 시기상조  비핵화 우선  원칙 유지 ,World
25,홍콩 청년층           반정부 시위 후 법치 신뢰 잃어 ,World
26,신임 뉴욕시장  학교에서 비트코인 블록체인 가르쳐야 ,World
27,  코로나 사망   개월만에     감염급감 이유  의견분분 ,World
28,   오늘부터 비즈니스 목적 입국자 격리기간  일로 단축,World
29,축구로 문화를 가르쳐요 베이징 헤브론 축구교실 한동희 감독,World
30,미 인프라 예산 통과에 전기차 충전망 전국적 구축 탄력,World
31,LA 시카고 등   대도시 기본소득 첫 실험 기대반 우려반,World
32,메르켈  난민 문제   나  아닌   국민  우리 가 해냈다 ,World
33,이스라엘  예루살렘에 팔레스타인 미영사관 자리 없다 ,World
34, 명 깔려 숨지고    명 부상 치료  광란의    합 콘서트,World
35,양안 긴장 고조  타이완 해병대 괌에서 군사 훈련 참여,World
36,태국 치앙마이 한국인 단체관광  스타트   내년초까지  만여명 ,World
37,영국  이달 말부터 먹는 코로나 치료제 처방할 듯,World
38,머스크  주식 팔까요   설문에 찬성이 과반   테슬라 토큰      ,World
39,     개월 만에 백신 접종 관광객 입국 허가,World
40,머스크 주식매각 투표 이유는      억달러 세금폭탄 때문 ,World
41,백신 피하며 구충제 복용한   NFL 스타 확진,World
42,트래비스 스캇  공연 중  명 압사에 망연자실 현장 영상  충격 ,World
43, 백신 홍보에 세서미스트리트 동원   미 어린이 접종  잡음 ,World
44,   한반도 종전선언은 시기상조  비핵화 우선  원칙 유지 ,World
45,홍콩 청년층           반정부 시위 후 법치 신뢰 잃어 ,World
46,신임 뉴욕시장  학교에서 비트코인 블록체인 가르쳐야 ,World
47,  코로나 사망   개월만에     감염급감 이유  의견분분 ,World
48,   오늘부터 비즈니스 목적 입국자 격리기간  일로 단축,World
49,축구로 문화를 가르쳐요 베이징 헤브론 축구교실 한동희 감독,World
50,블룸버그  삼성전자 등   반도체 기업 데이터  에 제공할 것 ,World
51,예산안 한고비 넘긴 바이든 지지율 고전은 계속,World
52, 안보보좌관   하나의 중국  고수 대만 현상유지 바라 ,World
53, 보낸다던 가스  소식 없네  푸틴 약속  공수표  땐 유럽 가스값 또 급등,World
54,머스크는 왜 자신의 테슬라 주식    를 팔아야 할까 ,World
55,핵무기 없는 호주에 핵잠수함  오커스 에 흔들리는 핵비확산체제,World
56,공동부유는 자본주의 병폐 치료법,World
57,머스크   트위터 투표 로   조원어치 테슬라 지분 매각 결정 ,World
58,    일부터 외국인들 입국 허용   개월만에 금지 해제,World
59,신임 뉴욕시장  학교에서 가상화폐 가르쳐야 ,World
60, 김지수의 글로벌브리핑  미 영 등 국제사회  이라크 총리 노린 테러 비판  ,World
61,  최대 훠궈 체인 하이디라오  연말까지 매장    개 닫는다,World
62,백신 안맞고 구충제 복용   NFL 스타 확진 뒤 뭇매,World
63,엔화  미국 장기금리 하락에  달러    엔대 중반 상승 출발,World
64,니카라과 대통령 선거 투표 개시 오르테가  선 유력,World
65,에너지장관  올겨울 요금 오를 것  미국도 난방비 대란,World
66,니카라과 오르테가  선 유력시  바이든 이민정책에 타격 ,World
67, 난 운이 좋았다  인천상륙 서울수복 장진호 참전한    세  해병대원 영면,World
68,   오늘부터 백신 접종 완료자 입국 전면 허가   개월만,World
69, 코로나로 위축된 세계경제  정상화 여부 미묘한 분기점  WSJ,World
70, 최소  명 사망  지옥이 된 콘서트  마약 때문이었나,World
71,  기업  구인난에 채용 조건 완화  글로벌 이슈 ,World
72,  월  일 미국증시 마감 특징주,World
73, 테슬라 주식     팔까요  에       찬성 현금 필요한 머스크,World
74,일본   대통령 종전 선언에 밝  첫 입장은  시기상조 ,World
75,오늘부터 중국  중 전회 시진핑 장기집권 토대 쌓는다,World
76,중국   중전회  개막 시진핑   대 영도자  반열 전망,World
77, 체중    도 안돼  우한 코로나 참상 폭로   기자 수감 중 위중,World
78,머스크  주식   조원어치 매각  직접 묻자 트위터 사용자      Yes ,World
79,반도체 정보 제출 임박  미 상무부와 절충점 찾은 듯 ,World
80,   대만TSMC에  호 정부 보조금  WTO 제소 리스크 ,World
81,니카라과 대선 투표 종료   분 전 오르테가  연임 유력,World
82,베트남 장관 금박스테이크 먹방  부글    한끼 식사가  개월 월급,World
83,아메리칸항공  연말 성수기 인력 대란 우려에  최대  배 수당 지급 ,World
84,니카라과 대통령 선거 투표 개시 오르테가  선 유력,World
85,에너지장관  올겨울 요금 오를 것  미국도 난방비 대란,World
86,자민당 과반 이유  야당에 기대 없어   개헌 찬성 ,World
87, 비바라비다  빈민촌 살던 이민자 소년  아르헨 가전기업 일구기까지,World
88, 이 시각 세계  베이징  이른 첫눈에 시내버스 운행 중단,World
89, 백신의무화정책  연방공무원 접종시한 닥쳐  첫 관문 ,World
90, 다음달 바이든 주최 첫 민주주의 정상회의에 한국 초청 ,World
91, 머스크 주식     팔까요  에 찬성     트위터 설문조사 종료,World
92,중국 전투기   대  대만 공중무력시위 다시 압박 강화,World
93,머스크 설문조사 결과     가 주식 팔아라 머스크 정말 팔까 ,World
94, 테슬라 주식     팔까요   머스크 질문에     찬성,World
95, 내달 바이든 주최 첫 민주주의 정상회의에 한국 초청 ,World
96, 코로나   국제뉴스    지방 정부들      살 백신접종 유인책 잇따라 내놔,World
97, 명 깔려 숨지고    명 약물 중독  광란의 스콧 콘서트  현장 ,World
98, 테슬라 주식     팔까요   머스크 질문에       찬성,World
99,   한국전 종전 선언  시기상조   대통령 제안에 난색 표명,World
100, 우한 코로나  알렸다가 체포된   시민기자 생명 위태  혼자 걷지 못해 ,World
101,마약 콘서트였나 미국 광란의  명 압사 사고 수사 확대,World
102,우한 실상 알린  시민기자  철장서 건강악화로 생명 위태,World
103, 현시점부터 내년 말 사이에 코로나   통제 가능할 것 ,World
104,  안보보좌관   하나의 중국  원칙 존중   대만 현상유지 바래 ,World
105,드론  대로 이라크 총리 암살 시도 사건 배후는 누구 ,World
106,자민당 과반 이유  야당에 기대 없어   개헌 찬성 ,World
107, 비바라비다  빈민촌 살던 이민자 소년  아르헨 가전기업 일구기까지,World
108, 이 시각 세계  베이징  이른 첫눈에 시내버스 운행 중단,World
109, 백신의무화정책  연방공무원 접종시한 닥쳐  첫 관문 ,World
110, 다음달 바이든 주최 첫 민주주의 정상회의에 한국 초청 ,World
111, 머스크 주식     팔까요  에 찬성     트위터 설문조사 종료,World
112,에티오피아서 수만명 친정부 집회 휴전 요구한   비판  인더머니 ,World
113,   오늘부터 사업 목적 유학생 등 외국인 입국 대폭 허용,World
114,국제사회  이라크 총리 겨냥 공격 비난 바이든  가해자 책임져야  종합 ,World
115,비트코인 이더리움은 오르고 알트코인은 내리고 상보 ,World
116,인프라 예산 밀어붙인 바이든 지지율 반등은 미지수 종합 ,World
117,암호화폐 법정 통화에 푹 빠진 개발도상국  왜 ,World
118,바이든 핵정책  억지 반격 에 제한되나 이번달 백악관 회의,World
119,  오늘부터  중전회  역사결의 로 시진핑  연임 명분 쌓기,World
120,  백악관  민간기업 의무화  결국 유효한 판단 나올 것 ,World
121,미국 안보보좌관  미   하나의 중국  고수 대만 현상유지 바래 ,World
122,머스크  테슬라     매각 시작할 듯  결과에 따를 준비 돼 있다 ,World
123, 신기림의 월가프리뷰 대형 기술주의 차익 실현 압박,World
124, 위드 코로나  일부 확산세에도  코로나 내년 말 통제될 것  백신확대 치료제 승인,World
125,새 뉴욕시장 당선자 이번엔  학교서 가상자산 가르쳐야 ,World
126, 테슬라 주식     매각   찬성 의견 더 많아,World
127, 공산당   기 중전회 오늘 개최 관영매체  시비어천가 로 군불때기,World
128,구인난   기업들  졸업장 스펙 안 볼게요 ,World
129, 트럼프 비서실장  프리버스  남북  통일되려면 국제이슈 돼야 ,World
130,구인난  기업들  졸업장 성적표도 안 봐   채용 문턱 확 낮췄다,World
131,   현대사  마오쩌둥 덩샤오핑 시진핑   단계 정리    장기집권 사전정지,World
132,고국 그리다 원폭에 쓰러진 나가사키 한국인 넋 달래다,World
133, 정부     인이상 기업 의무 접종   법원은 제동,World
134, 정부  종전선언은 시기상조  첫 입장 내놔,World
135,후보도 공약도 모른다   서  년마다 치르는 이상한 선거,World
136,  새 외무상에 기시다 총리 측근 하야시 요시마사,World
137,박영선 만난 프리버스 전 비서실장  트럼프 대선 출마 가능성      ,World
138,성년된 툰베리  아버지는  육아해방   다시 가수로 ,World
139,틱톡서 퍼진 수신호 알아챈 운전자  납치 위기   대 소녀 구했다,World
140,시진핑  마오쩌둥 반열에   중 전회 오늘 개막,World
141, 중국 전력난  탄소 최대배출국    하루 석탄 생산량 연간 최고치 찍어,World
142, 영상 이라크 총리 암살 시도  드론 테러 로  명 부상,World
143,사재기 미투  어수선한 베이징,World
144,외신도 놀란  한국 탈석탄 서명  정부  이행 약속은 아니다 ,World
145,마오쩌둥  장쩌민  시진핑   중국 최고 권력자들의 여성 편력,World
146,대만 코로나   신규감염 외부 유입  명 총  만    명     일째 사망  ,World
147,지극한 효심  버지니아 주지사 아들  아버지 선거서 두차례 투표 시도,World
148,중국 코로나   신규감염   명 본토   명   무증상   명,World
149,팔  동예루살렘은 미래의 수도  미 영사관 반대한 이스라엘 비판,World
150,베트남 정부   MSD 먹는 코로나   치료제 임상서 효과 ,World
151, 가장 훌륭한 군인을 잃었다  파월 장례식에 정파는 없었다,World
152,산불로 서식지 잃고  성병 퍼져 불임까지 호주 코알라 멸종 위협,World
153,코로나의 역습  영국인들 스스로 마스크 쓰기 시작했다,World
154, 에티오피아를 떠나라  미 이스라엘 등 필수 인력 제외 대피 시작,World
155,바이든  인프라법 통과  기념비적 ,World
156,마오 덩 반열에 시진핑 올릴  역사 결의  뭘까,World
157, 비명과 함께 다들 쓰러졌다  공연 시작되자 지옥문 열렸다   영상 ,World
158, 유명인사 코로나 돌파감염  백신 가짜정보 확산에 악용돼 ,World
159,일본 코로나 사망자  명  확진자 급감은  미스테리 ,World
160,인프라 예산 밀어붙인 바이든 지지율 반등은 미지수,World
161,니카라과 대선 투표 개시 오르테가  무혈   연임 유력,World
162,NYT    초밥 대중화 시킨건 한국인  그는 통일교 문선명,World
163, 나가사키 원폭   년  살아남았어도 늘 공포였다 ,World
164,외신도 놀란  한국 탈석탄 서명  정부  이행 약속은 아니다 ,World
165,전세계     접종완료 인구비로 중국과 한국    로 선두,World
166, 쏟아진 기름 담으려다  유조차 폭발    여 명 참사,World
167,이라크서 드론 이용 총리 암살 시도 경호원  명 부상,World
168,스튜어디스 사라져  줄 결항  날벼락  항공사  꺼낸 당근은,World
169,영국  이르면 이달 말부터 머크 경구용 코로나   치료제 처방할듯,World
170,머스크의 돌발 제안  테슬라 주식     팔까요  ,World
171,COP  서 서약 쏟아지지만  기온상승    도 억제엔 역부족 ,World
172,흥분한 관객들의 돌발 행동   유명 가수 콘서트  대참사 ,World
173,최빈국  시에라리온 의 비극 기름 담으려다  백여 명 숨져,World
174,머스크의 역공  테슬라 주식 매각 설문에 찬성     반대    ,World
175, 세계를 보다 대만 둘러싼 미중 대리전 현실로 ,World
176,시작부터 개통까지   년   애물단지  베트남 첫 지하철 타 보니,World
177, 워 특 줌 인  지방 선거 참패 바이든  열 달 만에  위기 ,World
178,출장중  월급 두배  금박 스테이크 즐긴 베트남 장관 뭇매,World
179,전세계 하루확진자   주 연속 증가세     만명,World
180,독일 확진자 연일 역대 최다 유럽   차 유행  경고,World
181, COP  은 실패 더 이상 지도자에만 못 맡겨 ,World
182, 우한 코로나  알린   시민기자 생명 위태   겨울 못 넘길지도 ,World
183,이스라엘  예루살렘은 우리 수도 미국 영사관 안돼  종합 ,World
184,신생아 엉덩이에 공 달린    꼬리가  산모  하루 담배   개비 ,World
185,전세계     접종완료 인구비로 중국과 한국    로 선두,World
186, 쏟아진 기름 담으려다  유조차 폭발    여 명 참사,World
187,이라크서 드론 이용 총리 암살 시도 경호원  명 부상,World
188,스튜어디스 사라져  줄 결항  날벼락  항공사  꺼낸 당근은,World
189,영국  이르면 이달 말부터 머크 경구용 코로나   치료제 처방할듯,World
190,머스크의 돌발 제안  테슬라 주식     팔까요  ,World
191,COP  서 서약 쏟아지지만  기온상승    도 억제엔 역부족 ,World
192,흥분한 관객들의 돌발 행동   유명 가수 콘서트  대참사 ,World
193,최빈국  시에라리온 의 비극 기름 담으려다  백여 명 숨져,World
194,머스크의 역공  테슬라 주식 매각 설문에 찬성     반대    ,World
195,    조 원 바이든표  사회기반시설  예산  석 달 진통 끝 미국 의회 통과,World
196,반환점 돈 COP    외신이 매긴 주요 국가 성적은  미흡 ,World
197, 방역 어기면 사형  숨막 는 통제    제로코로나  나홀로 역주행 왜 ,World
198,  증시도 메타버스  열풍  VR기기 온라인 게임 개발  AVIT 중칭바오 등 주목,World
199, 우한코로나  현지 상황 알리고 감옥 간 시민 기자  장잔  위독,World
200,시에라리온 유조차 폭발 최소    명 사망   콘서트장선  명 압사,World
