,title,category
0,김현석 삼성전자 사장   에 던진 가전분야 화두는,Economics
1, 속보  요소수  만       실은  수송기 호주서 출발 오후 도착,Economics
2, 종목속으로 목표주가 릴레이 상향  하이브    실적 NFT 메타버스 호재  종합선물세트 ,Economics
3,위드 코로나   일째 극장  여전히  울상 ,Economics
4,   억원 넘는 아파트  대출금지에도  년간 가격     상승 ,Economics
5,경남 광주은행장  전세대출 분할상환 의무화 계획 없어 ,Economics
6,한화큐셀    텍사스서 첫 ESS 단독단지 개발진행,Economics
7,한미약품 포지오티닙 연내   허가신청  항암 신약 결실 터진다 ,Economics
8,팅크웨어  NFT 메타버스 활용 국내 최초 여행게임 서비스 제공,Economics
9,오세훈  부동산실험  찻잔 속 태풍 vs 변혁 이끌 바람,Economics
10, 요소수 대란에 당근마켓도 불났다  요소수 거래 막지 않는 까닭,Economics
11,현대차그룹  애플 구글에 도전장  내년에 자동차용 플랫폼 공개할 것 ,Economics
12, 애플스토어만 있냐  제네시스    뉴욕에  브랜드 복합공간  조성,Economics
13,정승일  국민공감대 있으면 원전 비중 늘어날 것 ,Economics
14,조선일보 서학개미봇  머스크 주식 매도 속보특종  블룸버그보다   분 빨랐다,Economics
15,김용진 국민연금 이사장  K ESG  경제주체 자발적 참여 중요 ,Economics
16, 확 올랐다 확 꺼질라  불안감 커지는 수도권 급등장,Economics
17, 증시이슈  현대차    대 하락세  거래일 연속 하락,Economics
18,운전이야  게임이야  LG 완성차에  AR 소프트웨어 솔루션  공급,Economics
19,돈나무언니 캐시우드  테슬라 하락은  천달러 돌파 위한  보 후퇴 ,Economics
20,커지는 인플레 우려 공급 수요 문제 겹쳐 내년까지  불안 ,Economics
21,현대로템  2 78억원 규모 대만 카오슝 도시철도국 E M 턴키사업 낙찰,Economics
22,전기차    대 만든 리비안  상장 첫날 GM 시총과 똑같아졌다,Economics
23,  채권시장 국채 투매 파월의 인내심 어디까지,Economics
24,셀트리온   Q 실적 부진에 목표가 줄하향   분기 정상화 기대 ,Economics
25,코로나 이후 모든 게 부족해졌다 다가오는  생활비용  위기,Economics
26,SKT 한화 에어택시로 김포공항에서 강남까지   분만에 주파 실증 성공,Economics
27,GS건설  땅 안파고 상수도관 고치는 친환경 기술 개발,Economics
28, Q 주춤한 엔씨소프트   NFT 블록체인  승부수,Economics
29,현대차  자율주행에  바보장치  고집하는 이유,Economics
30,제주항공  펫펨 모셔라  반려동물 동반 탑승  마리  kg까지,Economics
31,이주열  높은 물가 상승 당분간 지속  금리 올릴 듯 종합 ,Economics
32,대창단조  1   원 5  원 주식분할 결정,Economics
33,대출 막아도 서울 대형 아파트값  년간     ,Economics
34,   억원 넘는 아파트  대출금지에도  년간 가격     상승 ,Economics
35,은퇴하면 내 인생 산다  발목잡는  캥거루족 ,Economics
36, 사재기 예방  차량용 요소수 주유소에서만 판매,Economics
37, 오징어게임  열풍에 참붕어빵도 월 최고 매출 기록,Economics
38, 뉴시스 창사   주년 마크 파버  암호화폐  종이화폐 대체할 수 있다 ,Economics
39,SK바이오팜  이그니스 테라퓨틱스 지분 44 9  취득 결정,Economics
40, 현장연결  정부  요소수 판매처 주유소로 한정 승용차 최대   리터 ,Economics
41,현대로템  2 78억원 규모 대만 카오슝 도시철도국 E M 턴키사업 낙찰,Economics
42, 마이데이터 시대  KB 한번에 다 되는 금융앱 첫단추 꼈다 ,Economics
43,   인플레 악재  또 얻어맞은 금융시장,Economics
44,머스크  테슬라 주식 매각했지만  아직 판 게 아니라는데 ,Economics
45,대출 막았지만    억 초과 아파트  년간  억 올랐다 ,Economics
46,두산  친환경 미래기술  CES      혁신상   개 수상,Economics
47,실적 확 뛰었다 삼성생명 성장판 연 전영묵,Economics
48,  억원 규모 영업손실 여파 카카오페이 다시   만원대,Economics
49,바이든  인프라 법안이 인플레 해법  경제 정상화 계획의 일부 ,Economics
50,삼성전자  고성능 반도체용 차세대  패키징 솔루션  개발,Economics
51,GS건설   상수도관 비굴착 보수공법  친환경 신기술 인증,Economics
52,인천국제공항  지난해 국제여객 첫 아시아  위,Economics
53,삼성 LG전자 CES      혁신상 휩쓸어 TV부터 신가전까지 종합 ,Economics
54,먹는 치료제 직격탄에 시총   위도 위태  추락하는 셀트리온,Economics
55, 주식초고수는 지금  NFT 날개 달고 비상하는 게임주   엔씨소프트 매수 상위,Economics
56,외형 더 키워 삼성 멀리 따돌리겠다  TSMC 자신감 넘친 발언,Economics
57,삼성전자  차세대    D 패키징 솔루션  H Cube  개발,Economics
58,유비벨록스  3분기 누적 이익 131억   지난해 실적 넘어서 ,Economics
59, fn마켓워치 삼양식품  첫 회사채  최대     억,Economics
60,NFT 메타버스 기대감 펄어비스  실적 부진에도 신고가,Economics
61, 마스크 판박이 악몽  요소수 대란에 화물차  대당     구매제한 종합 ,Economics
62, 기 신도시  문화재 변수 에 발목     부천 대장 도 조사,Economics
63,서울 북촌 일대에 주차장 들어선다,Economics
64,     년 상용화  하늘 나는 택시 수직으로   m 떠    슝 ,Economics
65, 내년 집 값 떨어지지 않을 것  민간   2  3 7  상승 예상,Economics
66,반려동물 하늘길 넓어진다 무게도 동반 숫자도 늘려,Economics
67, 요소수 수급조정 에 건설 장비 멈출라 건설사 긴장감 고조,Economics
68,송창현 현대차 본부장  TaaS 생태계 고도화 추진 파트너들과 동맹 ,Economics
69,SK바이오팜  신약 파이프라인 중국 판권 기술수출해 현지 법인 설립,Economics
70, 영 앤 리치  MZ도  엑스틴    대도   손크게 명품 플렉스  P 코노미가 온다  Premium ,Economics
71,메타버스 NFT 품은 게임주의 반란 고공행진 언제까지 ,Economics
72,정은보  지방 시중은행  경영실태평가 등급기준 차등화 ,Economics
73,강남접근성 높은  베라시떼 하남  분양 예정,Economics
74,속도내는  UAM 상용화  김포공항서 날아오른  드론택시 ,Economics
75, 오픈런없이 원하는 상품을 합리적으로   P 코노미가 온다  Premium ,Economics
76,    을 아시나요  시골 비즈니스가 뜬다,Economics
77,제 회 건축사 자격시험 합격예정자    명,Economics
78,  일부터 중대형 오피스텔도 바닥난방 가능해진다,Economics
79,빌라의 시대 거래량  가격 상승률 아파트 추월  부동산    ,Economics
80,SK바이오팜   분기 매출      증가해    억원 적자 축소 종합 ,Economics
81, TSMC 잡을 비밀병기  삼성전자  차세대 반도체 패키징 솔루션 개발,Economics
82,삼성바이오    년만에  바이오 글로벌 CMO 강자 등극  비결에는  삼박자 가 있었다,Economics
83,샐바시온   코빅실 V   델타 변이 바이러스       사멸 확인 ,Economics
84,삼성전자  최고사양  H Cube  개발 고성능반도체 공급 확대,Economics
85,아파트 버금가는 중대형 오피스텔 늘어난다 국토부  건축기준 개정,Economics
86, 억 주고  자녀 장학금까지  씨티은행     명  퇴직하겠다 ,Economics
87,  억 넘는 서울 아파트   년새 집값    나 상승,Economics
88,삼성전자  차세대    D 패키지 기술  H Cube  개발,Economics
89, 하늘 위 택시  UAM  김포공항에 떴다,Economics
90,오피스텔      이하까지 바닥 난방 허용      인 중대형 공급 가능해진다,Economics
91,삼성바이오로직스   바이오 의약품 생산     차지     조 기업 성장 ,Economics
92,    년 상용화 드론택시  김포공항    날았다,Economics
93,인천국제공항  국제여객 실적  아시아  위     개항 이후 최초,Economics
94,이주열 총재  물가 상승 당분간 지속    인플레 일시적일지 의문 ,Economics
95,바닥난방 설치 완화 중대형 아파텔 공급 활성화,Economics
96,삼성전자  고성능 반도체 패키징 솔루션  H Cube  개발,Economics
97,정승일 한전 사장  원전  정쟁 아닌 과학으로 접근해야 ,Economics
98,오피스텔 바닥난방 허용  전용        로 확대,Economics
99,백화점   부활 날개  폈다 질주하는 신세계,Economics
100,바닥난방 허용 면적  중대형 오피스텔 공급 확대 기대,Economics
101,뭉칫돈 몰리는 달러예금  대  한달새   억 달러 ,Economics
102,    년 인천공항 여객수송 세계  위 아시아선 첫  위,Economics
103,오피스텔 전용     까지 바닥난방 허용 중대형 공급 늘듯,Economics
104, 요소수 찾아라  팔 걷어붙인 종합상사,Economics
105,  월 입주예정 물량  만    가구 직전  년보다  배 증가,Economics
106,오피스텔  중대형 늘고 배기설비도 개선 공급 촉진 기대,Economics
107,중대형 오피스텔 공급 확대 바닥난방 허용     로 확대,Economics
108,    년 제 회 건축사 시험 합격자    명 합격률     ,Economics
109,코로나  집밥 간편식 열풍에 소스류 생산  년새     ,Economics
110,   인 주거용 오피스텔 늘어난다  바닥난방     까지 확대 ,Economics
111, 년 뒤 공항에서  하늘 나는 택시  탄다 이용 방법은 ,Economics
112,건축사 자격시험    명 합격 전회        ,Economics
113,중대형 오피스텔 바닥난방 허용 아파트값 잡힐까,Economics
114,고대역 메모리  개 하나로 삼성  반도체 패키징  난관 넘었다,Economics
115,삼성바이오로직스  CDMO  넘버원  굳힌다  세계시장     점유 목표 ,Economics
116,잔금대출 못 받은 미입주자  전월      p 늘어,Economics
117, 건축사자격  6569명 응시해 33 명 합격예정자  합격률 5   ,Economics
118, 기자수첩 대출관리 명분 퇴색시키는 은행  금리 갑질 ,Economics
119,국내기술  인용  드론택시  첫선 공항 도심 하늘길 열린다,Economics
120, 발코니 있는    인 가구 주거형 오피스텔 나온다,Economics
121,뭉칫돈 몰리는 달러예금  대  한달새   억 달러 ,Economics
122, 긴급수급조치  시행   요소수  한번에 최대    만 구매 가능,Economics
123,수젠텍  베트남에 42억 규모 코로나19 진단키트 공급계약,Economics
124,LGU   KT  디즈니  요금제  출시 디즈니  개시 맞춰 마케팅 경쟁,Economics
125, 오늘 말고 내일 기름 넣으면 더 싸질 수 있어요 ,Economics
126,증권가      물가 고공행진 내년초까지 증시 충격파 지속  종합 ,Economics
127,월가 전문가  인플레이션  내년 봄까지 더 심화될 것 ,Economics
128, 증시이슈  카카오페이  적자 전환에   만원선마저 위태   대 ,Economics
129,예결위    정부 이후 예산안  부처 요구보다     이상 커 ,Economics
130,서울시  북촌 일대 지구단위계획 변경  삼청공원 입구 주차장 건립 ,Economics
131,일할 능력이나 의사가 없는 사람 중 그냥 쉬는 사람   만    명 이유는 ,Economics
132, 증시이슈  지오엘리먼트 상장 첫날   따  달성 후  강세 ,Economics
133,주거용 오피스텔  테라팰리스 인덕원  차    월 분양,Economics
134,LIG넥스원   Q 영업익    억원  전년         ,Economics
135,에어부산  부산 괌 노선 운항 재개,Economics
136,삼성 LG  세계 최대 IT 전시회  CES 혁신상  휩쓸었다 종합 ,Economics
137,대출 불가   억 초과 아파트   년 간     더 올랐다,Economics
138, 재수없다  악플에 정용진 부회장 쿨하게  왜  ,Economics
139,제네시스  뉴욕에 첫 브랜드 문화공간  제네시스 하우스  개관,Economics
140,인천공항  홍콩 제치고 첫    위 도약 국제여객     만명,Economics
141,소비자주권  소비자 피해 눈덩이 중고차 개방 연내 결정해야 ,Economics
142,요소수 긴급조치 시행 주유소서 승용차 최대   리터씩,Economics
143,  일부터 유류세     인하 알뜰주유소 직영주유소는 바로 가격인하 될 듯,Economics
144, 재수없어  악플 받아친 정용진의 한 단어에  빵  터졌다 뭐라했길래,Economics
145,대출금리 오르는데 금리상한형 주담대 판매  고작   건 ,Economics
146, 헝다그룹 파산 막아라   정부  헝다그룹 해체 수순 들어가,Economics
147,버킷스튜디오  초록뱀미디어 전략적투자   빗썸라이브  기대감 솔솔,Economics
148,일상회복 기대감에 상업시설 분양 활기,Economics
149, 수소 두산  CES서  개 혁신상 휩쓸었다,Economics
150,잠실   평마저 첫   억 돌파   브레이크 없는 고가주택 집값,Economics
151,이재명 홍남기  가상자산 충돌  과세  년 유예  Vs  내년  월 과세 ,Economics
152,한은 총재  높은 소비자물가 상승률 지속될 것 불확실성 커져 ,Economics
153,중저준위 방사능폐기물 저장용량 국내 원전 중 고리원전이 최다,Economics
154, 현장에서 아시아 최대 규모 커피 전시회 올해 키워드는 비대면 디저트 친환경,Economics
155, 테슬라 기다려  리비안 시총    조원   분 미국주식 ,Economics
156,아이폰 닦는 천  만원에 파는 애플  삼성은 공짜 ,Economics
157,부산 괌 노선   개월 만에 재개 지방공항 국제선  기지개 ,Economics
158,내일부터 유류세     인하 휘발유  당    원 경유    원 ,Economics
159, 메타버스에 투자하기 좋은   기업 TOP  ,Economics
160,이정재  구찌  정호연  루이비통  명품 모델 된  오겜  배우들,Economics
161,소니가 부활한다    삼성전자의 미래는  최원석의 디코드 ,Economics
162, 카카오페이  손익개선 느리지만 금융플랫폼 도약 준비   중장기 투자 필요  메리츠증권,Economics
163,뉴욕 한복판에  제네시스 하우스  한국 정서 물씬,Economics
164,두산  연료전지시스템부터 수소드론까지  개 제품 기술  CES       혁신상,Economics
165,  명 몰린 후암동 주택  법원경매서 감정가  배 넘게 팔렸다,Economics
166,  월 들어서도 수출 순항      일 수출액       증가,Economics
167, Q 영업이익 반토막인데 리니지W 흥행에 엔씨 주가 상한가쳤다,Economics
168,  일부터 유류세     인하 휘발유 리터당    원 싸진다,Economics
169, 현대차 부품난 최악 지났다  현대차 북미사장 언급,Economics
170,두산건설    일  반월역 두산위브 더센트럴  견본주택 오픈,Economics
171,오늘부터  주유소 에서만 요소수 판다 승용차는   L까지,Economics
172,삼청공원 입구에 주차장 들어선다 북촌로 보행환경도 개선,Economics
173,한전 새 수장  SMR같은 원전기술 투자 늘리겠다 ,Economics
174,  기업  CES 혁신상  싹쓸이  삼성   개 LG   개,Economics
175,  년 내 삼성 잡는다  선언한 샤오미    만원대 LTE폰으로   공략,Economics
176,한은총재  예상보다 높은 물가상승률  당분간 지속될것 ,Economics
177, 억 보상에 너도나도 희망퇴직 씨티    신청 반려  고심,Economics
178,케이뱅크  중저신용대출 금리 인하 최저      ,Economics
