,title,category
0, 대선도 주고 총선도 준 민주당   골룸  같다  비판글에 이재명  함께 읽어보시죠 ,Politics
1,   조  하늘에서 떨어지나   방역지원금  세금 밑장 빼기 ,Politics
2,방역지원금   조 증액 요구  맘대로 되는 게 아냐 ,Politics
3, 단독  기자 PD에  종북  딱지 붙인 국정원  진상규명 제자리 ,Politics
4,민주  이재명 부인 낙상사고 허위사실 유포 네티즌  명 고발  종합 ,Politics
5, 정치톡톡  최태원 만난 이재명   탈당 숫자 공방    혼절 처음 봤다 ,Politics
6,이재명 윤석열 첫 대면  검찰 수사 미진하면 특검 ,Politics
7, 단독  이명박 국정원의 MBC 사찰  종북좌파 해방구 와해 미미 ,Politics
8,권성동  선대위 인선 기본은  후보   이견 조율 신경전,Politics
9,천안함전우회  유튜브에  좌초설  등 영상 삭제 요청하기로,Politics
10,윤석열      참배 반발에  저는 쇼 안합니다  종합 ,Politics
11,요소수 대란 파악에  주 걸려  비싼 수업료 냈다 ,Politics
12, 단독  윤석열    일    축하난  받는다   후보 선출 열흘만,Politics
13, 이재명이 아내 폭행      누리꾼  명 고발,Politics
14,요소수   톤 구하러 항공유    톤 들여  수송기 호주 급파 왜 ,Politics
15,광주 간 윤석열  오월정신 반듯이 세우겠다      정치쇼 강행 ,Politics
16,이름만 바꾼 재난지원금 난타전     자의적 납부유예 법 저촉 ,Politics
17,요소수 실어 올 군 수송기 호주로 출발 내일 국내도착 예상 종합 ,Politics
18,처음으로 얼굴 마주한  이 윤       토론  놓고 신경전,Politics
19,경찰  이재명 윤석열  국무총리급 으로 경호한다,Politics
20, 조건부 특검 수용  꺼낸 이재명  지지율 열세 고려한 승부수 ,Politics
21,홍남기  초과세수   조대  요건 맞는것만 납세유예 가능  종합 보 ,Politics
22,이재명 윤석열 첫 조우  고개 끄덕  vs  통상적 인사 ,Politics
23,     부인 낙상사고 허위사실 유포 누리꾼  명 고발 ,Politics
24, 뉴있저   김건희   개 대학 이력서 허위 기재    윤석열도 몰랐나 ,Politics
25, 여랑야랑 이재명과 윤석열의  첫 만남    요소수 대란은 비싼 수업료 ,Politics
26,이재명   수사 미진하면  조건 달고  대장동 특검 수용 ,Politics
27, 요소수 긴급 공수  KC     공군 수송기 호주로 출발 상보 ,Politics
28,중  요소  만  천   톤 수출 재개 급한 불 껐다,Politics
29,요소수 석달치 확보  숨통 트이나,Politics
30, 참배 안 된다  반발에 광장서 묵념만 물리적 충돌은 없어,Politics
31,공수처  손준성  일만에 재소환  판사사찰 의혹도 조사,Politics
32, 곽상도 의원 사퇴안  오늘 본회의 처리,Politics
33,끌어안는 이재명 vs 거리 두는 윤석열  PK 향한 엇갈린 행보,Politics
34, 윤석열의 입  수석대변인 이양수 대변인 김병민 내정,Politics
35,        vs        ,Politics
36, 전두환 옹호    일 만에 윤석열      묘지서  머리 숙여 사과 ,Politics
37,지지율 답보 승부수  민주당도  특검법 협상 가능 ,Politics
38, 전두환 발언  고개 숙였지만 광주 시민 항의 맞닥뜨린 윤석열,Politics
39, 중국에 묶여 있던 요소 풀렸다  요소수  개월 치 확보,Politics
40, 조건부 특검 수용  꺼낸 이재명  지지율 열세 고려한 승부수 ,Politics
41,  선출 후 국힘 불협화음   MZ세대 입당 많다  vs  탈당 수가 압도적 ,Politics
42,  월   일 MBN 종합뉴스 주요뉴스,Politics
43,이재명  민주당에서 페미니즘은 볼드모트  글 공유      남성 표심 붙잡기 ,Politics
44,이재명   페미 반대  디씨 글 또 공유 여성들  여성표 버리고 가나 ,Politics
45,윤석열   전두환 발언    일 만에 광주 찾아 사과,Politics
46,국민의힘 자중지란 부추기는     컨벤션 효과 최소화 의도,Politics
47, 뉴스썰기  이재명        남자들이 홍을 지지하는 이유  공유 왜 ,Politics
48,   조건부 특검  입장 선회      특검 수용은 바람직 ,Politics
49,     추모탑 분향 못하고 돌아선 윤석열  제 발언 상처 받은 모든 분들께 머리 숙여 사과 ,Politics
50, 오만하고 실망스럽다    사과 지켜본 광주 시민사회  싸늘  종합 ,Politics
51,이재명   홍카단  편지 SNS 공유  광기의 페미니즘 멈춰야 ,Politics
52,이재명   광기의 페미니즘 멈춰달라  홍카단 글 SNS에 공유,Politics
53,요소수 대란에   고개 숙였지만   비싼 수업료  발언 빈축,Politics
54, 속보  요소수  만t 있어야 겨울이라도 나는데  홍남기   만여톤 협의 중  송구 ,Politics
55,고개 숙였지만 환영받지 못한 이재명 윤석열  동병상련,Politics
56,추모탑 못 닿은 윤석열        진심은 닿을까,Politics
57,추념탑 못 가고 가로 막힌 윤석열 민심  냉랭 ,Politics
58,김남국  이재명  조폭 연루설  거짓 드러나 ,Politics
59, 민주당은 골룸  이재명이 공유한 커뮤니티 글 보니   ,Politics
60,달걀 투척은 없었지만        묘역 참배는 무산,Politics
61, 일정 재개  이재명  미래 청년 정책행보 속도 종합 ,Politics
62,김영환   요소수 사태 에 한숨   대통령  국민들 복창 뒤짚고  염장 질러 ,Politics
63,   꼼수논란에도 간판 바꿔달고 재난금 강공  지금 골든타임  종합 ,Politics
64,예결위서 방역지원금 공방  더불어매표당   국민의짐 ,Politics
65, 대통령 딸   거주  논란에  유영민   아빠 찬스  동의 어려워  사적 영역 존중해달라 ,Politics
66,지지율 고전 이재명   특검 조건부 수용  전투력 높여,Politics
67,  선대위 추가인선 공보 부단장에 권혁기 한민수,Politics
68,   지지는 페미 탓  동의 안한다면서 이재명 또 공유,Politics
69,이재명  이번엔  디시 글 공유했다  페미니즘을 멈춰주세요 ,Politics
70,추모탑 못 간 윤석열        헌법에 반드시 올라가야 ,Politics
71,이재명  관료적 규제 없애야 나는  등 친기업 단체장  종합 ,Politics
72,    추모탑   m 앞 멈춰선   참배광장 한복판서 빗속 사과 종합 ,Politics
73,광주 찾은 윤석열  저는 쇼 안한다  현장에선  돌아가라  종합 ,Politics
74,추격자    대장동  뚫고 지지율 만회 승부     조건부 궁색 ,Politics
75,        묘역서  상처드려 죄송 ,Politics
76, 공약 개발 의혹  장관 녹취 공개에 항의   국회 여가위  아수라장 ,Politics
77,   방역지원금  재원 계획에 홍남기  마음대로 안 돼  법 저촉 ,Politics
78,대장동 반박한    뭘 잘못했단 거냐  광주 간    상처받은 분께 사과 ,Politics
79,요소 수입 길 열렸다 중국서  만 천톤 국내로,Politics
80,유영민  요소수 대란  뼈아프지만 잘 대응 비싼 수업료 ,Politics
81, 대장동 수천억 이익    정부 탓이냐  질문에 유영민 대답이,Politics
82,이재명 윤석열  후보로 첫 대면      재계 끌어안기,Politics
83,  m 모자랐던 윤석열 반대 시위대에 막혀 멀리서  모든 분께 사과  종합 ,Politics
84, 당심  윤석열 택한 이유   복수용 쇠몽둥이 뽑은 것  시사끝짱 ,Politics
85,윤석열       민주묘지서  상처받은 분들께 머리숙여 사과 ,Politics
86, 측 요청에 손배소 재판 연기 김부선  쫄았나  쫄았네 ,Politics
87, 실세  총괄선대본부장 누가 맡나 김종인  윤석열 캠프  합류 관건,Politics
88, 국방포럼  국방력 세계  위 눈앞   우리나라  강해져야 하는 타이밍 ,Politics
89, 영상  김정재   부동산 정책 비판  이재명   대통령 탈당 바라는 거 아니야  ,Politics
90,  떠나는 임세은 부대변인  어디서든 웃으며 만났으면 ,Politics
91,김총리   일자리  만 천개 약속  포스코 최정우 회장에  통이 크시다 ,Politics
92,   법정서 자주 봬     기억에 없다   묘한 신경전,Politics
93,주요직 놓고 설왕설래 난무  국힘 선대위 인선 주도권 경쟁 과열,Politics
94,이재명  수사 미진하면 특검  윤석열  머리숙여 사과 ,Politics
95,심상정  차별금지법 나중에  대통령도 나중에      비판,Politics
