,title,category
0, 한국  석탄 사용으로 발생하는   인당 온실가스  세계  위 ,World
1,중국  시진핑 사상으로 제 갈길 갈 것 ,World
2,EU  중국 일대일로 견제 개발계획에   조원 투입한다,World
3,인도네시아 불륜녀  대중 앞에서   번 채찍질 영상 찍는 남자들,World
4, 스태그 공포  커질 땐 이 전략 월가 애널리스트 추천 투자법,World
5, 퇴근 후 연락하면 벌금  포르투갈  새 노동법 시행,World
6,모더나 백신  남성 심근염 위험 높지만 돌파감염은 적어,World
7, 영상   생존확률        주  일 만에 태어난 아기의 기적,World
8,    마오쩌둥 시대처럼 시진핑 개인숭배 회귀 우려  BBC,World
9, 모든 성인에 부스터샷  바이든 구상에 CDC 국장  신중론 ,World
10,기시다  분배정책  우선 대상 간호사 보육사 월급    오른다,World
11,리비안에 훈수 둔 머스크  진짜 시험은 대량생산 손익분기점 달성 ,World
12, 코로나 봉쇄는 노예제  백신저항 선봉에선 에릭 클랩턴,World
13,미  유럽 동맹국에 경고  러시아의 우크라 침공 대비해야 ,World
14,중국 인민일보  반드시 통일   대만  자유민주 수호 ,World
15, 사이테크   기후위기 시대  공적  석탄 메탄  어떻게 만들어질까,World
16,바이든       영웅들에 큰 빚  영원히 기억 ,World
17,   세 할머니 러너의 질주   달리는 모든 순간이 마법 ,World
18, 당 핵심   통일영도  장기집권 기반 다진 시진핑 미중관계  공동부유  대만 문제 등은 풀어야 할 과제,World
19, 러시아가 우크라이나 침공할지도    다급한 외침에 EU 초긴장,World
20,미 주택 쟁탈전 과열 매물 소화속도   주일  역대최단,World
21,디즈니도 올라탄 메타버스  가상 테마파크 시대  열릴까,World
22, 뉴스외전 뉴스 스토리  카자흐스탄  싼 전기료에 비트코인  채굴  성행,World
23, 솽스이  매출   조원 중국 보복소비 폭발,World
24, 네가 왜 여기에    남극 펭귄        헤엄쳐 뉴질랜드로,World
25,베트남 인맥 총동원  막혔던 요소     톤 수입 길이 열렸다,World
26,두테르테 딸 필리핀 대선 출마선언 초읽기   주말에 결정날 것 ,World
27, 업무시간 외 연락금지 재택비용 지원  포르투갈 새 노동법 시행,World
28,  연임  옹립식만 남은 시진핑  권위 위협할 대내외 난제는,World
29, 제재땐 가스 끊겠다  벨라루스  EU에  으름장 ,World
30, 위키리크스  어산지  영국서 옥중 결혼  이성의 승리 ,World
31,호주에 핵잠 기술 지원은    좋은 동맹에 좋은 대접한 것 ,World
32,  항소법원   의회폭동  백악관 문서 공개  일단 유예 ,World
33, 자민당  극우정당 유신회 접근    개헌 연대  모색하나  도쿄리포트 ,World
34,벨라루스  난민 밀어내기 공격 에 인권 딜레마 빠진 EU,World
35,시진핑 장기집권 선포 날  알리바바 빛바랜 최대 매출    조,World
36,헝가리  치솟는 에너지 값에 휘발유 경유값 상한제 도입,World
37, World Now  중국  시진핑 새 시대  선언   년 만의  역사결의  의미는 ,World
38,  기시다  첫 내각 띄우고   일 만에 코로나 종합대책 결정,World
39,영국 GDP 성장 둔화 G  국가 중 여전히 뒤쳐져,World
40, 줌인   오겜  덕에 위기 넘긴 넷플릭스  OTT 출혈경쟁 견딜까,World
41, 니가 왜 여기서  남극 사는 아델리 펭귄  뉴질랜드서 출현       km 헤엄,World
42,  최대 반도체 파운드리 SMIC에 무슨 일  내홍 속 경영진 줄사퇴,World
43,시진핑 화상회담 앞둔 바이든   화훼이 허가금지법  서명,World
44, 코로나  미접종자의 전염병  재확산    백신거부 에 뿔났다 영상 ,World
45,   년간 참전용사에 고마워하는 나라는 한국뿐 ,World
46, 광군제  공급망 대란 규제에 타격 역대 최저 성장률,World
47,일본   살 이하  재난지원금    만엔씩 지급 국민      부적절 ,World
48, 시진핑 브레인   민주주의 서방 특허 아냐 ,World
49,머스크  리비안 견제하나   대량생산 흑자달성이 관건 ,World
50, 월드피플     세 노인   명문대 물리학 박사 취득 평생 꿈 이뤘다,World
51,   소득     오른 동안 집값은         코로나 기간  폭등 ,World
52, 신냉전 안 돼  시진핑 경고에     선택권  에 있어 ,World
53,머스크  라이벌 리비안에 훈수  대량생산 흑자달성이 관건 ,World
54,   대  교사    세 제자 아이 임신  충격적인 소문의 반전,World
55,TSMC에  조원 지원  구상 논란  구형 생산 WTO 저촉 가능성 ,World
56,   시진핑  인 장기 집권 준비 완료   요란했던  쌍십일  할인행사도 뚝 ,World
57,모더나  우리 백신 심근염 위험  화이자  배 돌파감염보단 낫다 ,World
58,CNBC  시진핑  베이징올림픽에 바이든 초청 가능성 커 ,World
59,묻지도 따지지도 않고 사들여  주만에 집 팔린다는 미국,World
60,셀트리온 코로나 치료  유럽서  승인 권고  획득,World
61,중국 동북 지역 폭설 몸살,World
62,   유럽에  러시아 우크라이나 침공 대비  경고 긴장 고조,World
63,유럽의약품청  한국산 코로나   치료제 승인 권고,World
64,대만  중국  통일론 은 진부해 수용 불가 ,World
65,  언론  한국 국적 남녀    공작원 지시로 일본서 외화벌이 협력 ,World
66,대만  중국  중전회  통일론 은 진부한 논조 수용 못해 ,World
67,  경기장 콘서트장  이르면   월말 정원      허용,World
68,마이니치  한일 관계 개선 위해 일본이 먼저 대화 자세 보여야 ,World
